% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.468086434e+01 +8.468086434e+01 +1.254608643e+02 +1.254608643e+02 +2.4852e+00 -1.7041e+00 +2.6687e+00 +1.4518e+00 -2.6313e+00 +4.5780e+00 -4.9700e+00 +4.4094e-01 +2.7881e+00 +1.3363e+00 +3.2829e+00 +3.5876e+00 +3.0456e+00 +1.9219e-01 -1.5073e+00 -1.6639e+00 -5.5821e-01 -3.0553e-01 -1.8914e+00 +4.0524e+00
5122 +5.864838038e+01 +5.864838038e+01 +9.942838038e+01 +9.942838038e+01 +1.0756e-01 +3.1725e+00 -1.6983e+00 +1.2669e+00 -8.2389e-02 -4.8768e+00 +1.7946e+00 -6.5797e+00 -2.0605e+00 -2.7967e+00 +1.4637e+00 +1.1182e+00 -3.0415e+00 -2.0407e+00 -2.2478e+00 +2.2550e-01 -7.6151e-01 +3.7149e+00 -2.4580e+00 +1.4326e+00
6006 +2.901607092e+01 +2.901607092e+01 +6.979607092e+01 +6.979607092e+01 +3.0096e+00 +2.9256e+00 -1.6775e+00 +3.1639e+00 +9.2299e-01 -4.5230e+00 +1.5610e+00 -5.1213e+00 -6.3749e-01 -9.3789e-01 +2.4553e-01 +1.9340e+00 -1.6222e+00 +3.8516e-01 -1.3815e+00 +2.8331e-01 -1.9132e+00 +4.6544e+00 -1.6567e-01 +1.9958e+00
7304 +2.415391980e+01 +2.415391980e+01 +6.493391980e+01 +6.493391980e+01 +2.7085e+00 +2.7963e+00 -1.8568e+00 +3.5109e+00 -4.0591e-01 -3.9007e+00 +1.2518e+00 -4.0775e+00 -1.0904e+00 -9.9778e-01 +1.2910e-01 +3.2796e+00 -1.4866e+00 +4.0610e-01 -2.3212e+00 +1.8447e-01 -9.4285e-01 +4.9604e+00 -2.3429e+00 +3.0787e+00
9003 +1.535748536e+01 +1.535748536e+01 +5.613748536e+01 +5.613748536e+01 +3.1897e+00 +3.5072e+00 -1.1437e+00 +3.4162e+00 +7.8009e-01 -5.9607e+00 +1.2095e+00 -3.6863e+00 -1.7706e+00 -1.9097e-01 +9.2443e-01 +4.0033e+00 -1.2278e+00 -1.2611e+00 -2.0889e+00 -2.7549e-01 -1.7032e-01 +4.1995e+00 -1.9453e+00 +1.2264e-01
10436 +8.918367882e+00 +8.918367882e+00 +4.969836788e+01 +4.969836788e+01 +2.8052e+00 +1.9471e+00 -2.9059e+00 +2.0150e+00 -1.5372e-01 -4.6356e+00 +1.9348e+00 -4.6457e+00 -2.9035e+00 -9.5529e-01 +5.0595e-01 +4.9463e+00 -2.2412e+00 -3.2077e+00 -2.5316e+00 +4.1051e-01 -1.3154e+00 +5.1097e+00 -4.0771e-01 +1.5170e+00
13304 +6.263310559e+00 +6.263310559e+00 +4.704331056e+01 +4.704331056e+01 +3.8445e+00 +2.6952e+00 -4.2049e+00 +3.1684e+00 +7.7925e-01 -4.5482e+00 +1.9417e+00 -3.4621e+00 -3.7971e+00 -5.4415e-01 +6.4204e-01 +3.8507e+00 -1.5171e+00 -2.2100e+00 -2.5908e+00 +1.0872e+00 -5.0039e-01 +3.8896e+00 +1.7797e-01 +1.3915e+00
16010 +3.583406259e+00 +3.583406259e+00 +4.436340626e+01 +4.436340626e+01 +3.5954e+00 +3.1388e+00 -3.0843e+00 +3.3242e+00 +1.4476e-01 -4.9805e+00 +2.1283e+00 -3.1034e+00 -2.5889e+00 -4.0998e-01 +7.9919e-01 +4.1568e+00 -1.7970e+00 -2.7067e+00 -2.5602e+00 +3.7261e-01 -4.6016e-01 +4.0708e+00 -8.2893e-01 +1.1487e+00
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.223749862e+01 +8.223749862e+01 +8.063749862e+01 +8.063749862e+01 -8.5272e-01 -1.4425e+00 +1.2646e-01 -4.7087e+00 -3.7811e+00 -8.1098e-01 +4.2549e+00 -4.5553e+00 +2.9561e+00 -4.1606e+00 -7.7486e-02 +2.4505e+00 +4.9262e+00 -2.4477e-01 -2.9746e+00 +1.4159e+00 +2.3114e+00 +4.8616e-01 -2.3617e+00 +4.0922e+00
