% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.475327610e+01 +8.475327610e+01 -9.152467239e+02 -9.152467239e+02 -2.0429e+00 +1.9919e+00 -2.0396e+00 +4.9460e+00 +2.5919e+00 +6.9699e-01 -2.5055e+00 +3.5546e+00 +4.4345e+00 +1.6720e+00 +1.5440e+00 +3.0782e+00 +3.2599e-01 -3.1266e+00 -1.9604e+00 +4.6861e+00 -3.9870e+00 -1.1454e+00 -3.4642e+00 -2.5453e+00
1306 +6.183970312e+01 +6.183970312e+01 -9.381602969e+02 -9.381602969e+02 -2.5480e+00 -3.8195e+00 +3.5199e+00 -5.9582e+00 -1.3926e-01 -2.9621e+00 +6.6906e-01 -4.0247e+00 +2.3838e+00 +3.4215e+00 +3.7549e+00 +4.2626e-01 -1.9617e+00 -2.2093e+00 -1.1967e+00 -4.9843e+00 +2.7486e+00 +2.6937e+00 -1.4267e+00 -3.8662e-01
2905 +3.972262433e+01 +3.972262433e+01 -9.602773757e+02 -9.602773757e+02 -2.7319e+00 -2.0888e+00 +1.7547e+00 -4.8251e+00 -1.7230e+00 -4.9469e+00 -2.6336e+00 -4.0284e+00 +9.1537e-01 +3.9719e-01 +2.6965e+00 -1.2559e-01 +1.4052e+00 +1.0528e-01 -2.8286e+00 -2.9888e+00 +2.5439e+00 -2.3930e-01 +9.3392e-01 -8.9254e-01
3131 +2.257848652e+01 +2.257848652e+01 -9.774215135e+02 -9.774215135e+02 -4.1396e+00 -2.5010e+00 +2.0710e+00 -2.9527e+00 +4.7776e-01 -4.0048e+00 -9.7433e-01 -1.7411e+00 +9.8429e-01 +2.2549e+00 +3.4547e+00 -1.8271e+00 +1.7688e+00 -1.0860e+00 -1.3586e+00 -2.9920e+00 +2.1878e+00 +2.0265e+00 +5.5725e-01 -2.6381e+00
4542 +1.566530748e+01 +1.566530748e+01 -9.843346925e+02 -9.843346925e+02 -4.5813e+00 -2.0431e+00 +3.3905e+00 -3.7484e+00 +1.3318e+00 -3.4308e+00 +1.4246e-01 -4.2840e+00 +1.7329e+00 +2.3672e+00 +4.2373e+00 -9.2583e-01 +1.2068e+00 +1.2479e+00 -1.2988e+00 -3.3518e+00 +3.3153e+00 +1.9010e-01 -4.7910e-01 -2.9062e+00
4902 +7.714984535e+00 +7.714984535e+00 -9.922850155e+02 -9.922850155e+02 -4.3217e+00 -1.6578e+00 +1.6133e+00 -3.5980e+00 +6.8628e-01 -3.0877e+00 -2.7018e-01 -4.7598e+00 +1.1364e+00 +2.6819e+00 +4.4909e+00 -1.4707e+00 +1.9427e+00 -3.1366e-01 -2.2136e+00 -3.0757e+00 +2.2338e+00 +7.7893e-01 +1.5085e-01 -3.1359e+00
6606 +5.415647818e+00 +5.415647818e+00 -9.945843522e+02 -9.945843522e+02 -2.7146e+00 -2.2955e+00 +1.4717e+00 -3.8601e+00 +2.5215e-01 -3.2954e+00 -6.7007e-01 -5.0447e+00 +1.4487e+00 +2.7539e+00 +4.2328e+00 -1.3480e+00 +1.7426e+00 -4.0192e-01 -1.9988e+00 -3.0163e+00 +2.5947e+00 -6.6845e-01 +7.4447e-01 -2.0370e+00
7508 +3.609142445e+00 +3.609142445e+00 -9.963908576e+02 -9.963908576e+02 -3.1162e+00 -2.4365e+00 +1.6643e+00 -4.8846e+00 +1.1658e+00 -3.2107e+00 -1.2216e+00 -4.9741e+00 +2.1047e+00 +2.2838e+00 +4.0746e+00 -1.4672e+00 +9.5381e-01 +1.2940e-01 -1.2626e+00 -2.9886e+00 +2.0483e+00 +3.0298e-01 +6.5585e-02 -2.6935e+00
8430 +2.456529388e+00 +2.456529388e+00 -9.975434706e+02 -9.975434706e+02 -3.7689e+00 -2.4687e+00 +1.3505e+00 -4.4124e+00 +1.1500e+00 -3.0988e+00 -1.2158e+00 -4.6097e+00 +2.1020e+00 +2.7481e+00 +4.4028e+00 -1.2337e+00 +1.0994e+00 -1.2757e+00 -1.5836e+00 -3.2343e+00 +1.8344e+00 +2.4266e-02 +3.4559e-01 -2.8143e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.650017824e+01 +8.650017824e+01 +1.086500178e+03 +1.086500178e+03 +4.5650e+00 +4.7598e+00 +3.3216e+00 -4.6425e+00 -9.0430e-01 -4.6552e+00 -1.7637e+00 -4.4983e+00 +2.1916e-01 +2.9562e+00 +2.2015e+00 -2.4542e+00 +3.6420e+00 +1.2008e+00 -3.0941e+00 +2.7633e+00 -3.4619e+00 +4.9408e+00 +4.1607e+00 -2.9957e+00
3502 +6.241049942e+01 +6.241049942e+01 +1.062410499e+03 +1.062410499e+03 -5.4368e-01 +3.3156e+00 -2.1577e+00 +1.1741e+00 -2.8003e+00 +4.2929e+00 -5.2921e-01 -5.2122e-01 -3.2378e+00 +1.6609e+00 +1.5995e+00 +1.5875e-01 +1.3485e+00 -3.1744e+00 -7.2145e-01 +9.8190e-01 -3.8584e+00 +4.0379e+00 -3.2058e+00 -9.0440e-01
7441 +3.824900619e+01 +3.824900619e+01 +1.038249006e+03 +1.038249006e+03 -1.0238e+00 +1.1652e+00 +9.8435e-02 +1.4022e+00 -2.4008e+00 +3.8943e+00 -1.5944e-01 -9.7307e-01 -1.8576e+00 +1.2773e+00 -1.0817e+00 -3.5004e+00 +1.8174e+00 -4.0777e+00 -1.5011e+00 +2.8761e+00 +4.1060e-01 +4.4403e+00 -1.3083e+00 -9.5934e-01
9225 +2.472537438e+01 +2.472537438e+01 +1.024725374e+03 +1.024725374e+03 -2.2737e+00 +6.2396e+00 -9.3097e-01 -9.1140e-01 -3.0618e+00 +2.2873e+00 +3.7452e-01 -1.8259e+00 +1.1161e-01 -2.9809e-01 -2.8420e+00 -1.2692e+00 +1.9797e+00 -4.4486e+00 -2.7653e+00 +3.4420e+00 -2.0180e+00 +3.8681e+00 -3.0859e+00 +8.2622e-01
13910 +1.462325436e+01 +1.462325436e+01 +1.014623254e+03 +1.014623254e+03 -1.8766e+00 +4.4586e+00 -9.5971e-01 +6.5568e-01 -3.0157e+00 +1.6070e+00 +5.0783e-01 -2.6181e-01 -2.6000e+00 +1.2129e+00 -3.9549e+00 -8.0485e-01 +1.1771e+00 -4.7624e+00 -4.0322e+00 +2.5202e+00 +1.1227e-01 +4.2433e+00 -2.8318e+00 -5.8055e-02
