% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.029727541e+03 +4.029727541e+03 +4.059697541e+03 +4.059697541e+03 -1.1263e-01 -3.6209e+00 -3.6233e+00 +4.6219e+00 -2.6966e+00 +4.8384e+00 +2.9702e+00 +3.7373e+00 +1.5645e+00 +1.5575e+00 +1.7954e+00 +3.5658e+00 -4.3309e+00 -3.2086e+00 -2.3497e+00 -3.8850e-01 +2.8119e+00 +3.7947e+00 +3.0835e+00 +4.6215e+00
2 +3.277314499e+03 +3.277314499e+03 +3.307284499e+03 +3.307284499e+03 -6.7095e-02 -1.9509e+00 -1.4532e+00 +2.2326e+00 -2.5974e+00 +4.7948e+00 -4.3056e+00 -3.0415e+00 +7.6876e-01 -4.7712e+00 -5.9819e-02 +1.3159e+00 -3.5606e+00 +4.6492e+00 +3.3866e+00 -4.7003e+00 -8.8044e-01 +4.9016e-02 +1.8558e+00 +4.1363e+00
3 +2.493554492e+03 +2.493554492e+03 +2.523524492e+03 +2.523524492e+03 +3.0879e-01 +2.2017e-01 -2.1691e+00 -1.9392e+00 -7.7366e-01 -1.8125e+00 +2.1881e+00 -2.7256e+00 -3.5655e+00 -4.7429e+00 -3.7167e+00 -4.2991e+00 -4.1900e-01 +2.8529e+00 -3.0690e+00 +1.8565e+00 +3.1455e+00 +6.0252e-01 -1.6949e+00 +2.0536e+00
402 +1.560432990e+03 +1.560432990e+03 +1.590402990e+03 +1.590402990e+03 -6.3566e-01 -2.5192e+00 -3.7050e+00 +8.4418e-01 +6.8530e+00 +2.2037e+00 -2.0537e+00 -3.9882e+00 +1.4685e+00 -6.3582e+00 +2.8115e+00 -1.6094e+00 +3.5848e+00 +4.9101e+00 -2.1659e+00 +7.5995e-01 -1.6657e+00 +2.9648e+00 -1.4704e+00 -1.4715e+00
1309 +9.646058861e+02 +9.646058861e+02 +9.945758861e+02 +9.945758861e+02 -5.1959e-02 -1.4917e+00 -2.8137e+00 -2.8303e+00 +2.5690e+00 +4.0660e+00 -3.9606e+00 -7.4023e-01 -1.1620e+00 -2.1970e+00 +2.6915e+00 -2.3232e+00 +3.1591e+00 +2.2984e+00 -1.7436e+00 +1.5337e+00 -2.9688e+00 -4.3099e+00 +2.8560e+00 -5.2038e+00
2843 +6.047463921e+02 +6.047463921e+02 +6.347163921e+02 +6.347163921e+02 -5.3136e-01 -1.8707e+00 -5.4736e+00 -2.1251e+00 +2.9572e+00 +3.7907e+00 -3.0293e+00 -4.9282e-01 +7.6453e-01 -2.1305e+00 +3.0741e+00 -2.3868e+00 +4.7207e+00 +3.7906e+00 -1.2355e+00 +2.3310e+00 -1.9313e+00 -1.9833e+00 +1.5380e+00 -2.4706e+00
4403 +3.656187475e+02 +3.656187475e+02 +3.955887475e+02 +3.955887475e+02 +4.9428e-01 -1.7120e+00 -3.6856e+00 -1.4651e+00 +3.4259e+00 +3.8201e+00 -2.7901e+00 -2.0432e+00 +1.9715e+00 -1.5414e+00 +1.6953e+00 -2.3375e+00 +4.1718e+00 +2.3708e+00 -2.0664e+00 +1.6589e+00 -1.2170e+00 -2.7866e+00 +1.6341e+00 -2.9340e+00
5211 +2.365599994e+02 +2.365599994e+02 +2.665299994e+02 +2.665299994e+02 +2.3941e-02 -1.9997e+00 -3.5307e+00 -1.9881e+00 +3.0252e+00 +3.5893e+00 -3.3226e+00 -2.9596e+00 +1.3147e+00 -1.5532e+00 +1.1909e+00 -2.2537e+00 +4.3454e+00 +2.5818e+00 -1.7772e+00 +2.1120e+00 -2.0249e+00 -1.2328e+00 +1.2132e+00 -3.3908e+00
6443 +1.275813970e+02 +1.275813970e+02 +1.575513970e+02 +1.575513970e+02 +8.3237e-01 -1.8671e+00 -3.8774e+00 -1.7770e+00 +3.1244e+00 +3.0782e+00 -4.0631e+00 -2.8433e+00 +3.6657e-01 -2.0493e+00 +9.4331e-01 -1.6000e+00 +3.9129e+00 +2.5466e+00 -1.7180e+00 +2.6451e+00 -2.8219e+00 -4.3683e-01 +1.4481e+00 -3.7423e+00
8003 +9.698184930e+01 +9.698184930e+01 +1.269518493e+02 +1.269518493e+02 +1.0772e+00 -1.8618e+00 -3.5879e+00 -2.1028e+00 +2.9486e+00 +3.2702e+00 -4.0148e+00 -3.0743e+00 +4.6260e-01 -2.1055e+00 +9.1902e-01 -1.3038e+00 +3.6176e+00 +2.2384e+00 -1.5677e+00 +2.7944e+00 -2.9959e+00 -3.2699e-01 +1.7084e+00 -3.7543e+00
9307 +6.303062342e+01 +6.303062342e+01 +9.300062342e+01 +9.300062342e+01 +7.0350e-01 -1.8033e+00 -3.7720e+00 -1.9343e+00 +3.0526e+00 +3.4699e+00 -3.8568e+00 -2.8847e+00 +9.6083e-01 -1.8290e+00 +1.2134e+00 -1.7532e+00 +3.9979e+00 +2.4308e+00 -1.5010e+00 +2.4994e+00 -2.4471e+00 -1.2500e+00 +1.5008e+00 -3.1999e+00
10871 +3.446473674e+01 +3.446473674e+01 +6.443473674e+01 +6.443473674e+01 +9.3730e-01 -1.6791e+00 -3.6434e+00 -1.9715e+00 +3.0691e+00 +3.2775e+00 -4.0663e+00 -2.9957e+00 +6.6895e-01 -1.8392e+00 +1.1222e+00 -1.5804e+00 +3.8768e+00 +2.4292e+00 -1.4838e+00 +2.7038e+00 -2.7427e+00 -6.5950e-01 +1.6201e+00 -3.5047e+00
11534 +2.480097388e+01 +2.480097388e+01 +5.477097388e+01 +5.477097388e+01 +9.8956e-01 -1.7643e+00 -3.6305e+00 -1.9879e+00 +3.0863e+00 +3.1523e+00 -4.0677e+00 -3.0485e+00 +6.2754e-01 -1.8155e+00 +1.0137e+00 -1.5192e+00 +3.8148e+00 +2.2832e+00 -1.4699e+00 +2.7384e+00 -2.7932e+00 -6.6107e-01 +1.6291e+00 -3.4620e+00
13107 +1.499231647e+01 +1.499231647e+01 +4.496231647e+01 +4.496231647e+01 +9.8905e-01 -1.7372e+00 -3.6416e+00 -1.9600e+00 +3.1006e+00 +3.2244e+00 -4.0517e+00 -3.0454e+00 +6.5120e-01 -1.8168e+00 +1.0974e+00 -1.5574e+00 +3.8709e+00 +2.3154e+00 -1.4699e+00 +2.7072e+00 -2.7533e+00 -7.2628e-01 +1.5855e+00 -3.4318e+00
14513 +9.586889593e+00 +9.586889593e+00 +3.955688959e+01 +3.955688959e+01 +8.3172e-01 -1.7063e+00 -3.6869e+00 -1.9126e+00 +3.0994e+00 +3.3835e+00 -3.9224e+00 -2.8561e+00 +8.8113e-01 -1.7324e+00 +1.2997e+00 -1.7137e+00 +4.0284e+00 +2.3658e+00 -1.5036e+00 +2.6626e+00 -2.5760e+00 -1.0272e+00 +1.4951e+00 -3.3043e+00
15712 +3.627989254e+00 +3.627989254e+00 +3.359798925e+01 +3.359798925e+01 +8.8202e-01 -1.7024e+00 -3.6628e+00 -1.9413e+00 +3.1034e+00 +3.3159e+00 -3.9572e+00 -2.9294e+00 +7.8410e-01 -1.7897e+00 +1.2348e+00 -1.6476e+00 +3.9833e+00 +2.3574e+00 -1.5056e+00 +2.6795e+00 -2.6512e+00 -8.6765e-01 +1.5253e+00 -3.3515e+00
18307 +2.292657419e+00 +2.292657419e+00 +3.226265742e+01 +3.226265742e+01 +8.7159e-01 -1.7048e+00 -3.6624e+00 -1.9429e+00 +3.1099e+00 +3.3379e+00 -3.9450e+00 -2.9089e+00 +8.1263e-01 -1.7941e+00 +1.2523e+00 -1.6722e+00 +3.9887e+00 +2.3611e+00 -1.5155e+00 +2.6799e+00 -2.6306e+00 -9.1262e-01 +1.5232e+00 -3.3445e+00
19516 +1.535900746e+00 +1.535900746e+00 +3.150590075e+01 +3.150590075e+01 +8.4565e-01 -1.7013e+00 -3.6757e+00 -1.9309e+00 +3.1178e+00 +3.3666e+00 -3.9190e+00 -2.8616e+00 +8.5258e-01 -1.7808e+00 +1.2903e+00 -1.7022e+00 +4.0111e+00 +2.3738e+00 -1.5179e+00 +2.6744e+00 -2.5942e+00 -9.7422e-01 +1.5146e+00 -3.3146e+00
21301 +9.649314016e-01 +9.649314016e-01 +3.093493140e+01 +3.093493140e+01 +8.7192e-01 -1.7057e+00 -3.6630e+00 -1.9421e+00 +3.1123e+00 +3.3316e+00 -3.9492e+00 -2.9064e+00 +8.0697e-01 -1.7926e+00 +1.2487e+00 -1.6719e+00 +3.9889e+00 +2.3606e+00 -1.5114e+00 +2.6831e+00 -2.6340e+00 -9.0416e-01 +1.5237e+00 -3.3439e+00
22228 +6.175565426e-01 +6.175565426e-01 +3.058755654e+01 +3.058755654e+01 +8.6975e-01 -1.7023e+00 -3.6637e+00 -1.9404e+00 +3.1130e+00 +3.3355e+00 -3.9447e+00 -2.9031e+00 +8.1320e-01 -1.7907e+00 +1.2516e+00 -1.6765e+00 +3.9941e+00 +2.3619e+00 -1.5107e+00 +2.6817e+00 -2.6279e+00 -9.0914e-01 +1.5218e+00 -3.3395e+00
23617 +3.707232742e-01 +3.707232742e-01 +3.034072327e+01 +3.034072327e+01 +8.6497e-01 -1.7030e+00 -3.6661e+00 -1.9371e+00 +3.1134e+00 +3.3430e+00 -3.9395e+00 -2.8938e+00 +8.1976e-01 -1.7875e+00 +1.2596e+00 -1.6817e+00 +3.9957e+00 +2.3639e+00 -1.5126e+00 +2.6804e+00 -2.6218e+00 -9.2308e-01 +1.5195e+00 -3.3349e+00
