% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.837041684e+02 +2.837041684e+02 +2.667641684e+02 +2.667641684e+02 +3.1035e+00 +2.0237e+00 -1.3765e-01 +1.8331e+00 +8.2952e-01 +4.9961e+00 -1.4120e+00 +4.3830e-01 -4.1129e+00 -1.2493e+00 -1.8087e+00 +1.6701e+00 -4.0403e+00 +4.5401e+00 +2.1509e+00 +4.6254e+00 -4.4418e+00 +1.6940e+00 +2.3424e+00 +2.3102e+00
2 +1.820031352e+02 +1.820031352e+02 +1.650631352e+02 +1.650631352e+02 -1.6252e+00 +1.6433e+00 +1.2780e+00 +1.8162e-01 -1.5670e+00 -3.6233e+00 +6.0377e-01 -2.2090e+00 +9.0313e-01 -3.4582e+00 +6.8202e-01 +2.6342e+00 -2.0224e+00 +9.0557e-01 +3.7443e+00 +2.8459e+00 +2.1912e+00 -4.1562e+00 +2.7124e+00 -5.8849e-01
3 +1.082228781e+02 +1.082228781e+02 +9.128287811e+01 +9.128287811e+01 -4.4541e+00 +5.5466e-01 -2.2407e+00 -9.8195e-02 +3.1351e+00 +3.9758e+00 +2.7999e+00 -3.0468e+00 +1.4831e+00 -2.4946e+00 -4.9051e+00 +3.9420e+00 -2.9876e+00 -4.4736e+00 -4.7277e-01 -4.0245e+00 +2.0063e+00 -3.5258e+00 -9.6527e-01 -6.0553e-02
25 +7.412185784e+01 +7.412185784e+01 +5.718185784e+01 +5.718185784e+01 +1.9098e+00 -2.7198e+00 +6.4018e-01 -2.0631e-01 +1.7836e+00 +3.6288e+00 +1.1215e+00 -3.6512e+00 -1.0896e+00 +1.3548e+00 +1.2367e+00 -4.5563e+00 -2.6277e+00 -3.3567e+00 -1.1531e+00 +3.2066e+00 +6.7395e-01 +2.6561e+00 -3.4691e+00 +2.5882e-01
34 +5.724683183e+01 +5.724683183e+01 +4.030683183e+01 +4.030683183e+01 +2.3073e+00 +1.6128e+00 +2.0153e+00 +1.1207e+00 +3.7422e+00 -4.9428e+00 +2.4762e+00 +9.5928e-01 +2.3404e+00 -2.0258e+00 +4.6770e+00 -2.1783e-01 +2.9026e+00 -1.9376e-01 +4.2200e+00 +3.4365e+00 +3.7686e+00 +4.6181e+00 +2.4358e-01 -3.1935e+00
805 +3.060815792e+01 +3.060815792e+01 +1.366815792e+01 +1.366815792e+01 +4.7930e+00 +3.9461e+00 -4.8558e-01 -2.7313e-01 +1.6342e+00 -1.2395e+00 +5.2233e+00 -1.4954e+00 +3.1961e+00 -1.3834e+00 +2.9734e+00 +2.2847e+00 -1.4502e+00 -2.3164e+00 +3.4426e+00 +4.0329e+00 +2.6346e+00 -2.1624e+00 +1.5888e+00 -1.3287e+00
1825 +2.086836298e+01 +2.086836298e+01 +3.928362984e+00 +3.928362984e+00 +8.3936e-01 +3.8106e+00 -3.2608e-01 -1.0395e+00 +2.3948e+00 -8.0123e-01 +4.5711e+00 -1.5949e+00 +9.0086e-01 -1.0410e+00 +2.9413e+00 +3.7071e+00 +4.7456e-01 -1.9053e+00 +1.2844e+00 +4.4320e+00 +3.5886e+00 +2.3977e-01 -7.2017e-01 +1.0724e+00
1944 +1.368793752e+01 +1.368793752e+01 -3.252062476e+00 -3.252062476e+00 +2.0483e+00 +1.7393e+00 -1.3315e-01 -9.9485e-01 +2.5969e+00 -4.0400e+00 +4.5294e-01 -1.7704e+00 +4.3854e-01 -1.3166e+00 +2.9532e+00 +6.8932e-01 -2.6263e+00 -6.2961e-01 +2.6328e+00 +5.0708e+00 +4.1797e+00 -1.0518e+00 -6.1017e-02 +1.6295e+00
6560 +9.192533101e+00 +9.192533101e+00 -7.747466899e+00 -7.747466899e+00 +3.1783e+00 +2.2417e+00 -3.0032e-02 +1.6167e+00 +2.7500e+00 -6.4593e-01 +1.7795e+00 -3.0458e+00 -5.4405e-01 +1.8394e-01 +3.4448e+00 +1.1747e+00 -4.5091e+00 -1.7465e+00 +1.8624e+00 +4.3070e+00 +3.7057e+00 +6.8913e-01 -1.0657e+00 +1.1520e+00
10301 +6.005197194e+00 +6.005197194e+00 -1.093480281e+01 -1.093480281e+01 +3.5312e+00 +2.4786e+00 -2.7514e-01 +8.8309e-01 +2.5979e+00 -2.9142e+00 +3.7958e+00 -2.3131e+00 +9.2093e-01 -2.5365e+00 +3.7022e+00 +8.2048e-01 -3.5546e+00 -1.3986e+00 +3.3143e+00 +4.1030e+00 +4.1467e+00 -1.0163e+00 -5.8556e-01 +1.1706e+00
11302 +3.640411463e+00 +3.640411463e+00 -1.329958854e+01 -1.329958854e+01 +3.7060e+00 +2.5420e+00 -3.8916e-01 +4.7474e-01 +2.4083e+00 -3.2383e+00 +3.2922e+00 -1.9388e+00 +4.8835e-01 -2.6371e+00 +4.0139e+00 -9.4871e-02 -2.9257e+00 -7.9028e-01 +3.0771e+00 +4.2167e+00 +4.0612e+00 -1.0736e+00 -3.4255e-04 +9.1924e-01
17819 +2.289648724e+00 +2.289648724e+00 -1.465035128e+01 -1.465035128e+01 +3.5594e+00 +2.7149e+00 -9.1260e-01 +1.0984e+00 +1.8170e+00 -2.0776e+00 +3.9605e+00 -2.2926e+00 +2.6004e-01 -2.2849e+00 +4.1554e+00 +3.6056e-02 -2.5957e+00 -1.1815e+00 +2.8895e+00 +3.9704e+00 +3.9488e+00 -4.9078e-01 -2.1436e-01 +1.0765e+00
22222 +1.540876870e+00 +1.540876870e+00 -1.539912313e+01 -1.539912313e+01 +3.6762e+00 +2.6097e+00 -1.1521e+00 +1.0764e+00 +1.5423e+00 -1.9387e+00 +3.4394e+00 -2.6737e+00 -5.0273e-01 -1.7535e+00 +3.8513e+00 +3.2825e-01 -2.9583e+00 -1.3789e+00 +2.3920e+00 +3.5476e+00 +3.8350e+00 -2.4044e-01 +5.7231e-02 +1.6098e+00
25215 +8.947624234e-01 +8.947624234e-01 -1.604523758e+01 -1.604523758e+01 +3.6169e+00 +2.5859e+00 -1.5283e+00 +1.4163e+00 +1.3929e+00 -1.6265e+00 +3.5025e+00 -2.4007e+00 -4.8504e-01 -2.1220e+00 +3.7878e+00 +1.1191e-01 -2.3840e+00 -1.3793e+00 +2.5428e+00 +3.3676e+00 +3.9383e+00 -5.6913e-01 +1.2385e-01 +2.4033e+00
29728 +6.077701266e-01 +6.077701266e-01 -1.633222987e+01 -1.633222987e+01 +3.5612e+00 +2.3396e+00 -1.5084e+00 +1.6048e+00 +1.2363e+00 -1.8013e+00 +3.4710e+00 -2.4371e+00 -5.1574e-01 -1.8159e+00 +3.8809e+00 +1.2112e-02 -2.6189e+00 -1.4025e+00 +2.3972e+00 +2.8852e+00 +3.8726e+00 -3.2026e-01 +4.0841e-01 +2.3076e+00
33441 +3.540114340e-01 +3.540114340e-01 -1.658598857e+01 -1.658598857e+01 +3.6400e+00 +2.5355e+00 -1.4986e+00 +1.4783e+00 +1.2815e+00 -1.8903e+00 +3.5173e+00 -2.4483e+00 -4.2574e-01 -1.9533e+00 +3.9192e+00 +1.2820e-01 -2.5421e+00 -1.3450e+00 +2.5083e+00 +3.1152e+00 +3.9363e+00 -3.9078e-01 +3.0501e-01 +2.2665e+00
40584 +2.480171186e-01 +2.480171186e-01 -1.669198288e+01 -1.669198288e+01 +3.6948e+00 +2.5546e+00 -1.5649e+00 +1.4912e+00 +1.4194e+00 -1.8333e+00 +3.5152e+00 -2.3691e+00 -3.4748e-01 -1.9827e+00 +3.9702e+00 +1.1619e-01 -2.4974e+00 -1.3655e+00 +2.5941e+00 +3.1603e+00 +3.9151e+00 -4.6934e-01 +2.6278e-01 +2.1793e+00
44817 +1.490730621e-01 +1.490730621e-01 -1.679092694e+01 -1.679092694e+01 +3.6516e+00 +2.5867e+00 -1.6049e+00 +1.5511e+00 +1.4010e+00 -1.9145e+00 +3.5124e+00 -2.3517e+00 -3.3077e-01 -2.0711e+00 +3.9127e+00 +1.5529e-01 -2.5416e+00 -1.3617e+00 +2.5832e+00 +3.0512e+00 +3.9051e+00 -4.8349e-01 +2.7899e-01 +2.1889e+00
47502 +9.931935541e-02 +9.931935541e-02 -1.684068064e+01 -1.684068064e+01 +3.6459e+00 +2.5420e+00 -1.5435e+00 +1.4800e+00 +1.3802e+00 -1.9033e+00 +3.5054e+00 -2.3603e+00 -3.8896e-01 -2.0352e+00 +3.9373e+00 +9.3063e-02 -2.5321e+00 -1.3323e+00 +2.6052e+00 +3.1294e+00 +3.9466e+00 -4.9771e-01 +2.6677e-01 +2.2419e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.167729576e+02 +3.167729576e+02 +3.355829576e+02 +3.355829576e+02 -3.5064e+00 +7.2175e-01 +3.6175e+00 -3.0005e+00 +4.1835e+00 -5.6580e-01 -2.3588e+00 +2.1141e+00 -3.9852e+00 +3.7741e+00 +2.0906e+00 -3.3006e+00 -4.1376e+00 -4.9262e-01 -1.6690e+00 -6.2381e-01 +4.4708e+00 -4.0585e+00 -1.1719e+00 -2.0641e+00
2 +1.744928112e+02 +1.744928112e+02 +1.933028112e+02 +1.933028112e+02 +3.8583e+00 -1.6295e+00 -1.7471e+00 +1.9689e+00 +2.7431e+00 -1.4762e+00 -4.8863e+00 -3.0613e+00 -4.9327e+00 +3.9808e+00 -3.1260e+00 +2.5951e+00 -1.3327e+00 +2.7199e+00 +3.9934e+00 +6.7526e-02 -3.3363e+00 -1.7563e+00 +1.8595e-01 +2.5798e+00
