% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.964358859e+01 +7.964358859e+01 +1.509935886e+02 +1.509935886e+02 -4.0438e+00 -4.7933e+00 +8.1323e-01 +8.7225e-01 +4.5886e+00 -3.9620e+00 +8.4268e-01 +3.8918e+00 -3.4287e+00 -1.6020e-01 +2.4553e+00 +3.2483e+00 -6.8287e-02 -4.5013e+00 +4.1147e+00 +1.1937e+00 +1.6288e+00 +3.5427e+00 +3.0822e-01 +2.3950e+00
3 +6.221783230e+01 +6.221783230e+01 +1.335678323e+02 +1.335678323e+02 +1.8504e+00 +1.6886e+00 -2.9732e+00 +8.0330e-01 -3.2808e+00 +8.6271e-01 -1.8236e-02 -1.6298e-02 +2.0764e+00 -1.3674e+00 -9.2785e-01 -2.6619e+00 -1.7294e+00 -8.5176e-01 -1.4182e+00 +7.4896e-01 +3.6916e+00 +2.7741e+00 +3.7180e+00 +2.0524e+00
114 +3.970636741e+01 +3.970636741e+01 +1.110563674e+02 +1.110563674e+02 -2.0507e+00 -1.4851e+00 -2.2663e+00 -4.1806e-01 -2.6096e-01 +1.8046e+00 -3.0453e+00 +1.0942e+00 -2.6720e+00 +4.8936e+00 -9.4333e-02 -1.0292e+00 +6.9903e-01 +4.8522e+00 -1.5789e+00 -4.2523e+00 -6.3838e-01 -2.3613e+00 -3.2604e+00 -2.2270e+00
3435 +2.477087959e+01 +2.477087959e+01 +9.612087959e+01 +9.612087959e+01 -2.3054e+00 -4.0333e+00 -1.4008e+00 +1.6970e+00 -1.8009e+00 -2.0972e+00 +3.0601e+00 +4.4393e-01 -2.0100e+00 -1.1834e+00 -1.5081e+00 -1.7457e+00 +3.4295e+00 +3.2433e+00 +3.3492e+00 -4.4170e+00 -2.6837e+00 +1.0327e+00 -4.7740e+00 +2.4235e+00
27329 +1.566056405e+01 +1.566056405e+01 +8.701056405e+01 +8.701056405e+01 -2.3054e+00 -5.0333e+00 -1.4018e+00 +1.6970e+00 -1.8010e+00 -2.0972e+00 +3.0601e+00 +1.4441e+00 -2.0100e+00 -1.1834e+00 -1.5081e+00 -1.7457e+00 +3.4295e+00 +3.2433e+00 +2.3492e+00 -4.4170e+00 -2.6837e+00 +1.0014e+00 -4.7740e+00 +2.4255e+00
32068 +9.920504395e+00 +9.920504395e+00 +8.127050440e+01 +8.127050440e+01 -2.2850e+00 -5.1583e+00 -1.4008e+00 +1.6970e+00 -1.7855e+00 -2.0943e+00 +3.0601e+00 +4.4198e-01 -2.0100e+00 -4.0314e+00 -1.5393e+00 +3.6875e+00 -4.2803e+00 +3.2433e+00 +3.3492e+00 -4.4170e+00 -2.6856e+00 +1.0970e+00 -4.7740e+00 +2.4236e+00
41011 +6.076088020e+00 +6.076088020e+00 +7.742608802e+01 +7.742608802e+01 -2.2850e+00 -5.1583e+00 -1.9319e+00 +1.6999e+00 -1.8009e+00 -2.1128e+00 +3.0601e+00 +4.7323e-01 -2.0100e+00 -4.0314e+00 -1.6643e+00 +3.6875e+00 -4.2803e+00 +3.2433e+00 +3.3492e+00 -4.4170e+00 -2.6856e+00 +1.0970e+00 -4.7740e+00 +2.4236e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.725609679e+01 +8.725609679e+01 -2.679639032e+02 -2.679639032e+02 -2.4964e-01 -4.6396e+00 +3.8381e+00 +2.0554e+00 -2.1431e+00 -8.2218e-01 -2.8512e-01 -1.7524e-01 -5.8854e-02 -3.5322e+00 -3.0224e-01 +2.5764e-01 -4.0631e+00 -1.0713e+00 +1.1398e+00 -3.1727e+00 -3.1244e+00 +3.1681e+00 +1.2391e+00 +3.1757e+00
3 +5.599903325e+01 +5.599903325e+01 -2.992209667e+02 -2.992209667e+02 +7.0238e-01 -4.3603e+00 -1.6878e+00 -4.6131e+00 -3.1212e+00 +2.9743e+00 -3.9634e+00 -1.7631e+00 +3.0477e+00 -1.9199e+00 +2.6297e+00 -4.2426e+00 +1.8784e+00 +4.4517e+00 +1.6088e+00 +2.1732e+00 -3.9210e+00 -2.2047e+00 +6.0070e-01 +1.4148e+00
77 +2.709253574e+01 +2.709253574e+01 -3.281274643e+02 -3.281274643e+02 +3.7851e+00 -1.2979e+00 -2.2205e+00 +4.8511e+00 -3.2642e+00 +9.5528e-01 -4.9669e+00 +5.1917e-01 -1.3914e+00 +4.1567e+00 -2.3443e+00 -4.0847e+00 +4.2953e+00 +1.4397e+00 -1.2021e+00 -5.0926e-02 -6.4508e-01 -4.1373e+00 +2.6817e+00 +2.5893e+00
6891 +2.250834172e+01 +2.250834172e+01 -3.327116583e+02 -3.327116583e+02 -2.5955e+00 +1.4510e+00 -1.1745e+00 +2.6335e+00 -9.1014e-02 -2.8546e+00 +4.6107e+00 -2.3648e-01 -3.2423e+00 -2.8862e+00 +2.0889e+00 -1.5995e+00 -3.0164e+00 +1.7600e+00 -3.7149e+00 -2.8579e+00 -3.7304e+00 -8.0243e-01 -1.0316e+00 +1.6804e-01
25846 +1.558307345e+01 +1.558307345e+01 -3.396369265e+02 -3.396369265e+02 +3.2308e+00 +1.5597e+00 +2.7967e-01 +4.9718e+00 +3.6841e+00 +1.4701e+00 +5.3335e-01 -3.7286e+00 +3.4484e+00 -4.7454e+00 -2.6446e-01 -1.2727e+00 +4.0517e+00 -1.1798e+00 +3.0773e+00 +1.7744e+00 -4.2441e+00 -3.6375e+00 -4.6088e+00 -2.7602e-01
39807 +9.917301720e+00 +9.917301720e+00 -3.453026983e+02 -3.453026983e+02 +3.1058e+00 +1.5291e+00 +3.3826e-01 +4.9718e+00 +3.6802e+00 +1.4076e+00 +5.3335e-01 -3.9786e+00 +3.3839e+00 -4.7454e+00 -2.6446e-01 -1.2727e+00 +4.2856e+00 -1.0548e+00 +3.0773e+00 +1.7666e+00 -4.2128e+00 -3.7019e+00 -4.6088e+00 -2.7602e-01
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
