% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.810695106e+07 +4.810695106e+07 +4.810674118e+07 +4.810674118e+07 +4.2412e+00 +2.1605e+00 +4.2388e+00 +3.6880e+00 -4.0333e-02 +3.9402e+00 +4.2140e+00 +2.4250e+00 -8.7509e-01 -2.6575e+00 -3.5548e+00 +2.4688e-01 +1.8895e+00 +2.5982e+00 -5.4888e-01 -1.6948e+00 +4.5813e-01 -3.6682e+00 -4.0687e+00 -4.3761e+00
2 +4.342530092e+06 +4.342530092e+06 +4.342320212e+06 +4.342320212e+06 -2.0035e-01 +4.9349e+00 +3.5938e+00 -3.6872e+00 -3.8887e+00 +4.0733e+00 -9.4380e-01 -4.8163e-01 +2.7501e+00 +3.7180e+00 -7.2847e-01 +5.4095e-02 -6.7214e-01 +1.7683e+00 -4.1287e-01 -2.6307e+00 -8.4601e-01 +2.5686e+00 -8.0755e-01 +3.5383e+00
29 +3.548138090e+06 +3.548138090e+06 +3.547928210e+06 +3.547928210e+06 +9.4895e-02 +1.4169e+00 -3.3862e-03 -1.0806e+00 -2.9702e-01 +1.8396e+00 +4.4363e+00 -7.3477e-01 +1.6400e+00 +1.1050e-01 +3.8764e+00 -4.3041e+00 +3.2334e+00 -4.7651e+00 +6.6567e-01 -2.6494e+00 -1.1893e-01 +8.6701e-01 -1.3138e+00 +1.2228e+00
50 +9.653757914e+05 +9.653757914e+05 +9.651659114e+05 +9.651659114e+05 +2.1867e+00 -2.3564e+00 +9.4290e-01 +3.7133e+00 +3.7596e+00 +2.4434e-01 +9.0013e-01 +7.9105e-01 -1.5453e+00 +5.9348e-01 -2.7400e+00 -2.9932e+00 -1.8926e+00 -2.1315e+00 +1.6220e+00 -3.3540e+00 -2.9091e+00 +3.5935e+00 -1.5272e+00 +1.6687e+00
2612 +5.547780466e+05 +5.547780466e+05 +5.545681666e+05 +5.545681666e+05 +3.7050e+00 -1.6917e-01 +2.8645e+00 -4.6692e+00 -1.7947e+00 -3.5841e+00 -1.0568e+00 +2.8357e+00 +2.4360e+00 -1.3362e+00 +8.7898e-01 +2.5248e+00 +3.6739e+00 +1.9604e+00 +8.1354e-01 -4.6125e+00 -3.6982e+00 +3.1522e+00 -2.4614e+00 +1.5413e+00
3592 +1.950520094e+05 +1.950520094e+05 +1.948421294e+05 +1.948421294e+05 -1.2542e+00 -3.1462e+00 +1.4665e+00 +1.7959e+00 +2.2347e+00 +2.0594e+00 -5.6369e-01 -4.1744e+00 -1.7874e+00 +4.2711e+00 -4.5133e-01 -1.6502e+00 +4.1351e+00 -4.9374e-01 -2.9616e-01 -3.4938e+00 -2.3898e+00 +3.2126e+00 -2.5509e+00 +2.0659e+00
4620 +1.225179462e+05 +1.225179462e+05 +1.223080662e+05 +1.223080662e+05 -1.2542e+00 -3.8961e+00 +3.4665e+00 -3.2415e+00 -3.0139e-01 -2.9006e+00 -1.3778e+00 -2.0996e+00 +3.7247e-01 +7.8401e-01 +1.3008e-01 -9.7897e-01 +4.1360e+00 -4.9374e-01 -2.2568e+00 -4.3990e+00 -3.6512e+00 +3.0147e+00 -2.4614e+00 +2.0659e+00
6649 +9.950475055e+04 +9.950475055e+04 +9.929487055e+04 +9.929487055e+04 -1.2542e+00 -3.1462e+00 +1.4665e+00 +3.7143e+00 +3.7596e+00 +1.2988e+00 -5.2668e-01 +8.8754e-01 -1.3869e+00 +5.9348e-01 +2.6582e+00 +9.3229e-01 +3.6739e+00 -1.8829e+00 -1.5233e+00 -4.6125e+00 -3.1625e+00 +3.2126e+00 -2.5509e+00 +2.0972e+00
7570 +5.523979979e+04 +5.523979979e+04 +5.502991979e+04 +5.502991979e+04 +1.2542e+00 +3.5483e+00 +2.1785e+00 -1.2635e+00 +1.1046e+00 -1.2986e-01 +2.8465e+00 +8.8754e-01 -5.7987e-01 +4.2711e+00 -4.5133e-01 +2.0248e+00 +3.6739e+00 -1.9454e+00 -1.5233e+00 -3.4938e+00 -3.1625e+00 +3.2126e+00 -2.5509e+00 +2.0659e+00
8614 +3.940966407e+04 +3.940966407e+04 +3.919978407e+04 +3.919978407e+04 -1.2542e+00 -3.1462e+00 +1.4665e+00 +3.7143e+00 +3.7596e+00 +1.2988e+00 -6.5168e-01 +8.8754e-01 -1.3869e+00 +4.2711e+00 +8.7508e-01 +9.3229e-01 +3.6739e+00 -1.8829e+00 -1.5233e+00 -3.4938e+00 -2.8859e+00 +3.2126e+00 -2.3989e+00 +2.0659e+00
