% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.180802398e+09 +5.180802398e+09 +5.180801776e+09 +5.180801776e+09 -4.5430e+00 -6.9774e-01 -2.2951e-01 -2.5899e+00 +5.5221e-01 +4.0028e+00 -2.3419e+00 -1.4711e+00 -8.3567e-01 -3.3713e-01 -4.6052e+00 +2.2366e+00 +4.8132e+00 -4.0056e+00 +4.9285e+00 +2.2767e+00 -1.4374e+00 -4.3433e-01 -3.2989e+00 +6.7685e-01
4 +1.404619697e+09 +1.404619697e+09 +1.404619076e+09 +1.404619076e+09 +4.5409e+00 +3.3186e+00 -2.6466e+00 +8.9275e-01 +1.6627e+00 +3.3862e+00 -4.8196e+00 +8.4772e-01 +4.2744e+00 +2.5470e+00 +1.2010e+00 -5.5173e-01 -3.6262e+00 +2.9844e+00 -3.9325e+00 -6.7222e-01 +1.4426e+00 +3.2126e-01 +2.6768e+00 +5.0496e-01
13 +7.765671076e+08 +7.765671076e+08 +7.765664865e+08 +7.765664865e+08 -4.0784e-01 -3.1323e+00 -4.7647e+00 -1.8300e+00 -4.6187e+00 +1.6157e+00 +1.3502e-01 +3.4035e-01 -2.7984e+00 -2.1223e+00 -2.1062e+00 -2.6046e+00 +3.5515e+00 +4.4775e+00 +3.7791e+00 -1.2885e+00 -2.5530e-01 -4.8951e+00 -1.9995e+00 -3.2590e+00
18 +5.084475899e+08 +5.084475899e+08 +5.084469688e+08 +5.084469688e+08 -7.7720e-02 +3.5239e+00 +1.1156e+00 -1.4393e+00 -4.6435e+00 +3.6023e-01 -1.0474e+00 +4.6668e+00 -3.6468e+00 +4.1141e-01 -6.2521e-01 -2.8117e-01 -2.4060e+00 -1.7953e+00 -3.3437e+00 +2.7210e+00 +3.0963e+00 +3.6531e+00 -2.9906e+00 -1.0383e+00
48 +1.182973513e+08 +1.182973513e+08 +1.182967302e+08 +1.182967302e+08 +6.6992e-02 -9.5571e-02 +1.8185e+00 -4.5346e+00 -1.0752e+00 -1.1302e+00 -2.7862e+00 +3.2284e+00 +2.1054e+00 +2.3626e+00 +3.2781e+00 +2.2666e+00 +4.7369e+00 +2.2792e+00 +1.7672e-02 -3.8550e+00 +2.7358e+00 +4.3474e+00 -1.0439e+00 -4.0915e+00
681 +9.814838362e+07 +9.814838362e+07 +9.814776251e+07 +9.814776251e+07 +2.7977e+00 +2.6073e+00 +1.5990e-02 -3.9831e+00 -3.0781e-01 -5.0952e-01 +3.4361e+00 +1.3273e+00 +2.1985e+00 -3.0473e-01 +1.0849e+00 -2.9682e-02 +1.2464e+00 +2.6757e+00 -2.4346e+00 -3.0191e+00 +2.9309e+00 +4.0262e+00 +4.2736e+00 -4.4367e+00
2036 +6.246750482e+07 +6.246750482e+07 +6.246688371e+07 +6.246688371e+07 +8.0661e-02 +4.6956e+00 -1.5666e-02 -2.8178e+00 +2.7665e+00 -2.8175e+00 +2.6709e+00 +1.5387e+00 +5.6784e+00 +1.6759e+00 +2.9014e+00 +1.7470e+00 +4.7001e+00 +1.7672e+00 +2.1448e+00 -3.1216e-01 +8.1475e-01 +2.2814e+00 +1.9853e+00 -1.8506e+00
2614 +3.909793183e+07 +3.909793183e+07 +3.909731072e+07 +3.909731072e+07 -1.0668e-01 +4.5692e+00 -2.0163e-01 -4.0483e+00 -2.0035e-01 -2.1079e+00 +1.7346e-01 +7.4319e-01 +1.1146e+00 +3.5079e+00 +1.9662e+00 +1.4592e+00 +5.2647e+00 -5.1439e-01 +3.2750e+00 -3.3144e+00 -1.5452e-01 -8.1571e-01 +1.0884e-02 +1.3560e+00
2917 +2.346876412e+07 +2.346876412e+07 +2.346814301e+07 +2.346814301e+07 -7.7917e-01 +3.1666e+00 -2.6143e+00 -2.3349e+00 -1.3853e+00 -2.3546e+00 +2.5051e+00 +6.6563e-01 +8.8448e-01 -1.1856e+00 +1.4158e+00 +3.4978e+00 +2.5520e+00 +1.1739e+00 +2.2561e+00 -1.2092e+00 +3.8055e-01 +1.1836e+00 +1.3781e+00 -9.1856e-01
4338 +1.510905883e+07 +1.510905883e+07 +1.510843772e+07 +1.510843772e+07 -9.0157e-01 +4.2736e+00 +1.3261e+00 -4.2837e+00 -1.2788e+00 -2.3412e+00 +2.5394e+00 -9.0653e-01 +3.2928e-01 +9.0729e-01 +1.0302e+00 +1.5205e+00 +2.4849e+00 +7.8609e-01 +1.8500e+00 -2.7536e+00 -1.2528e-02 +1.6962e+00 +1.5845e+00 +1.5641e+00
5004 +9.979944444e+06 +9.979944444e+06 +9.979323334e+06 +9.979323334e+06 -5.4480e-01 +4.7514e+00 -1.9140e-01 -4.1624e+00 -1.0262e+00 -5.9103e-01 +4.3465e-01 -1.2004e+00 +1.2841e+00 -1.2908e+00 +1.0802e+00 +3.4965e+00 +4.8869e+00 +1.9621e+00 +1.8247e+00 -9.4620e-01 +1.2608e+00 +1.8882e+00 +1.2671e-01 -5.9048e-02
5772 +5.254015722e+06 +5.254015722e+06 +5.253394612e+06 +5.253394612e+06 -6.5686e-01 +3.8401e+00 -1.1629e-01 -2.5983e+00 -6.3747e-01 -2.2150e+00 +7.8975e-01 -1.0751e+00 +2.2872e+00 -9.6570e-01 +3.9073e-01 +2.9710e+00 +3.7354e+00 +1.0343e+00 +2.6091e+00 -2.7945e+00 +7.7958e-01 +2.5880e+00 +1.1403e+00 +2.8707e-01
6309 +3.549321426e+06 +3.549321426e+06 +3.548700316e+06 +3.548700316e+06 -8.9828e-01 +3.1696e+00 +8.2175e-01 -3.3440e+00 -6.3747e-01 -2.4416e+00 +1.7388e+00 -1.1211e+00 +1.1078e+00 -2.3519e-01 -6.2352e-02 +3.1892e+00 +3.7354e+00 +1.5664e+00 +2.6091e+00 -2.7945e+00 +7.7958e-01 +1.6303e+00 +3.5343e-01 -6.9773e-01
7138 +2.384424738e+06 +2.384424738e+06 +2.383803628e+06 +2.383803628e+06 -4.2198e-01 +3.7206e+00 +9.5916e-01 -3.2316e+00 -7.0707e-01 -1.9713e+00 +1.5762e+00 -1.0840e+00 +1.0991e+00 +5.0150e-02 +6.8856e-01 +2.3916e+00 +3.2143e+00 +1.3204e+00 +3.0938e+00 -2.2526e+00 +8.1757e-01 +1.5921e+00 +9.2915e-01 -6.0879e-01
8108 +1.543813316e+06 +1.543813316e+06 +1.543192206e+06 +1.543192206e+06 -4.2198e-01 +3.5580e+00 +9.5916e-01 -2.9696e+00 -7.0707e-01 -1.9713e+00 +1.5762e+00 -1.0840e+00 +1.0991e+00 +5.0150e-02 +6.8856e-01 +2.7542e+00 +3.3061e+00 +1.3204e+00 +1.8641e+00 -1.9345e+00 +8.1757e-01 +2.7438e+00 +9.2915e-01 -6.0879e-01
8640 +8.905453993e+05 +8.905453993e+05 +8.899242893e+05 +8.899242893e+05 -5.5730e-01 +3.7263e+00 -9.5522e-03 -3.8232e+00 -3.6770e-01 -2.3534e+00 +1.8224e+00 -8.3798e-01 +1.1417e+00 -1.5304e-01 +7.4590e-01 +3.0750e+00 +3.6804e+00 +1.6927e+00 +1.9280e+00 -1.9039e+00 +1.2785e+00 +2.2016e+00 +8.9139e-01 -1.2888e-01
9035 +6.041082704e+05 +6.041082704e+05 +6.034871604e+05 +6.034871604e+05 -1.0755e+00 +3.8119e+00 +2.7725e-02 -3.6997e+00 -6.4838e-01 -1.8487e+00 +1.5671e+00 -7.0469e-01 +1.0325e+00 -2.0323e-01 +8.4229e-01 +2.8871e+00 +3.5022e+00 +1.4322e+00 +2.9278e+00 -2.1560e+00 +1.0031e+00 +1.8877e+00 +4.9813e-01 +1.6994e-01
10057 +3.815338977e+05 +3.815338977e+05 +3.809127877e+05 +3.809127877e+05 -1.2784e+00 +3.9600e+00 -1.0268e-01 -3.7278e+00 -6.5943e-01 -2.1538e+00 +1.3157e+00 -6.8890e-01 +1.0525e+00 -4.0344e-01 +8.0384e-01 +2.8116e+00 +3.6800e+00 +1.2642e+00 +2.5381e+00 -1.9002e+00 +1.2947e+00 +1.8917e+00 +2.8222e-01 +2.1025e-01
10901 +2.394028556e+05 +2.394028556e+05 +2.387817456e+05 +2.387817456e+05 -9.6904e-01 +4.0209e+00 +2.3187e-01 -3.6595e+00 -2.9014e-01 -2.1576e+00 +1.4689e+00 -7.1581e-01 +1.0071e+00 -2.5746e-01 +7.7025e-01 +2.8982e+00 +3.6315e+00 +1.3218e+00 +2.4729e+00 -1.8131e+00 +1.0077e+00 +2.0828e+00 +6.7004e-01 +6.5944e-02
11365 +1.472061341e+05 +1.472061341e+05 +1.465850241e+05 +1.465850241e+05 -8.9772e-01 +3.9792e+00 +3.4677e-01 -3.6079e+00 -5.9413e-01 -2.3080e+00 +1.6323e+00 -8.7593e-01 +9.9878e-01 -2.8086e-01 +8.6601e-01 +2.8794e+00 +3.8771e+00 +1.4129e+00 +2.3909e+00 -1.9395e+00 +1.0594e+00 +2.1194e+00 +7.0781e-01 -2.9524e-02
12041 +9.272900214e+04 +9.272900214e+04 +9.210789214e+04 +9.210789214e+04 -7.8179e-01 +3.9961e+00 +3.0725e-01 -3.5966e+00 -4.5988e-01 -2.0746e+00 +1.7301e+00 -8.0873e-01 +9.3772e-01 -3.1130e-01 +8.9466e-01 +2.7705e+00 +3.6528e+00 +1.3790e+00 +2.3614e+00 -2.1839e+00 +1.0188e+00 +2.1248e+00 +6.1369e-01 -8.3339e-02
12541 +5.935984895e+04 +5.935984895e+04 +5.873873895e+04 +5.873873895e+04 -6.3841e-01 +4.0856e+00 +3.1387e-01 -3.4606e+00 -5.7393e-01 -1.9832e+00 +1.7164e+00 -7.5717e-01 +1.0430e+00 -3.2472e-01 +8.9147e-01 +2.9318e+00 +3.6460e+00 +1.4400e+00 +2.2814e+00 -2.0360e+00 +1.0682e+00 +2.2332e+00 +6.2817e-01 -2.0712e-01
13732 +3.145824049e+04 +3.145824049e+04 +3.083713049e+04 +3.083713049e+04 -6.9060e-01 +4.0471e+00 +4.2263e-01 -3.4401e+00 -5.7557e-01 -1.9833e+00 +1.7833e+00 -7.4270e-01 +1.0052e+00 -3.4929e-01 +8.7740e-01 +2.8284e+00 +3.7353e+00 +1.5181e+00 +2.2902e+00 -2.0670e+00 +1.0127e+00 +2.2132e+00 +7.4259e-01 -3.2888e-01
14501 +2.473412816e+04 +2.473412816e+04 +2.411301816e+04 +2.411301816e+04 -6.4684e-01 +4.0588e+00 +4.0081e-01 -3.4462e+00 -5.9481e-01 -1.9833e+00 +1.8007e+00 -7.4270e-01 +9.9416e-01 -3.5535e-01 +9.0580e-01 +2.8284e+00 +3.7065e+00 +1.5359e+00 +2.2902e+00 -2.0403e+00 +1.0127e+00 +2.2892e+00 +8.4945e-01 -3.2888e-01
15563 +1.448217272e+04 +1.448217272e+04 +1.386106272e+04 +1.386106272e+04 -6.3383e-01 +4.0549e+00 +3.2174e-01 -3.3939e+00 -6.2898e-01 -1.9697e+00 +1.7451e+00 -7.3912e-01 +1.0549e+00 -3.7018e-01 +9.1621e-01 +2.7697e+00 +3.7029e+00 +1.5405e+00 +2.2305e+00 -2.0608e+00 +9.6574e-01 +2.2648e+00 +8.2224e-01 -3.1000e-01
16213 +9.900486058e+03 +9.900486058e+03 +9.279376058e+03 +9.279376058e+03 -6.5953e-01 +4.0205e+00 +3.8472e-01 -3.4851e+00 -6.5485e-01 -2.0149e+00 +1.6248e+00 -7.9058e-01 +1.0458e+00 -3.4684e-01 +8.8463e-01 +2.8103e+00 +3.7438e+00 +1.5033e+00 +2.3501e+00 -2.0457e+00 +9.9828e-01 +2.2335e+00 +7.6472e-01 -2.7152e-01
16819 +5.493883745e+03 +5.493883745e+03 +4.872773745e+03 +4.872773745e+03 -6.5842e-01 +4.0547e+00 +3.5745e-01 -3.4900e+00 -6.4706e-01 -2.0063e+00 +1.6293e+00 -7.4077e-01 +1.0499e+00 -3.6086e-01 +8.9969e-01 +2.7988e+00 +3.7165e+00 +1.5159e+00 +2.3454e+00 -2.0425e+00 +9.6674e-01 +2.2627e+00 +7.6934e-01 -2.6296e-01
18137 +3.242794558e+03 +3.242794558e+03 +2.621684558e+03 +2.621684558e+03 -6.5558e-01 +4.0392e+00 +3.5569e-01 -3.4639e+00 -6.5328e-01 -2.0337e+00 +1.7260e+00 -7.2752e-01 +1.0480e+00 -3.5341e-01 +9.3670e-01 +2.7903e+00 +3.7245e+00 +1.5125e+00 +2.3306e+00 -2.0700e+00 +9.6294e-01 +2.2684e+00 +8.0239e-01 -2.4170e-01
19202 +2.069296682e+03 +2.069296682e+03 +1.448186682e+03 +1.448186682e+03 -6.2609e-01 +4.0416e+00 +3.4445e-01 -3.4582e+00 -6.3847e-01 -2.0253e+00 +1.7184e+00 -7.2939e-01 +1.0340e+00 -3.6262e-01 +9.2094e-01 +2.8026e+00 +3.7178e+00 +1.5229e+00 +2.3033e+00 -2.0549e+00 +9.4564e-01 +2.2343e+00 +7.8359e-01 -2.3336e-01
20008 +1.138673969e+03 +1.138673969e+03 +5.175639693e+02 +5.175639693e+02 -6.6360e-01 +4.0372e+00 +3.4806e-01 -3.4527e+00 -6.5113e-01 -2.0133e+00 +1.7042e+00 -7.2974e-01 +1.0500e+00 -3.6011e-01 +8.9743e-01 +2.7998e+00 +3.7272e+00 +1.5346e+00 +2.3035e+00 -2.0559e+00 +9.6449e-01 +2.2512e+00 +7.7553e-01 -2.5806e-01
20804 +9.110794299e+02 +9.110794299e+02 +2.899694299e+02 +2.899694299e+02 -6.6302e-01 +4.0345e+00 +3.5043e-01 -3.4441e+00 -6.7118e-01 -2.0176e+00 +1.7262e+00 -7.2853e-01 +1.0514e+00 -3.5856e-01 +9.0586e-01 +2.8051e+00 +3.7258e+00 +1.5194e+00 +2.2935e+00 -2.0445e+00 +9.5934e-01 +2.2459e+00 +7.9184e-01 -2.6009e-01
22312 +4.632939494e+02 +4.632939494e+02 -1.578160506e+02 -1.578160506e+02 -6.6113e-01 +4.0398e+00 +3.3322e-01 -3.4693e+00 -6.3287e-01 -2.0232e+00 +1.6958e+00 -7.2757e-01 +1.0433e+00 -3.6414e-01 +9.0095e-01 +2.7986e+00 +3.7146e+00 +1.5135e+00 +2.3136e+00 -2.0488e+00 +9.6797e-01 +2.2302e+00 +7.6741e-01 -2.5031e-01
22326 +3.401636262e+02 +3.401636262e+02 -2.809463738e+02 -2.809463738e+02 -6.5388e-01 +4.0420e+00 +3.4429e-01 -3.4552e+00 -6.5374e-01 -2.0240e+00 +1.7126e+00 -7.3707e-01 +1.0405e+00 -3.6672e-01 +9.0858e-01 +2.8044e+00 +3.7090e+00 +1.5181e+00 +2.3098e+00 -2.0430e+00 +9.6039e-01 +2.2358e+00 +7.9417e-01 -2.4788e-01
23510 +2.214028247e+02 +2.214028247e+02 -3.997071753e+02 -3.997071753e+02 -6.5407e-01 +4.0418e+00 +3.4382e-01 -3.4628e+00 -6.5257e-01 -2.0206e+00 +1.6996e+00 -7.3679e-01 +1.0398e+00 -3.6559e-01 +9.0670e-01 +2.7977e+00 +3.7189e+00 +1.5184e+00 +2.3110e+00 -2.0435e+00 +9.6480e-01 +2.2432e+00 +7.9506e-01 -2.4901e-01
23905 +1.466679555e+02 +1.466679555e+02 -4.744420445e+02 -4.744420445e+02 -6.4953e-01 +4.0415e+00 +3.5687e-01 -3.4455e+00 -6.6174e-01 -2.0201e+00 +1.7041e+00 -7.2979e-01 +1.0381e+00 -3.6617e-01 +9.0693e-01 +2.7972e+00 +3.7183e+00 +1.5198e+00 +2.3008e+00 -2.0443e+00 +9.5566e-01 +2.2466e+00 +7.9367e-01 -2.5230e-01
25312 +9.060714468e+01 +9.060714468e+01 -5.305028553e+02 -5.305028553e+02 -6.5243e-01 +4.0411e+00 +3.4772e-01 -3.4534e+00 -6.5490e-01 -2.0244e+00 +1.7072e+00 -7.3294e-01 +1.0370e+00 -3.6204e-01 +9.0900e-01 +2.7981e+00 +3.7179e+00 +1.5168e+00 +2.3031e+00 -2.0435e+00 +9.5573e-01 +2.2444e+00 +7.9085e-01 -2.4727e-01
25626 +6.044103061e+01 +6.044103061e+01 -5.606689694e+02 -5.606689694e+02 -6.5063e-01 +4.0364e+00 +3.4705e-01 -3.4524e+00 -6.5739e-01 -2.0257e+00 +1.7055e+00 -7.3491e-01 +1.0439e+00 -3.6338e-01 +9.0467e-01 +2.7976e+00 +3.7137e+00 +1.5198e+00 +2.3042e+00 -2.0466e+00 +9.5655e-01 +2.2461e+00 +7.9102e-01 -2.5139e-01
26429 +3.599010997e+01 +3.599010997e+01 -5.851198900e+02 -5.851198900e+02 -6.5020e-01 +4.0364e+00 +3.4948e-01 -3.4532e+00 -6.5863e-01 -2.0224e+00 +1.7055e+00 -7.3511e-01 +1.0377e+00 -3.6413e-01 +9.0403e-01 +2.7998e+00 +3.7159e+00 +1.5183e+00 +2.3073e+00 -2.0455e+00 +9.5758e-01 +2.2474e+00 +7.9342e-01 -2.4881e-01
27072 +2.062339557e+01 +2.062339557e+01 -6.004866044e+02 -6.004866044e+02 -6.5364e-01 +4.0378e+00 +3.4972e-01 -3.4531e+00 -6.5944e-01 -2.0244e+00 +1.7055e+00 -7.3402e-01 +1.0403e+00 -3.6398e-01 +9.0563e-01 +2.7994e+00 +3.7147e+00 +1.5162e+00 +2.3032e+00 -2.0472e+00 +9.5762e-01 +2.2471e+00 +7.9323e-01 -2.4720e-01
28526 +1.574503184e+01 +1.574503184e+01 -6.053649682e+02 -6.053649682e+02 -6.5255e-01 +4.0373e+00 +3.4877e-01 -3.4536e+00 -6.5707e-01 -2.0244e+00 +1.7054e+00 -7.3266e-01 +1.0383e+00 -3.6336e-01 +9.0667e-01 +2.7981e+00 +3.7148e+00 +1.5165e+00 +2.3075e+00 -2.0479e+00 +9.5731e-01 +2.2475e+00 +7.9199e-01 -2.4908e-01
30302 +7.772056516e+00 +7.772056516e+00 -6.133379435e+02 -6.133379435e+02 -6.5394e-01 +4.0360e+00 +3.4990e-01 -3.4545e+00 -6.5682e-01 -2.0242e+00 +1.7046e+00 -7.3378e-01 +1.0418e+00 -3.6451e-01 +9.0518e-01 +2.7983e+00 +3.7165e+00 +1.5158e+00 +2.3073e+00 -2.0482e+00 +9.5991e-01 +2.2464e+00 +7.9090e-01 -2.4782e-01
31417 +5.472518990e+00 +5.472518990e+00 -6.156374810e+02 -6.156374810e+02 -6.5275e-01 +4.0376e+00 +3.4933e-01 -3.4545e+00 -6.5672e-01 -2.0239e+00 +1.7049e+00 -7.3333e-01 +1.0418e+00 -3.6316e-01 +9.0698e-01 +2.7984e+00 +3.7165e+00 +1.5156e+00 +2.3066e+00 -2.0487e+00 +9.5911e-01 +2.2466e+00 +7.9109e-01 -2.4824e-01
32010 +2.982146208e+00 +2.982146208e+00 -6.181278538e+02 -6.181278538e+02 -6.5275e-01 +4.0368e+00 +3.4907e-01 -3.4542e+00 -6.5672e-01 -2.0239e+00 +1.7049e+00 -7.3333e-01 +1.0405e+00 -3.6316e-01 +9.0716e-01 +2.7984e+00 +3.7165e+00 +1.5154e+00 +2.3066e+00 -2.0474e+00 +9.5911e-01 +2.2466e+00 +7.9109e-01 -2.4824e-01
