% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.375165689e+03 +1.375165689e+03 +2.375165689e+03 +2.375165689e+03 -1.5126e+00 +4.7891e+00 +8.1460e-01 +2.7695e-01 -3.3965e+00 +2.2134e+00 -2.7251e+00 -3.3925e+00 +2.1535e+00 -3.8672e+00 -1.4593e+00 -1.3388e+00 -4.3798e+00 +4.9009e+00 +2.8356e+00 +7.4413e-01 -2.9076e+00 -4.2623e+00 +2.8367e+00 -4.7669e+00
2 +8.980809022e+02 +8.980809022e+02 +1.898080902e+03 +1.898080902e+03 -1.9136e+00 +3.3332e-01 +1.3313e+00 +2.6607e+00 +3.1497e+00 -2.2910e+00 +9.2678e-01 +4.3236e+00 +2.2141e+00 +9.9891e-01 -4.9701e+00 -2.2392e+00 -2.5422e+00 +1.4703e+00 -6.7736e-01 -8.2021e-01 -8.7828e-01 +4.8388e+00 -9.9591e-02 -3.6620e+00
104 +5.684181262e+02 +5.684181262e+02 +1.568418126e+03 +1.568418126e+03 -2.5828e+00 +2.7899e+00 -3.2343e-01 +3.0695e+00 +4.0365e+00 -2.8423e+00 +1.4915e+00 -1.9504e+00 +7.9590e-01 -6.5429e-01 +1.0910e+00 +3.6888e-01 -1.5332e+00 -3.6357e+00 +8.9630e-02 +8.8909e-01 +3.4318e-01 -5.6390e+00 +5.2649e+00 -1.8551e+00
913 +3.852497935e+02 +3.852497935e+02 +1.385249794e+03 +1.385249794e+03 -4.7275e+00 +6.0449e+00 +3.8477e+00 -5.7570e-02 +1.9116e+00 -2.1532e+00 -4.0576e+00 +1.7179e+00 -4.9371e+00 +4.2295e-01 -3.2501e+00 -2.2288e+00 -1.1279e+00 -1.9391e+00 +1.0564e+00 +2.0434e+00 +7.2384e+00 -1.0936e+00 -1.0017e+00 -3.9214e+00
3101 +2.037027080e+02 +2.037027080e+02 +1.203702708e+03 +1.203702708e+03 -1.8312e+00 +3.7248e+00 +4.8569e+00 +1.7943e+00 +3.2524e+00 -4.0879e+00 -2.0532e+00 +1.9674e-01 -4.3410e+00 -3.6471e-01 -8.0328e-01 +1.1201e-01 -1.3767e-01 -2.3607e+00 +2.5195e+00 +2.4604e+00 +3.7050e+00 -5.2010e-01 -1.0032e+00 -2.0441e+00
15124 +1.532636065e+02 +1.532636065e+02 +1.153263606e+03 +1.153263606e+03 -2.2662e+00 +3.7965e+00 +4.2556e+00 +4.2893e+00 +3.5952e+00 -4.5763e+00 -1.4043e+00 +7.3287e-02 -3.6222e+00 -4.8383e-01 -1.2550e+00 -8.2840e-01 -1.0187e-01 -4.2462e+00 +2.4547e+00 +3.6517e+00 +2.1805e+00 +1.0623e+00 -7.1212e-01 -5.7535e-01
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.716847428e+03 +3.716847428e+03 +3.786877428e+03 +3.786877428e+03 -2.2715e+00 +4.7884e+00 -4.3446e+00 -4.6433e+00 +4.4792e+00 +3.5224e+00 -4.6335e+00 -1.7792e+00 -4.4368e+00 -3.9235e+00 -3.0654e+00 -2.5853e+00 -2.9027e+00 +2.4364e+00 -3.9193e+00 +4.7117e+00 +9.7643e-01 -4.6344e+00 -1.4350e+00 -1.9071e+00
3 +1.922555622e+03 +1.922555622e+03 +1.992585622e+03 +1.992585622e+03 -4.0519e+00 +4.4190e+00 +7.9432e-01 +3.7812e+00 -3.5175e+00 -3.6713e+00 +8.5571e-01 -3.1130e+00 -1.5829e+00 +1.2155e+00 -1.6173e-01 -2.8030e+00 +4.7204e+00 -2.2690e+00 +2.9067e+00 +2.7550e+00 +3.7382e+00 -1.6561e+00 +3.7748e+00 +4.3591e-01
5 +1.454324424e+03 +1.454324424e+03 +1.524354424e+03 +1.524354424e+03 -3.1554e+00 -2.7362e+00 -2.1490e-01 -3.3612e+00 -1.9247e+00 -4.3138e+00 +2.7119e+00 +2.9912e+00 +1.1377e+00 +1.1708e+00 +7.0496e-01 -3.1603e+00 +1.7851e+00 +2.6076e+00 -2.6981e+00 +7.3249e-01 -2.6930e+00 +1.6649e+00 +2.1208e+00 -1.8480e+00
