% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.027157112e+03 +1.027157112e+03 +2.027157112e+03 +2.027157112e+03 +4.3461e+00 +3.1040e+00 +2.8197e+00 +4.6054e+00 -1.5576e+00 +2.5836e+00 +5.3735e-01 -2.7133e-01 -4.4983e+00 -2.1940e+00 +1.9560e+00 +1.4165e+00 -9.7513e-01 +3.3977e+00 -3.8124e+00 +1.6876e+00 +3.1952e+00 +1.3756e+00 -7.9298e-01 -5.0434e-01
13 +8.876098453e+02 +8.876098453e+02 +1.887609845e+03 +1.887609845e+03 -6.6038e-01 -9.8427e-01 -2.1768e+00 -3.7199e+00 +3.0089e+00 -3.4660e+00 -1.7756e+00 -4.8602e+00 -3.0669e+00 +1.4500e+00 +4.0658e+00 -8.6396e-01 -4.2004e+00 -4.6519e+00 -1.8583e+00 +1.9246e+00 +2.3439e+00 -4.4518e+00 +3.6378e+00 -2.6341e-01
31 +5.072902883e+02 +5.072902883e+02 +1.507290288e+03 +1.507290288e+03 +4.9544e+00 +1.7250e+00 +8.1127e-01 +2.9084e+00 +3.6336e+00 -1.0856e-01 -1.7299e+00 +1.1056e+00 -1.9062e+00 +3.5945e+00 -3.6520e+00 -3.6464e+00 +1.1607e+00 -2.0481e+00 +3.7123e+00 +2.4864e-01 +3.5824e+00 -3.8565e+00 -3.0183e+00 +2.5246e+00
505 +3.807662693e+02 +3.807662693e+02 +1.380766269e+03 +1.380766269e+03 -1.0014e+00 +2.9003e+00 +4.5983e+00 +3.6544e+00 +1.4992e+00 +5.6973e-01 -2.7572e+00 -8.2379e-01 -3.8449e+00 -9.5556e-01 -1.0952e+00 -3.0024e+00 -1.5502e-01 -6.9770e-01 +3.5766e+00 +1.2384e+00 +5.1124e+00 +2.5810e+00 -4.1678e+00 -2.7014e-01
2626 +2.427606952e+02 +2.427606952e+02 +1.242760695e+03 +1.242760695e+03 -1.7822e+00 +1.4084e+00 +3.3026e+00 +5.2497e+00 +2.4000e+00 -3.9580e+00 -3.4663e+00 +6.5410e-01 -4.3584e-01 +3.6789e-01 -2.1809e+00 -1.0021e+00 -4.4680e-01 -4.6247e+00 +3.5666e+00 +4.7609e+00 +3.3336e+00 -1.3638e+00 -1.6441e+00 +9.5356e-01
7739 +1.533062076e+02 +1.533062076e+02 +1.153306208e+03 +1.153306208e+03 -3.5607e+00 +2.5516e+00 +2.9512e+00 +2.4494e+00 +2.1677e+00 -2.6446e+00 -1.9091e+00 +3.4318e-01 -3.1820e+00 -1.0498e-01 -2.3270e+00 -1.1695e+00 -1.1178e+00 -4.0126e+00 +3.1936e+00 +2.6336e+00 +2.7064e+00 +6.1991e-01 -2.5644e+00 +3.6247e-02
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.626020116e+03 +4.626020116e+03 +4.696050116e+03 +4.696050116e+03 +1.1920e+00 +1.5857e+00 -1.3814e+00 -4.4485e+00 -2.4465e+00 +4.5306e+00 +3.5061e+00 -7.6293e-01 -7.5466e-01 +5.5245e-01 +4.9325e+00 +5.2717e-01 +3.2053e+00 +3.9507e+00 +4.3004e-01 -8.8478e-01 +4.6439e+00 +3.1913e+00 +2.7120e+00 -4.7943e+00
2 +1.428785532e+03 +1.428785532e+03 +1.498815532e+03 +1.498815532e+03 -1.6335e+00 -3.5106e+00 -4.2089e+00 +2.7349e+00 +2.6930e+00 +1.6254e+00 -3.2007e+00 -1.8651e+00 -1.9552e+00 -1.4467e+00 -3.4912e+00 -2.9576e+00 +3.8217e+00 +1.5864e+00 -6.1683e-01 -4.1617e+00 +2.4740e+00 -2.8306e+00 +1.6551e+00 -1.6070e+00
15 +8.415235772e+02 +8.415235772e+02 +9.115535772e+02 +9.115535772e+02 -2.6489e+00 -2.0633e+00 -1.5159e+00 -2.6988e+00 -2.2893e+00 -2.5720e+00 +2.2058e+00 +2.6757e+00 -4.0873e+00 +1.5304e+00 -1.0194e+00 +4.3737e+00 +3.8324e+00 +1.1086e+00 -3.7892e-01 +2.2719e+00 -2.5133e+00 +4.1403e+00 -4.7337e+00 -1.5609e+00
