% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.956677934e+05 +1.956677934e+05 +1.951212934e+05 +1.951212934e+05 -4.5170e+00 -2.1075e+00 +4.9883e+00 -2.1765e+00 -4.8635e+00 -1.1867e+00 +3.7459e+00 +1.5658e+00 -1.4856e+00 +4.9753e+00 -3.7284e+00 -2.3681e+00 -2.0429e+00 +4.0955e+00 +3.5278e+00 -3.0838e+00 +4.3097e+00 -4.5569e+00 +2.8909e+00 +9.4105e-01
2 +1.314163752e+05 +1.314163752e+05 +1.308698752e+05 +1.308698752e+05 +2.7939e+00 +5.2602e-01 -4.4607e+00 -2.1145e+00 -4.3758e+00 -4.7554e+00 +4.7962e+00 +9.9208e-01 +4.1006e+00 -1.7155e+00 -2.0111e+00 +2.5620e+00 -2.9464e-01 +1.5888e+00 -3.2227e+00 -1.7696e+00 -1.8723e-01 +9.1942e-01 +1.0534e+00 +2.5188e+00
12 +9.621422363e+04 +9.621422363e+04 +9.566772363e+04 +9.566772363e+04 +4.9763e+00 +1.6062e+00 +2.2680e+00 +1.1980e-01 -3.2361e+00 +3.2369e-01 -1.0858e+00 -4.2818e+00 -3.3224e-02 -3.4145e+00 +3.1794e+00 +3.7663e+00 +3.7801e-01 -1.0213e-01 -9.7314e-01 +2.5931e+00 -1.1366e+00 -3.5189e+00 +1.6455e-01 +3.0460e+00
53 +5.442137836e+04 +5.442137836e+04 +5.387487836e+04 +5.387487836e+04 -1.2430e+00 -3.8329e+00 +2.4013e+00 +4.2897e+00 -5.6828e-01 -4.1927e-01 +4.6401e+00 +3.9497e+00 -3.6678e+00 +6.3328e-01 +2.4991e+00 -9.9200e-01 +1.1176e+00 -1.7151e-01 -1.1439e+00 -4.4307e+00 +2.3743e+00 +1.7282e+00 -4.0163e+00 -6.8845e-01
392 +2.622729511e+04 +2.622729511e+04 +2.568079511e+04 +2.568079511e+04 +1.4693e+00 +1.1586e+00 +1.1623e+00 -8.7265e-01 +1.9696e-01 +6.3648e-02 -4.6859e+00 -3.3376e+00 -3.7207e+00 -1.4319e+00 +1.4235e+00 +1.5657e+00 +1.3501e+00 +5.7750e-02 +9.4484e-01 +4.8099e-01 -5.0395e-01 +7.1348e-01 -1.9767e+00 +2.0107e-01
401 +8.716060998e+03 +8.716060998e+03 +8.169560998e+03 +8.169560998e+03 +1.6912e+00 +2.0297e+00 +1.6535e+00 -1.3986e+00 +4.7025e-02 -7.1911e-01 -4.7491e+00 -2.2874e+00 -2.2971e+00 -1.2739e+00 +9.8664e-01 +2.8677e+00 -3.5722e-01 -6.0184e-02 +1.8885e+00 -5.4635e-01 +1.5373e+00 +2.9313e-01 -3.1576e+00 -3.1484e-02
1101 +5.655467739e+03 +5.655467739e+03 +5.108967739e+03 +5.108967739e+03 +1.1732e+00 +4.6062e+00 -2.7533e+00 +2.3484e+00 +1.5605e+00 +2.1210e+00 +7.8252e-01 +1.5621e+00 -1.4986e+00 -6.8263e-01 +2.3714e+00 +3.0781e-01 +1.9401e+00 -3.3383e-01 -3.1077e-01 -1.8407e+00 +1.3817e+00 -5.9893e-01 -2.3415e+00 +1.2043e+00
1520 +3.851109880e+03 +3.851109880e+03 +3.304609880e+03 +3.304609880e+03 -6.2962e-01 +2.1364e+00 -1.1758e+00 +1.2396e+00 +1.8287e+00 -5.8365e-01 -2.9103e+00 +3.5966e-01 -2.2761e+00 -2.1948e+00 +1.6447e+00 +2.3109e+00 +5.1075e-01 -2.6692e+00 +1.0417e+00 -2.8415e+00 +2.5058e+00 -1.5331e+00 -1.9244e+00 +1.2091e+00
1702 +4.836179087e+02 +4.836179087e+02 -6.288209131e+01 -6.288209131e+01 +1.4019e+00 +3.4835e+00 +1.8309e-01 +9.5494e-01 +4.2833e-01 -4.0241e-01 -1.0829e+00 +1.2776e-01 -2.4213e+00 -1.1741e+00 +7.8485e-01 +2.9206e+00 +1.0355e+00 -1.3061e+00 +2.5081e-01 -1.4195e+00 +1.4853e+00 -1.3758e+00 -2.3443e+00 +1.3670e+00
1905 +2.677609008e+02 +2.677609008e+02 -2.787390992e+02 -2.787390992e+02 +2.5317e+00 +2.8997e+00 -2.2056e-01 -1.1817e-01 -1.6037e+00 -1.3526e+00 -6.8564e-02 +7.0933e-01 +4.2129e-01 +7.4140e-01 +2.8200e+00 +1.1791e+00 +1.5230e+00 -5.6412e-01 +5.4922e-01 -1.6910e+00 +6.9441e-01 -1.7729e+00 -1.1964e+00 +1.8316e+00
