% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.233474860e+01 +6.233474860e+01 +1.336847486e+02 +1.336847486e+02 -3.2848e+00 -3.1808e+00 +8.3752e-01 +4.8986e+00 +1.5114e+00 -3.6834e+00 -2.8039e+00 +2.3307e-01 +4.1702e+00 +1.8151e+00 +4.8416e+00 +2.2678e+00 -4.9491e+00 +1.3308e+00 -2.8792e+00 +2.3520e+00 -1.4402e+00 +3.2053e+00 +1.8635e+00 -3.5410e+00
658 +2.427468387e+01 +2.427468387e+01 +9.562468387e+01 +9.562468387e+01 +2.0741e+00 -5.3146e-01 +2.1000e+00 +1.9230e-01 -5.2807e+00 -1.9829e+00 +2.1076e+00 +8.2407e-01 -1.9736e+00 -2.5762e-01 +2.6146e+00 -1.6005e+00 -2.8951e+00 +1.3556e+00 -3.9177e+00 -3.2842e-01 +9.2253e-02 +2.4313e-01 +5.7719e-01 -3.8841e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.092542273e+01 +5.092542273e+01 -3.042945773e+02 -3.042945773e+02 -6.9466e-01 -4.7426e+00 +2.6952e+00 +1.8579e+00 +3.6098e+00 -2.6996e+00 +2.4724e+00 -2.6202e+00 -2.7699e+00 +2.4023e+00 +3.9375e-02 +3.2255e+00 +2.7922e+00 -8.4887e-01 -3.5576e+00 -3.8840e+00 +6.7418e-01 -3.0400e+00 +2.6688e+00 -3.8614e+00
6 +3.652217544e+01 +3.652217544e+01 -3.186978246e+02 -3.186978246e+02 +1.4612e+00 -3.0032e-01 -3.6423e+00 +3.7601e+00 -7.9980e-01 -1.8920e+00 +3.0016e+00 -2.8895e-01 -7.0349e-01 +1.3162e-01 +2.6765e+00 +1.9872e+00 +2.4930e-01 -4.2380e-01 -1.9687e+00 +5.5675e-01 -1.0580e+00 +2.9787e+00 -1.0475e+00 +4.2588e-01
2532 +2.374564570e+01 +2.374564570e+01 -3.314743543e+02 -3.314743543e+02 -2.1324e+00 +2.0010e+00 -6.0048e-01 +2.1900e+00 +7.3418e-01 -7.0565e+00 -4.3257e+00 +4.5456e+00 -5.7033e-01 +9.9598e-01 +5.8293e-04 +2.0139e+00 +4.6212e+00 +1.2451e-01 -2.3438e+00 +9.6696e-01 +3.8016e+00 +2.5397e+00 +1.0912e+00 +2.9286e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.257661320e+01 +7.257661320e+01 +1.717466132e+02 +1.717466132e+02 -1.3537e+00 -3.1178e+00 +4.1245e+00 +3.8624e+00 -3.0825e+00 -2.4714e+00 +2.9528e+00 +5.0251e-01 +3.0111e+00 -3.9715e+00 +4.2410e-01 +3.6419e+00 +2.1677e-01 -4.9173e+00 +1.8315e+00 +4.7487e+00 -3.2687e+00 +2.5755e+00 -1.1117e+00 +4.6209e+00
12 +5.469204633e+01 +5.469204633e+01 +1.538620463e+02 +1.538620463e+02 +1.8828e+00 -3.1940e+00 +2.8536e+00 -4.5478e+00 -3.6361e+00 +4.4453e+00 -1.0769e+00 +1.8138e+00 +3.1655e+00 -3.9548e+00 +4.2151e+00 -3.2679e+00 -4.3098e+00 -2.5723e+00 +2.6460e-01 +4.6341e+00 -3.2452e+00 +2.5100e-01 -4.8279e+00 -4.4974e-03
656 +2.969206697e+01 +2.969206697e+01 +1.288620670e+02 +1.288620670e+02 -1.8196e+00 +2.7958e+00 +3.7437e+00 +1.1665e+00 -2.0530e+00 -2.7695e+00 -1.8612e+00 -1.2414e+00 -6.1569e+00 -1.7152e+00 +3.4370e+00 +5.0917e-01 +2.0726e+00 +4.7275e+00 -2.7195e+00 -7.6015e+00 +7.3567e-01 +4.3900e+00 -2.4012e+00 -4.5458e+00
