% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.525890509e+05 +1.525890509e+05 +1.520425509e+05 +1.520425509e+05 +4.6628e+00 +4.6004e+00 +4.9755e+00 -3.6725e+00 +2.8316e+00 +2.4406e+00 -1.7813e+00 +4.3496e+00 +9.1425e-01 -9.7251e-01 -3.8749e+00 -1.4567e+00 -3.7869e+00 -4.6553e+00 -1.4640e+00 -2.1276e+00 +4.2761e+00 -1.7339e+00 -2.2034e+00 -2.9680e+00
37 +8.438977073e+04 +8.438977073e+04 +8.384327073e+04 +8.384327073e+04 +2.8943e+00 -4.5396e+00 -2.0026e-01 -2.9325e+00 +4.6658e+00 +1.3145e+00 -4.6106e+00 +2.8128e-01 +5.5755e-01 +6.3407e-02 +1.5854e+00 -2.4780e+00 +6.6710e-01 +9.4174e-01 -1.9388e+00 +1.8553e+00 +1.5528e+00 -3.1378e+00 -3.8240e-01 -1.0359e+00
60 +4.520680122e+04 +4.520680122e+04 +4.466030122e+04 +4.466030122e+04 -3.7908e+00 +2.1046e+00 +1.3909e+00 +1.1145e+00 +2.7449e+00 +7.2195e-02 -3.1541e+00 -1.7038e+00 +2.4356e+00 -1.6814e+00 -3.6005e-02 +8.7385e-02 -2.3817e+00 -4.5025e+00 +1.8000e+00 -3.0009e+00 +2.1484e+00 -2.7395e+00 -4.8047e-02 +4.5076e+00
522 +3.794447428e+04 +3.794447428e+04 +3.739797428e+04 +3.739797428e+04 -1.8867e+00 +3.8490e+00 +1.4446e+00 -1.1775e+00 +3.2916e+00 -1.2117e+00 -2.6028e+00 -3.6357e+00 +2.2435e+00 -1.8270e+00 +6.5970e-01 -6.8918e-02 -1.4035e+00 -5.2237e-01 +2.1680e+00 -2.3916e+00 +2.5875e+00 -2.5957e+00 -5.8897e-02 +4.0740e+00
570 +1.430390127e+04 +1.430390127e+04 +1.375740127e+04 +1.375740127e+04 +3.8081e+00 -1.1673e+00 +8.0701e-01 -8.3001e-01 +3.3401e+00 -3.8201e+00 +1.8835e+00 -1.8600e+00 +2.2358e-01 +2.5814e+00 +6.2427e-01 -1.4974e+00 +3.0342e+00 -2.4933e+00 -1.4600e-01 -2.7513e+00 +2.0171e+00 +3.3884e-01 -3.2952e+00 +1.7779e+00
605 +9.508749944e+03 +9.508749944e+03 +8.962249944e+03 +8.962249944e+03 +1.0758e+00 +2.4780e+00 +1.4037e+00 +1.7418e-01 +1.4811e+00 -3.4298e+00 +1.5503e+00 -2.4913e+00 -1.4233e-01 -4.1331e-01 +2.4240e+00 -1.0788e+00 +2.2622e+00 -5.3823e-01 -4.2233e-02 -2.2682e+00 +2.7571e+00 -1.1888e+00 -7.6518e-01 +2.9299e+00
838 +2.509204682e+03 +2.509204682e+03 +1.962704682e+03 +1.962704682e+03 -1.4566e+00 +2.5166e+00 +2.2704e+00 +1.6114e+00 +6.5263e-01 -2.1535e+00 -4.7352e-01 +9.8156e-01 +4.2699e-01 +1.5844e+00 +1.1136e+00 -9.6435e-01 -1.0893e-01 -6.1267e-01 +2.7322e+00 -2.3333e+00 +7.3248e-01 -2.5497e+00 -1.2927e+00 +2.4800e+00
1747 +1.550377377e+03 +1.550377377e+03 +1.003877377e+03 +1.003877377e+03 +1.0356e+00 -3.2542e+00 +2.8689e+00 +1.2173e+00 +2.7488e-01 -1.0872e+00 -6.2260e-02 +1.2622e+00 +7.6259e-01 +2.8105e+00 +1.9987e+00 +7.9252e-01 +6.2987e-01 -3.2158e-01 +1.5879e+00 -4.5708e-01 +1.1145e+00 -1.3944e+00 -1.2246e+00 +1.2079e+00
1905 +3.544577014e+02 +3.544577014e+02 -1.920422986e+02 -1.920422986e+02 -1.4890e+00 -7.3069e-01 +2.4507e+00 +1.2132e+00 -6.5513e-01 -1.2511e+00 +1.0274e+00 +3.4975e+00 -1.6448e-01 +3.2286e+00 +8.0846e-01 +2.5565e+00 +1.1872e+00 -1.5354e+00 +1.9770e+00 -2.0199e+00 +6.1246e-01 -1.0430e+00 -7.5182e-01 +1.0377e+00
2131 +2.424832328e+02 +2.424832328e+02 -3.040167672e+02 -3.040167672e+02 -1.7429e-01 -1.9685e-01 +1.5901e+00 -5.1647e-01 +1.7404e+00 -5.1868e-02 -1.2613e+00 +1.6085e+00 -7.1210e-01 +2.8629e+00 +4.8213e-01 +3.3635e-01 +3.9571e-01 -1.2175e+00 +1.9142e+00 -1.2732e-02 +1.2905e+00 -1.9673e+00 -1.0913e+00 +1.3863e+00
2355 +1.539589716e+02 +1.539589716e+02 -3.925410284e+02 -3.925410284e+02 +1.5077e+00 +6.5286e-01 -7.5900e-01 +3.7794e-01 -1.2678e+00 -1.4304e+00 +5.0005e-01 -3.9393e-01 +1.7763e-01 +1.2949e+00 +8.6446e-01 +6.0644e-01 +2.7930e-01 -1.8539e+00 +4.3295e-01 -1.5652e+00 +8.5794e-01 -1.6730e+00 -5.6693e-01 +1.9459e+00
2521 +1.098829775e+01 +1.098829775e+01 -5.355117023e+02 -5.355117023e+02 +9.3356e-01 -9.4880e-01 +2.5000e+00 +2.4474e-01 -8.0568e-01 -1.4196e-01 -1.7063e+00 +1.0442e-01 -1.1067e+00 +1.6195e+00 +1.4702e+00 +1.2709e+00 +2.3832e-01 -1.9844e+00 +2.3561e+00 -1.3919e+00 +5.6625e-01 -2.2944e+00 -6.9771e-01 +2.0834e+00
2818 +4.729624722e+00 +4.729624722e+00 -5.417703753e+02 -5.417703753e+02 +2.4005e+00 +1.2402e+00 +2.0707e+00 +7.0384e-01 -5.7660e-01 -5.1105e-01 -1.6784e+00 -3.6158e-01 -1.1614e-01 +1.5997e+00 +6.4494e-01 +2.0893e+00 +5.4967e-01 -2.1164e+00 +2.1884e+00 -1.8025e+00 +7.5613e-01 -2.1560e+00 -9.5660e-01 +2.1246e+00
2934 +3.557309046e+00 +3.557309046e+00 -5.429426910e+02 -5.429426910e+02 +1.6749e+00 +6.6333e-01 +2.4250e+00 +1.5920e-01 +1.0131e+00 -6.8362e-01 -1.4548e+00 -2.1130e-01 -5.2528e-01 +2.7102e+00 +1.3835e+00 +1.4307e+00 +9.3200e-01 -1.2603e+00 +1.8414e+00 -7.7554e-01 +7.4180e-01 -2.0348e+00 -1.1260e+00 +2.1124e+00
