% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.146122887e+06 +8.146122887e+06 +8.146067947e+06 +8.146067947e+06 +4.6465e+00 -3.2729e+00 +1.1075e-01 -5.0901e-01 -8.9658e-01 +2.9816e+00 +3.5233e+00 -5.4460e-01 -4.4366e+00 +2.4267e+00 +3.7419e+00 +3.4236e-01 -4.5986e+00 +1.5138e+00 +2.1803e+00 +3.9727e+00 +4.4375e+00 +4.2408e+00 -1.3820e+00 +8.5794e-01
7 +6.152319040e+06 +6.152319040e+06 +6.152264100e+06 +6.152264100e+06 +4.7002e-01 -1.7789e+00 -4.6373e+00 -2.7127e+00 -3.2292e+00 -3.8740e+00 -3.8931e+00 +3.2136e+00 +2.9352e+00 +1.6579e+00 +3.4251e+00 +2.4045e+00 +1.2283e+00 +4.0072e+00 +3.3850e+00 -4.2292e+00 +1.2972e+00 +3.0225e+00 -1.5809e+00 -3.3624e+00
9 +3.565015478e+06 +3.565015478e+06 +3.564960538e+06 +3.564960538e+06 -3.9646e+00 -2.0331e+00 +2.3771e+00 +3.9890e+00 -4.1971e+00 +4.7766e+00 +5.1744e-01 -2.3520e+00 -2.3343e+00 +4.0438e+00 +3.8142e+00 +1.6340e+00 +4.3704e+00 +9.3761e-01 -3.0117e+00 -3.8981e+00 -9.9662e-03 -1.6798e-01 +3.7079e+00 -7.3537e-01
78 +1.068416970e+06 +1.068416970e+06 +1.068362030e+06 +1.068362030e+06 +2.0710e+00 -7.8779e-01 -4.6083e+00 +2.6666e+00 -4.3962e+00 -2.6211e+00 +4.4573e+00 +7.3863e-01 +2.3126e+00 +4.6123e+00 +1.5454e-01 +1.0874e+00 +2.4616e+00 -4.0892e+00 -1.2602e+00 +3.7327e+00 +3.6503e-01 +4.6403e+00 -1.5168e+00 -1.0903e+00
81 +7.895124529e+05 +7.895124529e+05 +7.894575129e+05 +7.894575129e+05 -2.2669e+00 -2.8536e+00 -2.9372e+00 -3.3986e-01 -2.3323e-01 -9.0387e-01 -3.9391e-01 -1.5985e+00 +2.9025e-02 +2.7098e+00 +3.9985e+00 -3.0192e+00 -2.2768e-01 -7.4303e-01 +3.8239e+00 +2.9903e+00 +3.3510e+00 +3.7791e+00 +2.4205e+00 +2.1024e+00
672 +5.649923349e+05 +5.649923349e+05 +5.649373949e+05 +5.649373949e+05 -5.5754e+00 -5.5731e+00 +5.9197e-01 -3.3550e-01 -2.4948e-01 +4.8588e+00 +1.2074e+00 -3.9799e+00 +5.8516e+00 +4.1908e-01 +5.7599e+00 -1.9435e+00 +4.3020e+00 -1.6346e+00 +9.3650e-01 +2.0156e+00 +2.7114e+00 +7.6226e+00 +5.9938e+00 +8.2799e+00
1006 +2.200338768e+05 +2.200338768e+05 +2.199789368e+05 +2.199789368e+05 -2.2592e+00 -3.2585e+00 -3.4441e+00 -1.4156e+00 -2.4782e+00 -2.2583e+00 -5.9920e-01 -3.6076e+00 +4.7880e-01 +1.6670e+00 +1.0469e+01 -5.1498e+00 +2.8487e+00 -5.6718e+00 +6.3577e+00 +8.2808e+00 +2.5224e+00 +6.3247e+00 +5.3367e+00 +3.9226e+00
2312 +1.499397293e+05 +1.499397293e+05 +1.498847893e+05 +1.498847893e+05 -3.9303e+00 -3.4289e+00 -2.7068e+00 +9.9962e-01 +7.9900e-01 -1.8645e-01 +8.8604e-02 -4.7194e+00 +1.5161e+00 +1.0246e+00 +2.3087e+00 -2.8572e+00 +5.2848e+00 -5.5768e-01 +3.6734e+00 +5.9204e+00 +1.6791e+00 +4.1922e+00 +5.8254e+00 +4.0666e+00
2491 +8.876628047e+04 +8.876628047e+04 +8.871134047e+04 +8.871134047e+04 +4.2187e-01 -2.9301e+00 -7.9537e-01 +4.4772e+00 -7.3023e-01 +1.4246e+00 +2.5638e+00 +1.3309e+00 -4.4502e+00 +6.0416e+00 +1.7053e+00 +3.6913e+00 +2.0780e+00 -2.2044e+00 +2.5339e+00 +4.2889e+00 +1.5919e+00 +1.2767e+00 +1.8984e+00 +2.8910e+00
4415 +6.108354206e+04 +6.108354206e+04 +6.102860206e+04 +6.102860206e+04 -4.6736e+00 -3.1977e+00 +8.7596e-01 +2.8525e+00 -1.4049e+00 -4.4330e+00 -1.1411e+00 -6.6890e-01 -1.3276e+00 +7.6020e+00 -2.1637e+00 -8.8575e-01 +3.6019e+00 -4.3951e+00 +2.4249e+00 -6.7589e-01 -1.1092e+00 +2.8017e+00 +1.2059e+01 +2.7298e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.776280565e+07 +1.776280565e+07 +1.776286478e+07 +1.776286478e+07 -3.1912e+00 -3.8760e+00 +4.7897e+00 +4.5002e-01 +1.8248e+00 -2.0448e+00 +3.7957e+00 +1.3882e+00 +3.6193e+00 -1.9408e+00 -6.2645e-01 +7.2150e-01 -1.0215e+00 -3.8349e+00 -3.5494e-01 +4.1948e-01 -4.6521e+00 +1.6301e+00 +3.9438e+00 +2.5727e+00
