% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.708240040e+03 +1.708240040e+03 +2.708240040e+03 +2.708240040e+03 +4.9172e-01 -2.1535e+00 -2.9048e-01 -1.1551e+00 +1.1212e-01 -2.8536e+00 +3.7098e+00 -3.3890e+00 +1.8051e+00 +1.4247e+00 +2.0761e+00 +4.9707e+00 +1.0888e+00 -2.6880e+00 +7.3348e-01 +3.6574e+00 +2.2323e-01 +3.6371e+00 +6.7466e-01 +4.4551e+00
2 +1.258807218e+03 +1.258807218e+03 +2.258807218e+03 +2.258807218e+03 -3.4541e+00 -1.4589e+00 -1.6876e+00 +2.9020e-01 -7.9659e-01 +3.6637e+00 -9.8511e-01 -2.2939e+00 -1.2957e+00 -1.0076e+00 +6.3313e-01 +6.1495e-01 -4.4929e+00 +1.0586e+00 +1.0489e+00 +4.1043e+00 -3.3937e+00 +4.5283e+00 -3.9041e+00 -2.8131e+00
21 +9.663541556e+02 +9.663541556e+02 +1.966354156e+03 +1.966354156e+03 -1.9387e+00 -2.1268e+00 -4.4462e+00 +4.0919e+00 +2.6423e+00 -3.8213e+00 -1.2360e+00 +1.5817e+00 -2.0368e+00 -5.5934e-01 +4.9920e-02 +6.7936e-01 +4.8377e-01 -1.0093e+00 +2.9030e+00 +3.9842e+00 +1.0873e+00 +2.6880e-01 -4.6399e+00 -4.8111e+00
504 +5.678614903e+02 +5.678614903e+02 +1.567861490e+03 +1.567861490e+03 -4.2851e+00 +2.1241e+00 +2.5843e+00 +2.9773e+00 -1.6526e-02 +4.5091e-01 +1.0884e+00 +4.3020e+00 -5.6717e-02 -2.2638e+00 -2.3076e+00 -8.9605e-01 -3.2578e+00 +1.8145e+00 +4.5876e-01 +6.1963e+00 +4.3080e-01 +1.5693e+00 -5.9627e+00 -2.6619e+00
1521 +3.252533407e+02 +3.252533407e+02 +1.325253341e+03 +1.325253341e+03 -1.1164e+00 +2.6323e+00 +3.9304e+00 +6.9385e+00 +2.9126e+00 -9.5019e-01 -2.5018e+00 -1.4913e+00 -7.0351e-01 +3.4178e-01 -1.8416e-01 -3.9185e+00 -1.2687e+00 -5.1909e-01 +4.3792e+00 +4.5924e+00 +2.6377e+00 -2.5243e+00 -1.3972e+00 -3.8105e-01
2733 +2.436876315e+02 +2.436876315e+02 +1.243687632e+03 +1.243687632e+03 -2.3310e+00 +4.7716e+00 +2.5600e+00 +6.8934e-01 +2.3704e+00 -3.2336e+00 +9.5533e-01 -7.4023e-01 -1.1463e+00 -1.6951e+00 -3.3824e-01 +2.4641e-01 +6.0207e-01 -4.0998e+00 +3.6980e+00 +3.4076e+00 +2.3777e+00 -7.6105e-01 +1.5835e+00 -5.2477e-01
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.977948474e+03 +1.977948474e+03 +2.047978474e+03 +2.047978474e+03 +1.6781e+00 -2.7586e+00 +3.4707e-01 +3.7771e+00 -1.0908e+00 -2.1507e+00 +4.2430e+00 +3.9399e+00 +4.7722e+00 -1.5824e+00 -3.6118e+00 -1.1375e+00 -1.8128e+00 +3.0322e+00 +4.2323e+00 +1.3346e+00 -2.4343e+00 +2.4801e+00 -2.9447e-02 -3.8829e+00
4 +1.506299462e+03 +1.506299462e+03 +1.576329462e+03 +1.576329462e+03 +1.5601e+00 +2.4101e+00 +4.6424e-01 -1.5061e+00 -3.0379e+00 +1.8201e+00 +9.9040e-01 -4.3283e+00 -1.2965e+00 +4.4594e+00 -3.9934e+00 -1.9547e+00 -5.5570e-01 +2.7455e+00 -3.6573e+00 -4.5138e+00 -6.4926e-01 +1.9288e+00 -3.4211e+00 +3.1318e+00
9 +9.110124327e+02 +9.110124327e+02 +9.810424327e+02 +9.810424327e+02 -2.0165e+00 +2.4392e+00 -4.7807e+00 -3.1749e+00 +1.6395e+00 -1.6237e+00 -6.0578e-01 -2.2370e+00 -3.5364e+00 +1.9395e+00 +1.5688e+00 -4.8062e+00 +1.4426e-01 -1.2308e+00 -1.4531e+00 +2.7767e+00 -3.6619e+00 +3.0825e+00 +1.9936e+00 +2.1228e+00
382 +6.295580557e+02 +6.295580557e+02 +6.995880557e+02 +6.995880557e+02 +3.4696e+00 -2.6114e+00 -2.0603e+00 -2.6484e+00 -3.3232e+00 -1.9220e+00 +1.1994e+00 -1.5202e+00 +5.5418e-01 -1.3421e+00 +5.1708e-01 -1.6198e+00 -9.6562e-01 -2.1678e+00 +9.9288e-01 -2.9296e+00 +1.9128e+00 +1.3546e+00 -7.4888e-01 -1.8653e-01
1112 +3.542344539e+02 +3.542344539e+02 +4.242644539e+02 +4.242644539e+02 -3.7527e-01 -2.0549e+00 -3.4931e+00 -8.5706e-01 +4.4863e-01 -4.6183e+00 +7.4894e-01 +5.1218e+00 -2.9504e+00 +1.1014e+00 -1.6970e+00 -1.1318e+00 +2.5089e+00 -2.0533e+00 -5.5921e+00 -2.9734e+00 -1.3649e-01 +4.0569e+00 -8.3576e-01 +1.0207e+00
2502 +2.430751510e+02 +2.430751510e+02 +3.131051510e+02 +3.131051510e+02 -1.1973e+00 -1.9205e+00 -5.2659e+00 -5.7381e+00 +2.1611e-01 -4.5481e+00 -2.1464e-01 +2.0246e+00 -4.3042e+00 +3.1167e-01 -3.0152e+00 -2.5488e+00 +6.0621e+00 -4.0126e+00 -4.0381e+00 -1.0181e+00 +1.3180e+00 +2.9828e+00 -1.4526e+00 +1.5466e+00
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.985372671e+03 +2.985372671e+03 +2.937152671e+03 +2.937152671e+03 +1.7333e+00 +2.2953e+00 -1.4355e-01 +8.2985e-01 +1.4228e-01 +2.9891e+00 +3.6341e-01 -4.4932e-02 +7.0465e-01 +3.2928e+00 -1.8367e+00 +2.9563e+00 +4.0128e+00 -9.0823e-02 -1.7921e+00 -3.4347e+00 +4.7092e+00 -3.7691e+00 +1.5953e-01 -3.6419e+00
2 +1.810260522e+03 +1.810260522e+03 +1.762040522e+03 +1.762040522e+03 -2.1227e+00 +4.2221e-01 -3.9017e+00 -4.8133e-01 -4.5252e+00 -3.4549e+00 +1.4985e+00 -3.8544e+00 +1.9064e+00 -4.5196e-01 +4.7103e+00 -1.4613e+00 +4.3034e+00 -4.7611e+00 -2.0663e+00 -1.1202e+00 +3.3614e+00 -3.4281e+00 +2.3605e+00 +8.7143e-01
4 +1.388883430e+03 +1.388883430e+03 +1.340663430e+03 +1.340663430e+03 +1.8545e-01 -1.7378e+00 +2.1326e-01 +3.7658e+00 -3.9215e+00 -1.2532e+00 +1.7928e+00 -3.0990e+00 -6.2379e-02 -3.6065e+00 -4.6238e+00 -4.7539e-01 -2.6802e+00 +4.2079e+00 -1.1266e+00 -2.3843e+00 +8.4919e-01 -3.4482e+00 -1.0237e+00 -2.3492e-01
51 +8.187047623e+02 +8.187047623e+02 +7.704847623e+02 +7.704847623e+02 -3.6963e+00 +1.5847e-01 +4.7506e+00 +5.4487e-01 -3.0404e+00 +4.4873e+00 -2.5726e+00 +4.1497e+00 +2.9928e+00 +3.4723e+00 -1.6053e-01 -3.1531e+00 -1.5120e+00 +3.2685e-01 -1.8935e+00 +2.2701e+00 -3.9025e+00 -1.5831e+00 -1.5101e+00 +6.1298e-02
204 +5.590418748e+02 +5.590418748e+02 +5.108218748e+02 +5.108218748e+02 -5.1427e+00 -4.3560e-01 +8.6541e-01 -9.6122e-01 -2.2653e-02 +2.6651e+00 -1.1198e+00 +2.4736e+00 -4.9722e+00 +4.3986e+00 +2.2873e+00 -1.7018e+00 -3.9543e+00 +3.8247e+00 -4.1382e+00 -2.2649e+00 -2.1056e+00 +3.1292e+00 -2.0252e+00 +2.3326e+00
1134 +3.871727099e+02 +3.871727099e+02 +3.389527099e+02 +3.389527099e+02 -2.9627e+00 +4.3611e-02 +5.7647e-01 -1.2851e+00 -2.1863e+00 +2.4079e+00 -2.9216e+00 +6.7975e-01 -3.6963e+00 +3.2359e+00 +1.6292e+00 +2.2479e-01 -7.3065e-01 +3.3580e+00 +1.8587e-01 -1.4326e+00 +3.6988e-02 -5.1086e-01 -1.3477e-01 +2.9570e+00
2137 +2.491633526e+02 +2.491633526e+02 +2.009433526e+02 +2.009433526e+02 -4.5485e+00 -6.7515e-01 -5.4875e-01 -7.6171e-01 -2.8867e+00 +4.2002e+00 -3.9990e+00 +2.2740e+00 -2.2813e+00 +4.1410e+00 -6.2438e-01 -1.5299e+00 -1.9308e+00 +3.7752e+00 -5.9352e-01 -1.4484e+00 -2.8874e+00 +1.3600e+00 +2.1728e+00 +4.3110e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.681463112e+03 +1.681463112e+03 +1.706933112e+03 +1.706933112e+03 -2.8772e+00 -1.1815e+00 -2.5953e+00 +1.4617e+00 +4.9600e+00 +4.1813e+00 -4.0856e+00 +4.8346e+00 +3.4622e+00 +3.2106e+00 +3.1385e+00 -3.5607e+00 -1.8098e+00 +2.0884e+00 +6.8326e-01 +1.2113e+00 -2.6109e+00 -4.7524e+00 +2.6419e+00 +3.5481e+00
17 +9.955158653e+02 +9.955158653e+02 +1.020985865e+03 +1.020985865e+03 -3.9643e-01 -3.0843e+00 +3.3072e+00 -1.9885e+00 -5.5686e-01 -7.6409e-01 -1.2104e+00 +4.7276e-01 +3.3241e+00 +1.0285e+00 -2.5134e+00 +1.8451e+00 +1.0655e+00 +1.2217e+00 -2.8153e+00 -4.1623e+00 +3.5149e+00 -1.6366e+00 -2.1167e-01 -2.0457e+00
202 +5.578546259e+02 +5.578546259e+02 +5.833246259e+02 +5.833246259e+02 -2.4496e+00 +2.3901e+00 -4.1252e+00 -3.3088e-01 -5.2334e-01 +3.7594e-01 +1.0714e+00 +2.7838e+00 +4.0694e+00 +1.6317e+00 -6.2230e-01 +7.2665e-01 +1.7923e+00 +1.5084e+00 +4.7057e+00 -2.8889e+00 -3.4205e-01 +1.9564e+00 -2.0411e+00 -3.5350e+00
704 +3.518548733e+02 +3.518548733e+02 +3.773248733e+02 +3.773248733e+02 -2.8009e+00 +7.5412e-01 -5.2274e+00 -4.7979e-01 +2.4073e-01 +4.8708e+00 -1.1760e+00 -1.4330e+00 +2.7272e+00 -2.0306e+00 -9.2441e-01 -1.5343e+00 +6.7634e-01 -5.8250e-01 +2.2468e+00 -3.0091e+00 -1.5308e+00 +2.6124e+00 +3.8851e+00 -2.8225e+00
2734 +2.390876162e+02 +2.390876162e+02 +2.645576162e+02 +2.645576162e+02 -2.8865e+00 +1.4678e+00 -1.1071e-01 +1.6037e-01 -2.9192e-01 +4.8480e-02 -1.5013e+00 -1.4555e+00 +2.8845e+00 -3.9390e-01 -2.3204e+00 -1.8961e+00 +1.2530e+00 +6.3645e-01 +3.8977e+00 -3.2449e+00 +6.7995e-01 +5.7678e+00 +1.3009e+00 -9.6860e-01
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.701424750e+02 +9.701424750e+02 +8.693324750e+02 +8.693324750e+02 -4.4980e+00 +2.3953e+00 -3.1238e+00 -5.1644e-01 +2.4416e+00 +1.6167e+00 +4.7580e-01 -2.2854e+00 -4.5422e+00 -2.6153e+00 +1.7547e+00 -3.1985e+00 +4.8079e-01 +3.5337e+00 -2.7169e+00 +3.7547e+00 +2.4110e+00 -3.7758e-01 -1.6272e+00 -3.5879e+00
