% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.015147945e+03 +1.015147945e+03 +1.117757945e+03 +1.117757945e+03 -2.1855e+00 -3.1382e+00 -8.4880e-01 +3.8997e+00 +4.0589e+00 +2.7268e+00 -3.5018e+00 -5.8863e-01 -4.9923e+00 -4.6251e+00 +3.9916e+00 -4.6782e+00 +1.5835e+00 +1.9080e+00 +4.8697e+00 +6.2611e-03 -1.5734e+00 -4.5033e+00 +2.4500e+00 -2.3162e+00
2 +8.065977633e+02 +8.065977633e+02 +9.092077633e+02 +9.092077633e+02 +2.6195e+00 -1.2531e+00 -4.7714e-01 +1.8908e+00 +2.1623e+00 +6.0719e-01 +3.7579e+00 -2.2279e+00 +4.4629e+00 -2.3889e+00 +3.7637e-01 +1.5881e+00 +4.2826e+00 +3.5498e+00 -4.2195e+00 -1.4479e+00 +9.0995e-01 -3.8443e+00 -3.1873e+00 -4.0266e-01
8 +5.856243620e+02 +5.856243620e+02 +6.882343620e+02 +6.882343620e+02 +4.5795e+00 -1.9199e+00 -3.6887e+00 +1.9410e+00 +2.1685e+00 -3.0817e+00 +2.4492e-01 +1.2891e+00 +2.3879e+00 -2.1113e+00 +2.0447e+00 -1.1540e-01 -1.8346e+00 +1.9859e+00 +3.0259e-01 -3.7437e-02 -4.4924e-01 +2.3434e+00 +3.5680e+00 -1.1597e+00
301 +3.763160000e+02 +3.763160000e+02 +4.789260000e+02 +4.789260000e+02 +2.4034e+00 +2.0430e+00 -3.6725e+00 +3.0196e+00 -2.5989e+00 +1.3680e+00 +2.0166e+00 -4.5137e+00 -2.1319e+00 -9.9134e-02 -4.3100e+00 -4.5383e-01 -1.0274e+00 -3.5374e-01 -2.1169e+00 -2.9857e-01 +5.1950e-01 -2.1298e+00 +2.2556e+00 +2.4259e+00
1607 +2.359462572e+02 +2.359462572e+02 +3.385562572e+02 +3.385562572e+02 +1.2210e+00 +2.4124e+00 -3.2792e-01 +1.1206e+00 +3.6975e-01 +5.6795e-01 -5.5357e-01 -2.1765e+00 -1.6021e+00 +1.2424e+00 -1.5540e+00 +4.1380e-01 -1.1482e+00 +9.7549e-01 +1.6941e-01 -1.2761e-01 -4.8268e-01 +8.7696e-01 +2.4963e+00 +1.1746e+00
4403 +1.566575386e+02 +1.566575386e+02 +2.592675386e+02 +2.592675386e+02 +9.4957e-01 +1.3467e+00 -1.4671e+00 +1.1883e+00 +9.2153e-02 -2.1679e+00 -3.5489e-01 -1.0846e+00 -1.2178e+00 +8.6766e-01 -1.4103e+00 -9.9910e-01 -2.0662e+00 +1.7060e+00 -2.2156e+00 -2.0026e+00 -8.2676e-01 -1.4362e+00 +1.0542e+00 +1.9421e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.798115979e+02 +6.798115979e+02 +7.731115979e+02 +7.731115979e+02 -1.7894e-01 -3.1682e+00 +1.1086e+00 +1.4105e+00 +3.6336e+00 -1.1165e+00 +5.5750e-01 -3.3621e+00 -3.9340e+00 +1.9250e+00 +8.4372e-01 +1.6190e+00 +1.6417e-01 +1.2459e+00 -2.7065e+00 +4.2514e+00 +3.1636e+00 -1.3235e-01 -1.5703e-01 -4.0214e+00
10 +5.748434556e+02 +5.748434556e+02 +6.681434556e+02 +6.681434556e+02 +3.9017e-01 +2.6592e+00 -4.7633e+00 +3.3675e+00 -1.7630e+00 +1.8657e+00 -2.8192e+00 -7.1466e-01 +2.5230e+00 -9.7649e-01 -2.6331e+00 +3.2219e-01 +2.4771e+00 +1.9422e+00 +7.7883e-01 +7.2647e-01 -2.0623e+00 -8.5831e-01 -2.3104e+00 +2.8228e+00
152 +3.877368883e+02 +3.877368883e+02 +4.810368883e+02 +4.810368883e+02 +3.3676e+00 +3.7411e-01 -4.1764e-01 -4.9140e+00 -8.6052e-01 +2.3769e+00 +8.7945e-01 +1.1584e+00 -1.4854e+00 -5.8004e-01 +1.0824e-01 +1.0682e+00 -1.2879e+00 -6.1412e-01 -1.9106e+00 +2.8534e+00 -4.1962e-01 +1.6778e+00 -2.1431e+00 +1.8754e+00
1301 +2.391818187e+02 +2.391818187e+02 +3.324818187e+02 +3.324818187e+02 +2.9930e+00 -7.7677e-01 -1.3189e+00 -1.4385e+00 -8.8077e-01 +1.7342e+00 -1.3139e+00 +8.2138e-01 +3.2665e-01 -2.4385e+00 +2.6200e-01 +2.9215e+00 +1.9496e+00 +2.0771e+00 -1.1003e+00 -4.3703e-01 -3.8922e-01 +1.5815e+00 -2.3314e+00 -1.5860e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
