% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.714143447e+03 +3.714143447e+03 +3.252053447e+03 +3.252053447e+03 -3.8374e-01 -3.3873e+00 -5.0579e-01 +2.7528e-01 +4.0255e+00 -4.8840e-01 +2.2560e+00 -1.5912e+00 +2.9765e+00 -3.7617e+00 +3.3390e+00 -1.3275e+00 +2.1875e+00 +3.2968e+00 +1.2593e+00 +3.3135e-01 +3.1434e+00 -1.0715e+00 +3.0693e+00 +2.9736e+00
5 +1.766286672e+03 +1.766286672e+03 +1.304196672e+03 +1.304196672e+03 +4.8486e+00 -3.1457e+00 +3.4420e+00 +1.6618e+00 +2.8094e+00 +3.9848e+00 -1.1774e-01 -1.3956e+00 -2.4731e+00 -4.2041e+00 -4.2295e+00 -9.5176e-01 -3.9932e+00 -1.1410e+00 +2.1546e+00 +1.2310e-01 +2.1993e+00 -4.6595e+00 +2.8276e-01 -1.8833e+00
19 +1.513407816e+03 +1.513407816e+03 +1.051317816e+03 +1.051317816e+03 -2.2690e+00 +4.1126e-01 +1.8246e+00 -3.3556e-02 +3.1074e+00 -2.1753e+00 -4.9808e+00 -1.7551e+00 -1.6296e-01 +4.4284e+00 +1.5938e+00 -3.3633e+00 -1.1313e+00 +6.8038e-02 -4.1532e+00 -1.9781e+00 +3.5318e+00 -4.0418e+00 +2.9072e-01 +1.3485e+00
23 +7.226315294e+02 +7.226315294e+02 +2.605415294e+02 +2.605415294e+02 -1.0294e+00 -3.3315e+00 -7.3653e-01 +4.7801e+00 +1.3729e+00 -1.5498e+00 +2.1776e+00 +3.2270e+00 +4.9115e+00 -1.4859e+00 -1.0314e+00 -3.4516e+00 +3.2460e+00 -3.0371e+00 -3.8393e+00 -1.1090e+00 -1.3751e+00 -2.1309e+00 -2.4628e+00 +1.6964e+00
39 +5.725378509e+02 +5.725378509e+02 +1.104478509e+02 +1.104478509e+02 -4.0219e+00 -8.1498e-01 -1.5862e-01 +4.8386e-01 -2.8114e+00 -4.8341e-01 +2.8223e+00 -1.2516e-01 +2.9914e+00 -1.8841e+00 +2.4898e+00 -4.6479e+00 +1.3164e+00 -2.2636e+00 -1.2612e+00 -3.1939e+00 +1.0658e-01 +1.3352e+00 -2.4251e+00 +5.6760e-01
802 +3.843330584e+02 +3.843330584e+02 -7.775694155e+01 -7.775694155e+01 -3.5401e+00 -1.1217e+00 -1.4625e+00 +8.3836e-01 +7.3245e-01 -2.2778e+00 +1.7354e+00 +2.7423e+00 +3.6964e+00 -6.7487e-01 +7.6852e-01 -6.1716e+00 +1.3164e+00 -2.2636e+00 -1.2612e+00 -3.6664e+00 -1.2834e+00 +1.3352e+00 -3.5984e+00 +1.9189e+00
1501 +2.380562283e+02 +2.380562283e+02 -2.240337717e+02 -2.240337717e+02 -2.3095e+00 +3.5449e+00 +3.8419e+00 -1.7166e-01 -1.5799e-02 +2.9910e+00 +1.9207e+00 +1.5161e+00 +2.3588e+00 +1.1669e+00 -1.3654e+00 -2.2893e+00 +1.3764e+00 -4.1889e+00 -8.8221e-01 -2.9433e+00 -2.0389e+00 +4.2922e+00 -2.4282e+00 +8.0750e-01
3507 +1.523275908e+02 +1.523275908e+02 -3.097624092e+02 -3.097624092e+02 -3.3317e+00 +1.4301e+00 +5.0558e+00 +9.6125e-01 +1.3898e+00 +2.3764e+00 +2.4749e+00 +3.2104e+00 -6.3196e-02 -5.1599e-01 -1.6712e+00 -3.2736e+00 +4.2079e-01 -2.9197e+00 -1.7879e+00 -4.6882e+00 +1.5072e-01 +2.9500e+00 -2.7335e+00 +3.2171e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.087826278e+03 +2.087826278e+03 +2.165486278e+03 +2.165486278e+03 +2.1491e+00 -2.9966e+00 +2.5113e+00 -8.0355e-01 +2.3255e+00 +4.8200e+00 +2.9609e+00 -8.7587e-01 +2.7173e+00 +1.1109e+00 +3.7403e+00 -3.6569e+00 +4.0530e+00 +3.4749e+00 +2.9209e+00 -4.3662e+00 +3.6046e+00 -2.7985e+00 +2.2206e+00 -3.7559e+00
