% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.381111738e+10 +1.381111738e+10 +1.381111676e+10 +1.381111676e+10 -7.6064e-01 +3.2527e+00 +1.4283e+00 +4.9995e+00 +4.6147e+00 +9.2339e-01 -4.1011e+00 -4.2549e+00 +3.3764e+00 -4.0489e+00 +3.3156e+00 -3.5757e+00 -1.8364e+00 +9.7492e-01 +3.0828e+00 +8.6983e-01 +3.0451e-01 -3.3302e+00 -4.2250e+00 -2.2830e+00
3 +3.257447768e+09 +3.257447768e+09 +3.257447147e+09 +3.257447147e+09 +3.5903e+00 +4.7611e+00 -4.0605e+00 +4.5571e+00 -2.9206e+00 -2.9253e+00 -7.3336e-01 +2.0723e-02 +2.0920e+00 -4.7530e+00 +2.3687e+00 -4.7719e+00 -1.6554e+00 +4.4801e+00 -8.8036e-01 -1.7059e+00 -1.0629e+00 -1.2282e+00 +3.3196e-01 +1.5614e+00
4 +2.247933311e+09 +2.247933311e+09 +2.247932690e+09 +2.247932690e+09 -3.2633e+00 +4.3684e+00 -3.4726e-01 +3.1144e-01 -4.0939e+00 +3.8453e+00 +4.3506e+00 -4.2525e+00 -2.3990e+00 +1.1202e+00 +5.5220e-01 -3.3641e+00 -2.3847e+00 +1.1441e+00 -1.3997e+00 -5.8529e-02 +4.6614e+00 -3.4883e+00 +7.5403e-01 -2.6674e+00
5 +9.897646235e+08 +9.897646235e+08 +9.897640024e+08 +9.897640024e+08 -4.0071e+00 -1.3350e+00 -6.7423e-01 +2.9453e+00 +3.3537e+00 +2.1581e+00 -4.1767e+00 +1.3067e+00 +4.6127e+00 +2.8771e+00 +4.8674e+00 -1.2061e+00 +4.1770e+00 +3.5325e+00 +4.0979e+00 -1.3049e+00 +1.6291e+00 -2.3311e+00 +4.9393e+00 +1.4872e+00
21 +3.920186409e+08 +3.920186409e+08 +3.920180198e+08 +3.920180198e+08 -5.8157e-01 -4.1112e+00 -2.5481e+00 -3.0163e+00 -7.7095e-01 -3.8539e+00 -2.0616e+00 -3.6228e+00 +3.5014e+00 +4.9043e+00 -3.0429e+00 -1.6299e+00 +2.7132e+00 +2.0692e+00 -3.7379e+00 -4.4202e+00 +1.6583e+00 +4.7997e+00 -3.4488e+00 +2.9463e+00
45 +2.078973492e+08 +2.078973492e+08 +2.078967281e+08 +2.078967281e+08 -1.1574e+00 -1.5551e-02 +4.1753e-02 -2.0547e+00 -1.6463e+00 -2.6005e+00 +4.2389e-01 +2.2056e+00 +1.8271e+00 +5.0000e+00 -1.3262e-01 -4.7967e-01 +5.0000e+00 +4.5668e+00 +5.0000e+00 -5.0000e+00 -1.9768e+00 +2.6689e+00 -6.0669e-02 +1.3717e+00
83 +1.438987144e+08 +1.438987144e+08 +1.438980933e+08 +1.438980933e+08 +1.9696e+00 +2.3303e+00 +2.0144e+00 -2.7264e+00 -9.9353e-01 -3.6751e+00 +0.0000e+00 +1.8773e+00 +1.2041e+00 +5.0000e+00 -4.7422e-01 +3.5658e-01 +2.2336e+00 +4.4801e+00 +0.0000e+00 -5.0000e+00 +2.6896e+00 -1.4580e+00 -3.7136e+00 +1.2595e+00
198 +8.276665523e+07 +8.276665523e+07 +8.276603412e+07 +8.276603412e+07 -2.2330e+00 +3.3855e+00 -1.7058e+00 -2.1191e+00 -2.1749e+00 -2.7621e+00 -1.2167e-02 +2.9067e+00 +7.0142e-01 +3.5581e+00 -6.4664e-01 +1.2250e-02 +2.3771e+00 +1.4268e+00 +3.7502e-02 -3.5781e+00 +9.2401e-01 +3.0604e+00 -3.7630e+00 -1.0955e-01
291 +4.846028456e+07 +4.846028456e+07 +4.845966345e+07 +4.845966345e+07 -4.1429e+00 +3.0969e+00 -8.0656e-01 -3.3340e+00 +1.2383e-01 -2.3449e+00 -7.6555e-01 -6.9703e-03 +1.9034e+00 +2.5994e+00 -1.4001e+00 +3.2258e-02 +3.9254e+00 +2.1811e+00 +1.8874e+00 -2.7977e+00 +2.4480e+00 +3.0333e+00 -3.8950e+00 +6.9121e-01
362 +3.458817585e+07 +3.458817585e+07 +3.458755474e+07 +3.458755474e+07 -3.3175e+00 +3.1274e+00 -2.7231e+00 -3.4830e+00 +1.5751e+00 -1.9411e+00 +1.3607e+00 +1.8684e+00 +4.4794e-01 +9.8376e-01 +0.0000e+00 +2.2103e-01 +4.8612e+00 +1.1267e+00 +3.1209e+00 -2.9351e+00 +2.6742e+00 +2.5930e+00 -1.4607e+00 +3.3834e-01
558 +2.435796054e+07 +2.435796054e+07 +2.435733943e+07 +2.435733943e+07 -1.7171e+00 +4.0082e+00 +0.0000e+00 -2.4679e+00 +3.2412e-01 -1.4061e+00 +1.2728e+00 +1.2032e+00 +2.6473e+00 +1.6462e+00 +5.1460e-01 +1.0500e+00 +4.5443e+00 +1.9494e+00 +2.3510e+00 -3.0054e+00 +1.7969e+00 +2.7019e+00 -2.0401e+00 +8.3521e-01
689 +1.513634486e+07 +1.513634486e+07 +1.513572375e+07 +1.513572375e+07 -2.8020e+00 +4.7216e+00 +7.9325e-02 -4.1451e+00 -3.7477e-01 -1.5845e+00 +1.5684e+00 +2.5066e-01 +1.7658e+00 +7.5701e-01 +7.1342e-01 +2.1678e+00 +4.1022e+00 +1.9455e+00 +3.2394e+00 -2.4655e+00 +3.3378e+00 +2.8642e+00 +1.5188e+00 +5.0313e-01
830 +9.861522375e+06 +9.861522375e+06 +9.860901265e+06 +9.860901265e+06 -5.6513e-01 +5.0000e+00 +1.4008e+00 -4.8572e+00 +1.9799e-01 -2.1487e+00 +1.0385e+00 -6.9218e-01 +2.3894e+00 +4.0815e-01 +1.6906e+00 +3.1886e+00 +4.1260e+00 +1.0657e-01 +2.5350e+00 -2.9144e+00 +1.5782e+00 +1.3649e+00 +5.3866e-01 +2.0508e-01
1214 +5.763117965e+06 +5.763117965e+06 +5.762496855e+06 +5.762496855e+06 -7.6794e-01 +5.0000e+00 +2.9221e-02 -3.7114e+00 +4.5753e-01 -2.2259e+00 +1.2024e+00 -8.3271e-01 +1.6921e+00 +1.0977e-01 +1.2244e+00 +3.1170e+00 +3.9766e+00 +8.3915e-01 +2.9141e+00 -2.8537e+00 +1.7805e+00 +1.4366e+00 +1.3885e+00 +4.3142e-01
1407 +2.874352488e+06 +2.874352488e+06 +2.873731378e+06 +2.873731378e+06 -3.5168e-01 +5.0000e+00 -4.2192e-04 -3.9062e+00 -1.9011e-01 -2.2111e+00 +5.0363e-01 -1.1371e+00 +1.3732e+00 -5.1178e-01 +1.2749e+00 +2.5963e+00 +3.9721e+00 +1.3550e+00 +3.0665e+00 -2.5146e+00 +1.2542e+00 +2.0828e+00 +3.8406e-01 -9.7381e-02
1902 +2.442176843e+06 +2.442176843e+06 +2.441555733e+06 +2.441555733e+06 -3.4659e-01 +5.0000e+00 -4.0350e-02 -4.0986e+00 -9.2660e-02 -2.2133e+00 +8.1495e-01 -7.3804e-01 +1.2767e+00 -4.3432e-01 +1.0375e+00 +3.2721e+00 +3.8851e+00 +1.3788e+00 +2.3271e+00 -2.1121e+00 +1.3043e+00 +2.2045e+00 +1.4201e-01 -5.9175e-01
2229 +1.552074745e+06 +1.552074745e+06 +1.551453635e+06 +1.551453635e+06 -1.0499e+00 +5.0000e+00 -3.2505e-02 -4.1291e+00 -6.3552e-01 -2.3048e+00 +1.2505e+00 -8.5632e-01 +1.3836e+00 -4.4706e-01 +7.6012e-01 +2.8327e+00 +3.6843e+00 +1.3837e+00 +2.3640e+00 -2.1413e+00 +1.3146e+00 +2.2086e+00 +4.0656e-01 -5.4819e-01
4831 +9.948752004e+05 +9.948752004e+05 +9.942540904e+05 +9.942540904e+05 -7.2779e-01 +5.0000e+00 +4.6628e-02 -3.6384e+00 -5.1470e-01 -2.1710e+00 +1.5544e+00 -7.8175e-01 +1.1077e+00 -2.4410e-01 +7.8782e-01 +2.7572e+00 +3.7367e+00 +1.3526e+00 +2.3328e+00 -2.0365e+00 +9.5619e-01 +2.2716e+00 +5.8987e-01 -8.3631e-02
27215 +6.153214712e+05 +6.153214712e+05 +6.147003612e+05 +6.147003612e+05 -3.1278e-01 +4.9371e+00 +5.1070e-01 -2.8783e+00 -1.0066e+00 -1.9899e+00 +2.0946e+00 -6.7781e-01 +1.0487e+00 -4.3351e-01 +9.2470e-01 +2.9355e+00 +3.6303e+00 +1.7373e+00 +1.9599e+00 -2.1418e+00 +6.4000e-01 +2.5518e+00 +1.4668e+00 -3.4424e-01
27521 +3.657042968e+05 +3.657042968e+05 +3.650831868e+05 +3.650831868e+05 -3.6217e-01 +4.6938e+00 +6.1981e-01 -2.8554e+00 -9.3658e-01 -1.9747e+00 +2.1141e+00 -7.0211e-01 +1.0503e+00 -4.9115e-01 +9.1015e-01 +2.8390e+00 +3.5850e+00 +1.7570e+00 +1.9868e+00 -2.1141e+00 +6.0864e-01 +2.5001e+00 +1.3167e+00 -2.1018e-01
27617 +2.479431541e+05 +2.479431541e+05 +2.473220441e+05 +2.473220441e+05 -5.1391e-01 +4.4914e+00 +6.2863e-01 -2.8190e+00 -9.8630e-01 -1.9193e+00 +2.1347e+00 -7.0109e-01 +1.0554e+00 -5.6292e-01 +9.0796e-01 +2.8240e+00 +3.5736e+00 +1.7356e+00 +1.9760e+00 -2.0571e+00 +6.5850e-01 +2.4807e+00 +1.3745e+00 -2.6767e-01
