% function evaluation | noise-free fitness - Fopt (4.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.554522440e+01 +8.554522440e+01 +1.263252244e+02 +1.263252244e+02 +1.1029e-01 -1.0442e+00 -1.9874e+00 -4.2153e+00 -1.2885e+00 +3.2597e+00 -4.8902e+00 +7.3952e-01 +4.7831e+00 +3.8085e+00 -4.5414e+00 -2.8071e+00 -4.7714e+00 +1.4005e+00 +2.8228e+00 -8.0588e-01 -4.0359e+00 +4.4514e+00 -2.6041e+00 +1.4487e+00
261 +5.383253768e+01 +5.383253768e+01 +9.461253768e+01 +9.461253768e+01 -2.2262e+00 -3.9036e-01 +3.8944e-01 -2.9966e+00 -1.4511e+00 +1.1252e+00 -1.9022e+00 -3.7925e+00 -1.4542e+00 -2.7389e+00 -8.0208e-01 -2.4982e+00 +8.7364e-01 +4.4718e+00 +1.4328e+00 +2.6027e+00 -5.8208e-01 +4.2194e-02 +9.8869e-01 -8.9719e-01
304 +3.758761686e+01 +3.758761686e+01 +7.836761686e+01 +7.836761686e+01 -2.1922e+00 -2.0147e-01 +1.4155e+00 -3.7139e+00 -1.2508e+00 +2.0006e+00 -1.6620e+00 -3.3163e+00 +3.0744e-01 -2.0031e+00 +3.5609e-02 -2.4637e+00 +8.2073e-01 +5.0000e+00 +1.2831e+00 +2.0557e+00 -5.5067e-01 +3.6104e-02 +1.5515e+00 +4.0417e-01
833 +2.023929023e+01 +2.023929023e+01 +6.101929023e+01 +6.101929023e+01 -1.4688e+00 -5.0411e-01 +3.5550e+00 -2.9949e+00 -1.1377e+00 +4.0458e+00 -1.3363e+00 -3.2242e+00 +1.3185e+00 -3.0424e+00 +2.3984e+00 -2.3297e+00 -2.4163e-01 +4.8859e+00 -8.0105e-01 +1.7845e+00 +5.8589e-01 +8.1426e-01 +3.7948e-01 -2.2740e-01
1033 +1.563323264e+01 +1.563323264e+01 +5.641323264e+01 +5.641323264e+01 -2.2003e+00 -8.6811e-01 +2.5837e+00 -1.9752e+00 -1.5268e+00 +3.1005e+00 -1.2811e+00 -2.0645e+00 +1.0771e+00 -2.8426e+00 +2.6045e+00 -2.2468e+00 -3.1341e-01 +4.7560e+00 -9.3804e-01 +1.3840e+00 +1.5246e+00 +1.2441e+00 +8.7517e-01 -2.0169e-01
1401 +9.966775865e+00 +9.966775865e+00 +5.074677587e+01 +5.074677587e+01 -1.9769e+00 -8.2452e-01 +1.9657e+00 -1.1940e+00 -1.3271e+00 +2.3875e+00 -1.4410e+00 -2.9436e+00 +7.1384e-01 -3.2159e+00 +2.4622e+00 -2.2981e+00 +9.3295e-01 +4.6956e+00 +5.4013e-01 +3.4859e-01 +7.0575e-01 +1.5801e+00 +2.0011e-01 +1.0882e+00
1738 +5.959244036e+00 +5.959244036e+00 +4.673924404e+01 +4.673924404e+01 -1.8827e+00 -1.3049e+00 +3.8913e+00 -1.6796e+00 -1.8458e+00 +2.3627e+00 -1.2532e+00 -1.8907e+00 +1.6422e+00 -5.0000e+00 +2.1710e+00 -2.3856e+00 -1.9202e-01 +4.7660e+00 -1.0593e+00 -5.4120e-01 +8.5824e-01 +8.4057e-01 +2.3921e+00 +1.0447e+00
2138 +2.986968783e+00 +2.986968783e+00 +4.376696878e+01 +4.376696878e+01 -1.9195e+00 -1.2665e+00 +3.5834e+00 -1.5254e+00 -1.8496e+00 +2.2265e+00 -1.5438e+00 -1.8631e+00 +1.7371e+00 -4.9845e+00 +2.7528e+00 -2.4058e+00 -2.3042e-01 +4.7370e+00 -1.0605e+00 -9.1510e-01 +9.5373e-01 +1.1238e+00 +1.1929e+00 +1.0727e+00
2162 +2.510490886e+00 +2.510490886e+00 +4.329049089e+01 +4.329049089e+01 -1.8890e+00 -1.4511e+00 +3.3455e+00 -1.1489e+00 -2.2913e+00 +2.0841e+00 -1.6393e+00 -2.1395e+00 +1.5817e+00 -4.9804e+00 +2.3526e+00 -2.4335e+00 -3.8029e-02 +4.7461e+00 -1.0912e+00 -2.8613e-01 +9.0118e-01 +1.2675e+00 +1.0405e+00 +1.1034e+00
3783 +1.452301292e+00 +1.452301292e+00 +4.223230129e+01 +4.223230129e+01 -2.7877e+00 -1.4774e+00 +3.4231e+00 -1.2350e+00 -2.5302e+00 +1.0540e+00 -1.6441e+00 -1.7615e+00 +1.6336e+00 -4.9376e+00 +2.2409e+00 -1.9793e+00 +3.0300e-01 +4.4302e+00 -8.0518e-01 -6.2014e-02 +1.3921e+00 +4.9784e-01 +3.1681e-01 +1.0491e+00
4311 +9.238509619e-01 +9.238509619e-01 +4.170385096e+01 +4.170385096e+01 -2.8058e+00 -1.4097e+00 +3.2984e+00 -1.2728e+00 -2.8742e+00 +9.2856e-01 -1.6784e+00 -1.9086e+00 +1.7356e+00 -4.9216e+00 +2.2383e+00 -2.0184e+00 +1.4723e-01 +4.1184e+00 -8.9666e-01 -4.6016e-01 +1.2263e+00 +4.4335e-01 +3.8820e-01 +1.1477e+00
4640 +5.842912636e-01 +5.842912636e-01 +4.136429126e+01 +4.136429126e+01 -2.9044e+00 -1.7874e+00 +3.2523e+00 -1.3006e+00 -2.9714e+00 +6.9348e-01 -1.6932e+00 -1.8371e+00 +1.7648e+00 -4.9268e+00 +1.9384e+00 -1.9989e+00 +2.9985e-01 +3.8557e+00 -8.9961e-01 -8.2437e-01 +1.4465e+00 +4.5027e-01 +6.8445e-01 +6.0778e-01
% function evaluation | noise-free fitness - Fopt (-1.600000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
