% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.120555928e+00 +8.120555928e+00 +1.499055593e+01 +1.499055593e+01 -1.2584e+00 +4.3687e-01 +4.0908e+00 +4.5866e+00 +4.0406e+00 +1.2411e+00 -3.4952e+00 +4.2009e+00 -3.2738e+00 +6.9296e-02 -1.9897e+00 -4.4170e+00 +1.9786e+00 +4.8811e+00 +3.2012e+00 -8.0814e-01 +1.8755e+00 +1.6110e+00 -3.5984e+00 +2.7138e+00
69 +5.936158092e+00 +5.936158092e+00 +1.280615809e+01 +1.280615809e+01 +2.1732e+00 +2.6338e+00 +4.3309e+00 -4.7958e+00 +5.4624e-01 +8.9350e-01 +1.0745e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +3.4116e+00 -3.4595e+00 +3.7116e+00 +3.0301e+00 -1.0368e+00 -4.3391e-01 +2.7648e+00 -1.2904e+00 -3.6518e+00 +7.9172e-01
998 +3.639665639e+00 +3.639665639e+00 +1.050966564e+01 +1.050966564e+01 +4.5578e+00 -2.3089e-02 +0.0000e+00 +1.0322e+00 +5.0000e+00 +2.3930e+00 +2.8755e+00 +0.0000e+00 -3.7130e+00 +5.0000e+00 +5.0000e+00 -2.5084e+00 +5.0000e+00 -1.1015e+00 +4.5148e+00 -4.0294e+00 +5.0000e+00 +1.5026e+00 -3.9976e+00 +5.0000e+00
5675 +2.253937596e+00 +2.253937596e+00 +9.123937596e+00 +9.123937596e+00 +3.1517e+00 +4.9622e+00 +9.2711e-02 -3.6113e+00 +2.9321e+00 +3.3193e+00 -1.3266e-01 +4.4711e+00 -2.5000e+00 +5.0000e+00 +4.2197e+00 -5.0000e+00 +4.3540e+00 +8.3462e-01 +3.7889e-01 +1.6732e-01 +4.7471e+00 +1.0678e+00 -4.7927e+00 +3.9381e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.767984434e+00 +8.767984434e+00 +8.777984434e+00 +8.777984434e+00 -1.8339e+00 -2.8182e+00 +1.1266e+00 -2.1009e+00 -2.3628e+00 -1.4266e+00 -4.8762e+00 +2.1143e+00 -3.4155e+00 +5.4915e-01 +2.8825e+00 -1.1250e+00 +2.4854e+00 -2.6456e+00 +2.2281e+00 -4.1449e+00 -3.9423e+00 +6.6690e-01 -4.7104e+00 +1.8633e+00
26 +5.675264775e+00 +5.675264775e+00 +5.685264775e+00 +5.685264775e+00 -2.5521e+00 -5.8359e-01 +2.6542e+00 -1.2417e+00 -2.7262e+00 -2.7170e+00 +1.6051e+00 -4.7796e+00 -3.5538e+00 +4.8476e-01 -1.1122e+00 -2.6275e+00 +8.8076e-01 -2.7657e-01 +6.2909e-01 -2.4666e-01 +2.5208e+00 +6.1253e-01 -1.8603e+00 -1.2300e+00
2781 +3.783817705e+00 +3.783817705e+00 +3.793817705e+00 +3.793817705e+00 -4.2810e+00 +3.2724e+00 -4.0178e+00 +1.5504e+00 +1.7038e+00 -2.7329e+00 -5.0000e+00 -4.7915e+00 +3.3563e+00 +2.7112e+00 -4.4550e+00 -3.3280e+00 -1.9502e+00 +9.8119e-02 +5.0000e+00 -3.3220e+00 +3.4191e+00 -3.6875e+00 -3.8751e+00 +2.5000e+00
5320 +1.782988303e+00 +1.782988303e+00 +1.792988303e+00 +1.792988303e+00 +1.1049e+00 -1.6531e+00 +9.2676e-01 +4.3049e+00 +3.5960e+00 -6.0057e-01 -4.0150e+00 -1.2521e+00 +2.5000e+00 -3.3523e+00 -1.5737e+00 +5.0000e+00 -2.1466e+00 -5.5245e-01 +2.7972e+00 -5.0000e+00 +2.2857e+00 -2.1896e+00 -2.7087e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
