% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.893489067e+03 +1.893489067e+03 +1.431399067e+03 +1.431399067e+03 -3.9866e+00 -1.0557e+00 +2.5299e+00 +3.1258e+00 +4.0266e+00 +8.9224e-01 -2.2599e+00 +3.0665e-01 -4.3602e+00 -1.6199e+00 -3.5974e+00 +2.5540e+00 +4.0722e-01 +2.3635e+00 -2.8771e+00 -3.8545e+00 -6.7881e-01 +2.3327e-01 -3.7405e+00 -1.3308e+00
20 +1.125854398e+03 +1.125854398e+03 +6.637643984e+02 +6.637643984e+02 -3.2768e+00 +3.9129e+00 -4.8122e+00 -3.5933e+00 +1.4166e+00 +1.3493e-01 +3.2572e+00 +1.2227e-01 +4.0434e-02 -4.3951e+00 -2.3817e+00 -8.6481e-01 -3.7423e+00 -2.4861e+00 +1.5879e+00 -4.5479e+00 -4.2845e+00 +4.5056e+00 +1.4837e+00 -3.3782e+00
46 +9.394577898e+02 +9.394577898e+02 +4.773677898e+02 +4.773677898e+02 -3.2308e+00 +6.7612e-01 -3.9790e+00 +2.1514e+00 +8.8451e-01 +1.7202e+00 -1.5429e+00 +4.9288e-01 +2.6263e+00 -2.1429e+00 +1.1146e+00 +2.1992e+00 -6.2292e-01 -3.9861e+00 -1.1989e+00 -5.0000e+00 -5.0000e+00 +2.8982e+00 +8.8948e-01 -1.4347e-01
123 +6.269428159e+02 +6.269428159e+02 +1.648528159e+02 +1.648528159e+02 +0.0000e+00 +0.0000e+00 -2.5576e+00 +2.8465e-01 -8.0106e-01 -3.5157e+00 +4.1341e-01 +0.0000e+00 +0.0000e+00 -1.8215e+00 +4.7721e-01 -1.8842e+00 +0.0000e+00 -2.2065e+00 -1.2791e+00 -2.6614e+00 -1.6577e+00 +5.0000e+00 -5.3552e-01 +0.0000e+00
912 +3.211031923e+02 +3.211031923e+02 -1.409868077e+02 -1.409868077e+02 +2.6869e+00 +3.9939e+00 +2.4602e+00 +3.2674e+00 +1.4614e+00 -1.3656e+00 +2.7426e+00 +2.6612e+00 +1.0887e-01 +3.6466e-01 +4.2685e-01 -3.6563e+00 -7.9042e-01 -4.2255e+00 -7.4666e-01 -5.0000e+00 +3.4794e-02 +4.3907e+00 +1.3089e+00 +9.4798e-01
2178 +2.324124792e+02 +2.324124792e+02 -2.296775208e+02 -2.296775208e+02 +1.2894e+00 +2.2139e+00 +2.1612e+00 -1.3890e-01 +1.3287e+00 +3.2051e+00 +6.9642e-01 +1.6063e+00 -1.3907e+00 -6.6326e-01 -2.0035e-01 -2.8730e+00 -4.8374e-01 -2.9500e+00 +5.6804e-01 -5.0000e+00 +3.1626e-01 +4.0023e+00 +2.9202e+00 +2.1652e+00
3758 +1.392161507e+02 +1.392161507e+02 -3.228738493e+02 -3.228738493e+02 +1.4077e+00 +2.2815e+00 +2.1049e+00 -8.9758e-01 +1.3417e+00 +2.9089e+00 +1.7729e+00 +6.0485e-01 -1.2397e+00 -4.1595e-01 +4.7304e-01 -2.7545e+00 -4.5897e-01 -3.3943e+00 +4.4271e-01 -5.0000e+00 +3.2783e-01 +3.9708e+00 +2.5113e+00 +1.1488e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.633986522e+03 +7.633986522e+03 +7.711646522e+03 +7.711646522e+03 -4.3344e+00 -2.0700e+00 -3.8847e+00 +1.4764e+00 +4.3121e+00 -1.2190e+00 +3.8850e+00 +1.8097e+00 +1.8546e+00 +7.8131e-02 +1.4780e-02 -2.2102e+00 +3.2357e+00 -3.4288e+00 -4.3956e-02 -3.2223e+00 -3.1004e+00 -3.1293e+00 -5.0141e-01 -4.2094e+00
2 +3.309824034e+03 +3.309824034e+03 +3.387484034e+03 +3.387484034e+03 -3.2537e+00 -4.2009e+00 -4.1382e+00 +4.9761e+00 -7.4492e-01 +1.5640e+00 +4.0810e+00 -2.9348e+00 -1.9288e+00 -2.5636e+00 +2.4446e+00 -1.0925e+00 +8.3873e-01 -1.3114e+00 +3.5096e+00 +2.7279e+00 -2.1181e+00 -7.2073e-01 +9.5842e-01 -2.4426e+00
8 +2.414775966e+03 +2.414775966e+03 +2.492435966e+03 +2.492435966e+03 +3.9656e+00 +2.6566e+00 -2.6196e+00 -1.2661e+00 -1.1436e+00 +2.7437e+00 -1.4359e+00 +2.5724e+00 -3.1672e+00 -1.5850e-01 -3.9716e+00 +1.8687e+00 -2.6316e+00 +1.0551e+00 -4.8696e+00 -4.8962e-01 -3.3742e+00 +4.5213e+00 +8.4659e-01 +4.9771e+00
10 +9.441991621e+02 +9.441991621e+02 +1.021859162e+03 +1.021859162e+03 +2.1329e+00 +4.1177e-01 +6.7338e-02 -4.2663e+00 +2.1139e+00 -8.9265e-01 -4.0585e+00 -4.6387e+00 -3.9710e+00 -2.1088e-01 -1.3047e+00 +9.0910e-01 -1.2454e-01 -2.2207e+00 -3.8021e-01 +4.9976e+00 +3.0765e-01 +8.0245e-01 +2.2219e+00 +3.6166e-01
322 +4.468899021e+02 +4.468899021e+02 +5.245499021e+02 +5.245499021e+02 -3.4780e+00 +2.9030e+00 -2.6594e+00 -2.2794e+00 +7.4140e-01 +2.3248e+00 +5.7395e-01 +8.0791e-01 -4.5570e-02 -5.0000e+00 +2.9832e-01 -7.4712e-01 -1.8155e-01 -3.5789e+00 +1.6267e+00 +9.5023e-01 +9.6014e-02 -3.3180e+00 +1.3201e+00 -5.0000e+00
701 +3.857440293e+02 +3.857440293e+02 +4.634040293e+02 +4.634040293e+02 -1.7267e-01 +7.2565e-01 +1.2939e+00 -1.6764e+00 +9.9736e-01 +6.9271e-01 +2.1123e-01 -5.9191e-01 +0.0000e+00 -5.0000e+00 +7.0431e-01 +4.2194e-01 -6.8785e-01 -2.2495e+00 +0.0000e+00 +0.0000e+00 -5.8506e-01 -5.0000e+00 +2.5726e+00 -3.2925e+00
1972 +2.509490598e+02 +2.509490598e+02 +3.286090598e+02 +3.286090598e+02 -1.0428e+00 +1.1113e+00 +5.4272e-01 +5.0000e+00 +1.7668e+00 -1.4579e+00 +9.1997e-01 +6.9757e-01 -2.2509e+00 -5.0000e+00 +2.8354e+00 +1.9200e+00 -1.1883e-02 -1.9204e+00 +6.1609e-01 +4.8365e-01 +4.0618e-02 -3.8348e+00 +1.7614e+00 -3.0994e+00
2985 +1.289330738e+02 +1.289330738e+02 +2.065930738e+02 +2.065930738e+02 +1.3326e+00 -1.7449e+00 +3.8198e-01 +5.0000e+00 +1.6817e+00 -3.9636e-01 +6.0226e-01 +6.7962e-01 -1.7539e+00 -4.9894e+00 +2.2719e+00 -2.2743e-01 -2.6231e-01 -1.5444e+00 +5.4360e-01 +4.5441e-01 -4.7832e-01 -3.0559e+00 +2.7417e+00 -3.7551e+00
3706 +9.597011243e+01 +9.597011243e+01 +1.736301124e+02 +1.736301124e+02 +1.4645e+00 -1.7979e+00 +3.4126e-01 +5.0000e+00 +1.6311e+00 -4.0357e-01 +5.8238e-01 +6.4666e-01 -1.5864e+00 -4.9890e+00 +2.3858e+00 -3.6714e-01 -1.9204e-01 -1.5359e+00 +5.5329e-01 +4.6259e-01 -5.1015e-01 -3.0612e+00 +2.7212e+00 -3.7675e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.047248289e+03 +9.047248289e+03 +9.162928289e+03 +9.162928289e+03 +1.0991e+00 +4.5265e+00 +4.4197e+00 +2.5415e+00 -7.4831e-01 +1.1651e+00 +9.9284e-01 +1.4751e+00 +4.5646e+00 -1.9681e+00 -1.8332e+00 +2.4935e-01 -1.8196e+00 +3.1537e+00 +3.1264e+00 -2.9800e+00 +3.0709e+00 +1.5276e+00 -1.4421e+00 -2.8036e+00
2 +2.305390019e+03 +2.305390019e+03 +2.421070019e+03 +2.421070019e+03 -1.9559e+00 -4.8614e+00 +3.1790e+00 -1.0499e+00 -3.1327e+00 +3.1632e+00 -3.3183e+00 -5.7278e-01 +1.7179e+00 +5.3861e-01 +1.0888e+00 +1.9849e+00 +1.8105e+00 +4.0815e+00 +2.2925e+00 -1.8986e+00 +1.2555e+00 +4.8635e+00 +2.3595e+00 -3.9393e+00
3 +1.463176201e+03 +1.463176201e+03 +1.578856201e+03 +1.578856201e+03 -2.5927e+00 -1.2937e+00 +1.6988e+00 -7.6859e-01 +2.1205e+00 +3.4489e-01 -1.9435e+00 +1.9952e+00 -1.3333e+00 +1.7648e+00 +2.1242e+00 +3.0988e+00 +8.1139e-01 +4.6081e+00 +1.4394e+00 +4.9753e+00 -3.5886e+00 +6.3864e-01 +2.6155e-01 +2.0024e+00
17 +8.878080756e+02 +8.878080756e+02 +1.003488076e+03 +1.003488076e+03 -4.2331e+00 -4.4901e+00 -2.0282e+00 -5.9530e-02 +2.8085e+00 -3.0861e+00 +1.1601e+00 +3.2613e+00 +4.3642e+00 +2.3668e-02 -1.4500e+00 +1.4366e+00 -1.4351e+00 +3.0980e+00 +7.9279e-01 +1.1451e+00 -2.2939e+00 +1.9570e+00 -5.1812e-01 -2.8181e+00
139 +5.574850704e+02 +5.574850704e+02 +6.731650704e+02 +6.731650704e+02 +5.0502e-01 -4.2085e+00 +0.0000e+00 -4.4722e-01 +2.1108e+00 +0.0000e+00 -4.4256e+00 +4.3042e+00 +1.9048e+00 +0.0000e+00 +0.0000e+00 -2.9293e+00 +2.0628e+00 +5.9552e-02 +4.0019e-01 -6.2606e-01 -1.4032e+00 +3.3888e+00 +2.4164e-02 +0.0000e+00
1104 +3.718814573e+02 +3.718814573e+02 +4.875614573e+02 +4.875614573e+02 +1.2298e-01 -4.6211e+00 -2.3421e+00 -1.2472e+00 +2.5892e+00 -3.4153e+00 +1.6131e+00 +4.7725e+00 +8.9444e-01 +1.5393e+00 +1.1009e+00 -2.1857e+00 +1.2581e+00 -1.6606e+00 -6.3781e-01 -6.9497e-01 +3.2109e-01 +4.6194e+00 +3.3056e+00 -2.2587e-01
2182 +2.230056370e+02 +2.230056370e+02 +3.386856370e+02 +3.386856370e+02 -2.6553e-01 -2.6706e+00 -7.5536e-01 +1.9916e+00 +3.4102e+00 -3.2189e+00 +7.2466e-01 +3.0440e+00 +2.9294e+00 -2.1785e-01 +3.2125e+00 -1.8447e+00 +2.5044e+00 +5.9191e-01 +1.1377e+00 +7.2369e-01 -3.0134e-01 +4.7472e+00 +2.2592e+00 -1.2644e+00
2730 +1.562605063e+02 +1.562605063e+02 +2.719405063e+02 +2.719405063e+02 -1.2264e-01 -1.9202e+00 -6.2036e-01 +2.4015e+00 +2.9590e+00 -2.3912e+00 +2.3235e+00 +3.4353e+00 +3.9258e+00 -1.4274e-01 +2.7049e+00 -1.2602e+00 +3.0571e+00 +2.6947e-01 +9.3061e-01 -1.3186e+00 -9.0036e-01 +4.5800e+00 +2.6984e+00 -6.0810e-01
3562 +9.971304846e+01 +9.971304846e+01 +2.153930485e+02 +2.153930485e+02 +3.4530e-02 -2.1117e+00 -5.3128e-01 +2.2769e+00 +2.7319e+00 -2.3504e+00 +3.4875e+00 +3.5505e+00 +3.9021e+00 -1.5113e-01 +2.8507e+00 -1.7612e+00 +2.9186e+00 +3.0735e-01 +1.1209e+00 -1.2219e+00 -3.2125e-01 +4.5433e+00 +2.7052e+00 -9.1261e-01
3968 +6.196450459e+01 +6.196450459e+01 +1.776445046e+02 +1.776445046e+02 -1.9967e-02 -2.0006e+00 -5.4516e-01 +2.1934e+00 +2.7499e+00 -2.3802e+00 +3.5604e+00 +3.5222e+00 +3.8885e+00 -1.1178e-01 +2.7107e+00 -1.7953e+00 +2.9193e+00 +2.3529e-01 +1.1785e+00 -1.1947e+00 -3.7009e-01 +4.5607e+00 +2.7260e+00 -9.0460e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.692058816e+03 +7.692058816e+03 +7.688348816e+03 +7.688348816e+03 +2.2777e-01 -4.6576e-01 -4.1210e+00 +1.5305e+00 -5.2839e-01 +4.8142e-01 +2.3784e+00 -4.8353e+00 -4.7414e+00 -4.7458e+00 +4.0819e+00 +9.4108e-01 -4.9622e+00 -4.1759e+00 +3.4698e+00 -4.8099e+00 -2.0272e+00 -2.2948e-01 -3.7569e+00 +3.4199e+00
2 +2.480786142e+03 +2.480786142e+03 +2.477076142e+03 +2.477076142e+03 -4.9668e+00 +9.9398e-01 +2.5280e+00 -2.4254e+00 +2.7795e+00 -2.7172e+00 +1.5643e+00 -3.7955e-01 +2.0407e+00 +4.8775e+00 -2.8244e+00 -2.5494e+00 -4.7761e+00 -4.7695e+00 +1.2876e+00 -3.0600e+00 -2.2523e+00 -2.3092e+00 -4.1586e+00 -1.1707e+00
17 +1.467738645e+03 +1.467738645e+03 +1.464028645e+03 +1.464028645e+03 -2.3473e+00 +2.9887e+00 -1.1866e+00 -3.3931e+00 +1.1062e+00 +3.2340e+00 -4.3407e+00 -1.3469e+00 +4.5237e-01 +7.1197e-01 +1.1748e+00 -8.8249e-01 +6.4069e-01 -1.7457e+00 -1.8945e+00 +9.4864e-01 +8.4753e-01 -4.5292e-01 -2.5876e+00 +3.4491e+00
