% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.199084539e+02 +1.199084539e+02 +1.912584539e+02 +1.912584539e+02 +1.7569e+00 +4.3552e+00 -4.9934e+00 -4.3197e+00 +3.7887e+00 -2.7890e+00 -9.6818e-01 +2.9565e+00 +3.8777e+00 +8.8630e-01 -2.1743e+00 -8.2086e-01 +4.0223e+00 +2.1467e+00 -2.0022e+00 -5.7785e-01 +2.0851e+00 -4.4604e+00 +2.9095e+00 +3.7274e+00
3 +9.303864611e+01 +9.303864611e+01 +1.643886461e+02 +1.643886461e+02 -2.6447e+00 -1.5394e+00 +3.1502e+00 +2.5537e+00 -2.4773e+00 +4.4991e+00 +3.1851e+00 +8.6569e-01 -4.3740e+00 +9.3736e-01 -3.6024e+00 -8.3664e-02 -3.0298e+00 -2.7417e+00 -9.9891e-01 -2.6508e+00 +1.9012e+00 +6.2308e-01 +3.9835e+00 -2.0778e+00
7 +5.923227066e+01 +5.923227066e+01 +1.305822707e+02 +1.305822707e+02 +1.2486e+00 -3.9504e+00 -2.7727e+00 +3.0718e+00 -2.8989e+00 -2.8480e+00 -3.5758e+00 +1.2597e+00 -2.9006e+00 +1.1425e+00 +2.8527e+00 -2.4110e+00 +4.5019e+00 -5.1136e-01 -2.6622e+00 -4.8214e+00 -7.7273e-02 +4.3588e+00 +2.3037e+00 +3.4798e+00
73 +3.743879491e+01 +3.743879491e+01 +1.087887949e+02 +1.087887949e+02 -4.7437e+00 -2.9168e+00 +1.7977e+00 -4.8949e-02 -4.7414e-01 +3.5537e+00 -1.6842e+00 -6.3605e+00 +7.7829e-01 -5.8932e-01 -1.2510e+00 +3.3212e+00 +3.2825e+00 +1.1263e+00 +2.0639e+00 -4.7281e-01 -5.2204e-01 +1.5129e+00 -2.5685e+00 +1.3994e+00
972 +2.452960659e+01 +2.452960659e+01 +9.587960659e+01 +9.587960659e+01 -2.7374e+00 +1.5389e+00 +3.4761e+00 -2.0096e-01 -2.6817e+00 +1.0976e+00 +2.5864e+00 -3.4108e+00 +4.7828e+00 +2.2139e+00 +3.4899e+00 +1.0257e+00 -1.3503e+00 +3.6075e+00 +2.2218e-01 +6.4583e-01 +3.6428e+00 -2.2045e-01 +1.1428e+00 +1.8166e+00
16114 +1.306781233e+01 +1.306781233e+01 +8.441781233e+01 +8.441781233e+01 -2.7046e+00 +1.5089e+00 +4.0092e+00 -1.1601e+00 -1.8210e+00 +6.7985e-01 +1.4358e+00 -3.3292e+00 +4.8044e+00 +1.7509e+00 +3.1630e+00 +2.0978e+00 -1.2774e+00 +3.2497e+00 +5.8004e-01 +2.0967e-01 +3.9925e+00 -5.2195e-02 +6.3906e-01 +1.7100e+00
16372 +8.712994787e+00 +8.712994787e+00 +8.006299479e+01 +8.006299479e+01 -3.2603e+00 +1.4747e+00 +3.5531e+00 -1.0997e+00 -2.2191e+00 +9.1994e-01 +1.6385e+00 -3.3330e+00 +5.0825e+00 +1.8817e+00 +3.0207e+00 +1.4775e+00 -8.0710e-01 +3.3011e+00 +4.0960e-01 +3.7965e-01 +3.8909e+00 +1.7930e-01 +5.7374e-01 +1.9600e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.783624849e+01 +8.783624849e+01 -2.673837515e+02 -2.673837515e+02 +3.1704e+00 +1.8666e+00 +1.8070e+00 -5.2787e-01 +1.2625e+00 -4.1916e+00 +2.7430e+00 -4.0028e+00 +2.4347e+00 -3.4711e+00 -2.0926e+00 -1.3640e+00 -6.7130e-01 -4.8152e+00 -3.1052e+00 -3.4474e+00 -5.4298e-01 +4.1112e+00 +1.5135e+00 -4.2034e+00
2 +4.062973057e+01 +4.062973057e+01 -3.145902694e+02 -3.145902694e+02 -3.0816e+00 +7.2869e-01 +4.5996e+00 +4.0018e+00 +2.9374e+00 +2.4297e+00 +1.1273e+00 +3.2745e+00 -2.2066e+00 +4.6854e+00 -3.8675e+00 +4.5022e+00 +1.6338e+00 -1.9154e+00 +3.4883e+00 +5.8642e-01 -4.5743e+00 -4.2271e+00 +1.3296e+00 -3.4055e+00
39 +3.770300932e+01 +3.770300932e+01 -3.175169907e+02 -3.175169907e+02 +4.4712e+00 -4.6433e+00 +3.1500e+00 -4.2535e+00 -2.7146e-01 +2.3604e+00 +7.5502e-01 -4.5974e+00 +1.9826e+00 +4.9506e-01 -4.1224e-01 -4.8038e+00 -8.6326e-01 -2.9265e+00 -2.2390e+00 +3.4719e+00 +1.9717e+00 +7.5521e-01 -4.2658e+00 +1.1141e+00
9845 +2.170243592e+01 +2.170243592e+01 -3.335175641e+02 -3.335175641e+02 +5.0000e+00 -1.3325e+00 +3.6981e+00 -2.7584e-01 -1.3141e+00 -4.6944e+00 +1.0688e-01 +5.0000e+00 +5.0000e+00 -1.9935e-01 +5.0000e+00 -5.0000e+00 +5.0000e+00 +4.9986e+00 -7.2671e-01 +2.9666e+00 -2.1383e+00 +1.2956e+00 -5.0000e+00 +5.0000e+00
12549 +1.545650378e+01 +1.545650378e+01 -3.397634962e+02 -3.397634962e+02 +5.0000e+00 -7.5080e-01 +3.0969e+00 +1.0403e-01 +1.1950e+00 +3.5742e-01 +2.1597e+00 +5.0000e+00 +5.0000e+00 -1.4265e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +4.9983e+00 -1.0584e+00 +2.8616e+00 -2.5650e+00 +2.7741e+00 -5.0000e+00 +5.0000e+00
19407 +9.943469410e+00 +9.943469410e+00 -3.452765306e+02 -3.452765306e+02 +5.0000e+00 -7.6441e-01 +3.1037e+00 +3.3023e-02 +1.1300e+00 +3.5109e-01 +2.1836e+00 +5.0000e+00 +5.0000e+00 -1.4357e+00 +5.0000e+00 -5.0000e+00 +5.0000e+00 +4.9983e+00 -1.0284e+00 +2.9033e+00 -2.6196e+00 +2.8239e+00 -5.0000e+00 +5.0000e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.130559804e+01 +7.130559804e+01 +1.704755980e+02 +1.704755980e+02 -1.4672e+00 -4.4521e+00 +2.5186e+00 +7.3471e-01 -1.9449e+00 -3.3157e+00 -2.2243e+00 +3.4855e+00 -3.6492e+00 -6.9607e-01 +4.5597e+00 -6.2137e-01 +1.4704e+00 -6.8360e-01 +3.2298e+00 -1.1204e+00 -7.5172e-01 +3.2967e+00 -1.7912e+00 +1.0311e+00
2 +6.259027638e+01 +6.259027638e+01 +1.617602764e+02 +1.617602764e+02 -2.3187e+00 -1.5400e+00 +3.5030e+00 -2.0030e+00 -1.6596e+00 -2.3344e+00 -2.7687e+00 -7.9141e-01 -7.8896e-01 +3.9653e+00 -3.5130e+00 +4.5940e+00 -1.9636e+00 -7.2440e-01 +1.7895e+00 -4.0246e+00 +2.7343e-01 +3.2742e+00 -7.7832e-01 -4.5481e+00
71 +3.914964125e+01 +3.914964125e+01 +1.383196412e+02 +1.383196412e+02 +2.2112e+00 +7.7098e-01 +7.0750e+00 +2.5446e+00 -4.8296e-01 +2.9947e+00 -1.0392e+00 -3.9258e+00 +1.7412e+00 -2.3297e+00 +1.2710e+00 +1.7672e-01 -5.3180e+00 -1.3370e+00 -1.5063e+00 -1.1457e+00 +3.7827e+00 -3.9013e+00 +2.8028e-01 -1.2008e+00
14021 +1.862895203e+01 +1.862895203e+01 +1.177989520e+02 +1.177989520e+02 +7.4851e-01 -3.8241e+00 +3.1916e+00 -4.3905e+00 -1.5464e+00 -1.9220e+00 -9.8449e-01 +1.7715e+00 +3.6673e+00 +2.1606e+00 -3.5967e+00 -4.7051e+00 +1.2843e+00 +1.2609e+00 -9.0485e-01 +5.5418e-01 -1.8180e+00 -3.7925e+00 -2.1671e+00 -1.8820e+00
15759 +1.465349873e+01 +1.465349873e+01 +1.138234987e+02 +1.138234987e+02 +7.2203e-01 -3.8231e+00 +3.1892e+00 -4.3844e+00 -1.5694e+00 -1.9246e+00 -9.8781e-01 +1.7598e+00 +3.7062e+00 +2.1835e+00 -3.5993e+00 -4.7043e+00 +1.2913e+00 +1.2543e+00 -9.0601e-01 +5.4007e-01 -1.8991e+00 -3.7967e+00 -2.2672e+00 -1.8730e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100896402e+02 +1.100896402e+02 -4.078203598e+02 -4.078203598e+02 +2.0593e+00 +1.8360e+00 -3.2425e+00 -3.4229e+00 +4.8319e+00 -2.2117e-01 -6.7992e-01 +2.8906e+00 +2.0397e+00 +2.6661e+00 -6.5485e-01 +4.6640e+00 -2.2507e+00 +7.1285e-01 -4.8206e+00 +2.7294e-01 -4.3171e+00 -3.5277e+00 -1.5670e+00 +2.1455e+00
3 +7.008554023e+01 +7.008554023e+01 -4.478244598e+02 -4.478244598e+02 -8.3841e-01 +1.3690e+00 -1.0791e+00 +4.1655e+00 -3.6428e+00 +6.6178e-01 +3.0375e+00 -1.7175e+00 +4.9448e+00 -1.5418e+00 -4.4590e+00 +3.3800e+00 -1.1847e+00 -1.8359e+00 -3.6285e-01 -1.0487e+00 +3.4337e+00 -4.2335e+00 -6.4348e-01 +4.0871e+00
4 +5.019082199e+01 +5.019082199e+01 -4.677191780e+02 -4.677191780e+02 -7.8724e-01 +4.8807e+00 +1.9243e-01 -4.4848e+00 -1.1716e+00 +7.3639e-01 +2.9761e+00 +4.5808e-01 +2.1195e+00 +3.5690e+00 -5.4153e-01 -4.8956e+00 -5.0500e-01 +2.5308e+00 -4.7425e+00 -1.3818e-01 +1.3802e+00 -2.3775e+00 +1.0818e+00 -8.1595e-01
64 +3.947380566e+01 +3.947380566e+01 -4.784361943e+02 -4.784361943e+02 +9.0275e-01 -4.9107e+00 -4.2651e+00 -3.0844e+00 -6.3610e+00 -2.5221e+00 +3.2068e+00 +5.0014e-01 +1.1361e+00 +2.0641e+00 -1.1845e+00 -2.1500e+00 -2.0825e+00 -1.0137e+00 +9.4640e-01 -2.0282e+00 +2.1094e+00 -4.1918e+00 +1.7410e+00 +2.6179e+00
8538 +2.433392247e+01 +2.433392247e+01 -4.935760775e+02 -4.935760775e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 -5.0000e+00 +2.5995e+00 +1.5680e+00 -4.1551e+00 +0.0000e+00 -5.0000e+00 -5.0000e+00 +4.7337e+00 +2.8270e+00 +1.5987e-01 +5.0000e+00 -3.3512e+00 -5.0000e+00 -4.4259e+00 -5.0000e+00
13609 +1.307886293e+01 +1.307886293e+01 -5.048311371e+02 -5.048311371e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -4.9266e+00 -5.0000e+00 -5.0000e+00 +2.1299e+00 +1.8259e+00 -5.0000e+00 +1.3839e-01 -5.0000e+00 -5.0000e+00 +5.0000e+00 +3.4222e+00 -1.5896e+00 +5.0000e+00 -2.2770e+00 -5.0000e+00 -4.4045e+00 -5.0000e+00
15410 +9.913617830e+00 +9.913617830e+00 -5.079963822e+02 -5.079963822e+02 +5.0000e+00 -5.0000e+00 -5.0000e+00 -4.9328e+00 -5.0000e+00 -5.0000e+00 +2.0527e+00 +2.0527e+00 -5.0000e+00 +1.7915e-01 -5.0000e+00 -5.0000e+00 +5.0000e+00 +3.4843e+00 -1.6800e+00 +5.0000e+00 -2.4999e+00 -5.0000e+00 -4.4436e+00 -5.0000e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.737672069e+01 +8.737672069e+01 +3.016672069e+01 +3.016672069e+01 +1.3109e-01 -6.2127e-01 +3.1532e+00 -2.8987e+00 +4.9842e+00 -3.4417e+00 +5.5798e-01 -1.3242e-01 +3.4367e+00 +3.7456e+00 -4.0125e+00 +6.5507e-01 +1.0832e+00 +9.1381e-02 +8.8595e-01 -1.0749e+00 +2.6820e+00 +2.4326e+00 +1.2224e-02 +8.4586e-01
7 +5.574441729e+01 +5.574441729e+01 -1.465582706e+00 -1.465582706e+00 +4.7027e-01 +3.8542e+00 +4.3526e+00 -9.5253e-01 -3.3589e+00 -3.1029e+00 -6.8472e-01 -3.8140e+00 +1.5060e+00 +2.0359e+00 -1.2107e+00 -3.7626e-01 -3.3319e+00 +2.4278e+00 -1.2258e+00 -4.8012e+00 -1.6297e+00 -2.9261e+00 -4.5809e+00 -4.6469e+00
29 +3.887805686e+01 +3.887805686e+01 -1.833194314e+01 -1.833194314e+01 -4.8613e+00 -4.5196e+00 +3.2627e+00 +2.5701e+00 -2.2965e+00 +2.0343e+00 -4.9674e+00 +5.0040e-01 -2.3602e+00 -1.2865e-01 -2.9917e+00 -2.1424e+00 +1.7118e+00 -3.7724e+00 +2.6795e+00 +2.5687e+00 +2.5005e+00 -3.7730e+00 -3.5483e+00 +7.6258e-01
2383 +2.371478689e+01 +2.371478689e+01 -3.349521311e+01 -3.349521311e+01 -5.4038e+00 -4.7768e+00 +1.7948e+00 +2.4660e+00 +3.2532e+00 +9.5250e-01 -3.0120e+00 +3.9142e+00 -5.3148e-01 -2.7015e+00 +7.6494e-01 +1.2458e-02 -1.7254e+00 -4.3853e+00 +1.3095e+00 +7.1235e-01 +3.8604e+00 -3.2826e+00 -4.4942e+00 -3.9872e+00
15711 +1.487743069e+01 +1.487743069e+01 -4.233256931e+01 -4.233256931e+01 -5.0000e+00 -4.5757e+00 +6.8037e-01 -2.0222e+00 +5.0000e+00 +5.0000e+00 -1.8234e+00 +5.0000e+00 +2.1592e+00 -2.8320e+00 +3.3802e+00 +3.2705e-01 +8.1272e-01 -4.5254e+00 +2.1532e+00 +9.3861e-01 +2.5734e+00 -2.7472e+00 -3.2047e+00 -4.1391e+00
16908 +8.695347775e+00 +8.695347775e+00 -4.851465222e+01 -4.851465222e+01 -5.0380e+00 -4.5577e+00 +7.9487e-01 -1.1299e+00 +4.6302e+00 +4.8734e+00 -2.3800e+00 +4.7834e+00 +2.3369e+00 -2.5998e+00 +3.5628e+00 +9.3718e-02 +5.3344e-01 -4.1690e+00 +1.6710e+00 +1.0390e+00 +2.9391e+00 -2.7156e+00 -3.6622e+00 -3.7799e+00
