% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.220896447e+02 +1.220896447e+02 +1.051496447e+02 +1.051496447e+02 +3.1039e+00 +2.9140e+00 -1.4825e+00 -1.9224e+00 +3.5378e+00 +3.8620e+00 -3.5426e+00 -6.8268e-01 -2.5427e+00 -1.0366e+00 +4.3285e+00 -8.3012e-01 +2.2963e+00 +2.2357e+00 -3.6549e+00 +2.6544e+00 +1.8241e+00 +3.5529e-01 -1.2247e+00 -1.8565e+00
7 +6.458362695e+01 +6.458362695e+01 +4.764362695e+01 +4.764362695e+01 +2.4878e+00 -2.2651e+00 -4.7326e+00 -2.3493e+00 -8.7043e-01 -2.4030e-03 +2.0953e+00 +7.2530e-01 -4.0627e+00 -3.7250e-01 +1.7647e+00 +5.8093e-01 +6.6094e-01 +1.0168e+00 +5.4751e-01 +2.9749e+00 +8.1821e-01 -2.8881e+00 +7.7043e-01 +1.8874e+00
53 +3.884407765e+01 +3.884407765e+01 +2.190407765e+01 +2.190407765e+01 -3.1221e-01 +5.6529e-01 -1.7361e+00 -3.1541e+00 +4.8995e+00 -2.2511e+00 +2.3458e+00 -1.0905e+00 -1.5771e+00 -3.8646e+00 -5.6597e-01 +3.7958e-01 -4.6820e-01 +3.2546e-01 +8.3612e-01 +3.7618e+00 +1.2532e+00 -1.4431e+00 -1.2583e+00 +5.1992e-01
2267 +2.382191894e+01 +2.382191894e+01 +6.881918941e+00 +6.881918941e+00 +1.6868e+00 +8.9481e-01 -2.5526e-01 +8.0639e-01 +2.2866e+00 -1.4603e+00 +4.7511e+00 +1.4089e+00 +1.2839e+00 -4.6268e+00 +4.8628e+00 -1.3666e+00 -1.2559e+00 -2.8645e+00 +4.0268e+00 +3.8655e+00 +3.3449e+00 -2.3670e+00 +3.5523e-01 +4.4021e-01
8084 +1.510273841e+01 +1.510273841e+01 -1.837261589e+00 -1.837261589e+00 +1.8781e+00 +4.5813e+00 -1.0160e-01 -5.5910e-01 +1.9013e+00 -3.4778e+00 +4.7379e+00 -1.6213e+00 -1.3656e+00 -2.6776e+00 +3.1633e+00 -5.0721e-01 -1.3498e+00 -6.1816e-01 +3.8656e+00 +1.7858e+00 +3.5059e+00 -6.0358e-01 +2.3569e-01 +1.1628e+00
16792 +9.762321789e+00 +9.762321789e+00 -7.177678211e+00 -7.177678211e+00 +3.4442e+00 +1.0683e+00 -6.6909e-01 +8.2444e-01 +1.9614e+00 -2.6292e+00 +3.4553e+00 -3.3515e+00 +1.7422e-01 -2.0813e+00 +4.1389e+00 -7.6302e-01 -3.3238e+00 -1.4134e+00 +3.8217e+00 +3.0949e+00 +4.1194e+00 -9.1640e-01 +2.9438e-01 +1.5963e+00
22106 +5.742230321e+00 +5.742230321e+00 -1.119776968e+01 -1.119776968e+01 +3.5182e+00 +2.8366e+00 -2.3127e+00 +1.8105e+00 +2.6965e+00 -1.7837e+00 +1.2426e+00 -2.2135e+00 -1.2875e-01 -1.1604e+00 +4.1454e+00 +7.6424e-01 -3.0096e+00 -1.5287e+00 +2.2429e+00 +1.9595e+00 +3.8689e+00 -1.8298e-01 +2.9923e-01 +2.3242e+00
34499 +3.772653202e+00 +3.772653202e+00 -1.316734680e+01 -1.316734680e+01 +3.8260e+00 +2.8611e+00 -1.2012e+00 +1.7271e+00 +1.5767e+00 -1.2006e+00 +2.8217e+00 -2.2055e+00 +2.9577e-01 -2.2968e+00 +3.5677e+00 +7.0599e-01 -3.1577e+00 -1.7499e+00 +2.1808e+00 +2.6612e+00 +4.0036e+00 -2.2181e-01 +4.0377e-01 +2.9004e+00
40712 +2.159387046e+00 +2.159387046e+00 -1.478061295e+01 -1.478061295e+01 +4.2843e+00 +2.7228e+00 -1.9803e+00 +1.6239e+00 +1.4368e+00 -1.6136e+00 +3.3048e+00 -2.4517e+00 -2.8565e-01 -1.8936e+00 +3.9660e+00 +2.5891e-01 -2.2380e+00 -1.6025e+00 +2.6616e+00 +2.7853e+00 +3.8710e+00 -5.1252e-01 +3.3070e-01 +2.4268e+00
45106 +1.467197003e+00 +1.467197003e+00 -1.547280300e+01 -1.547280300e+01 +3.5549e+00 +2.4948e+00 -1.2111e+00 +1.3292e+00 +1.4822e+00 -2.0232e+00 +3.5185e+00 -2.1421e+00 -3.9197e-01 -2.0869e+00 +3.9076e+00 +2.0817e-02 -2.6235e+00 -1.2774e+00 +2.5527e+00 +2.9187e+00 +3.8376e+00 -2.9627e-01 +1.6578e-01 +2.2929e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.230267907e+02 +1.230267907e+02 +1.418367907e+02 +1.418367907e+02 -3.8253e+00 -4.3188e+00 -6.1370e-01 +4.5635e+00 +2.4710e+00 -2.2933e+00 -4.3792e+00 -3.4399e+00 -1.1769e+00 +7.6130e-01 -3.1875e+00 -4.9866e+00 +6.7772e-01 +4.1729e-01 -3.4124e-01 -2.3806e+00 +3.6431e+00 +1.2909e+00 +9.7906e-01 +1.5888e+00
9 +7.098035853e+01 +7.098035853e+01 +8.979035853e+01 +8.979035853e+01 -3.5212e+00 -3.4111e+00 +1.0524e+00 +3.9445e+00 +3.5414e+00 -4.5978e+00 -1.9077e+00 +2.3560e-01 +2.5425e+00 -6.5595e-01 +3.7951e-01 +1.0091e+00 +2.6493e+00 +1.8920e+00 -2.0867e-01 +2.1312e+00 +3.0916e+00 +5.1625e-01 -1.8573e+00 +1.0731e+00
