% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.889523242e+02 +9.889523242e+02 +1.091562324e+03 +1.091562324e+03 +9.5785e-01 -2.0087e+00 -4.9332e+00 -1.8350e+00 +3.7081e+00 +4.2655e+00 +1.6583e+00 -1.8749e+00 +3.4917e+00 -2.5328e+00 -4.4873e+00 -2.0700e+00 -4.9722e+00 +1.9141e+00 +4.1445e+00 +4.4794e+00 -2.2903e+00 -4.7184e+00 +3.4046e+00 +2.6167e+00
6 +6.196376452e+02 +6.196376452e+02 +7.222476452e+02 +7.222476452e+02 -3.3818e+00 -1.7604e-01 -4.6457e-01 -1.8251e+00 +2.9131e+00 +7.1083e-01 -2.7225e+00 +6.3309e-01 +8.0781e-01 +6.5472e-01 +6.6379e-01 +1.5729e+00 -9.5457e-01 -3.6263e+00 +1.1234e+00 +2.5474e+00 -4.0200e-01 -3.2183e+00 -3.6498e+00 +4.0400e+00
86 +3.912876613e+02 +3.912876613e+02 +4.938976613e+02 +4.938976613e+02 +1.2772e+00 +1.1139e+00 +7.6733e-01 +2.3086e-02 +1.2822e+00 -2.3072e+00 -2.0477e+00 -5.0000e+00 -1.7715e+00 +1.6439e+00 -2.4872e+00 -1.1764e+00 +2.1647e-01 -2.9881e-01 +1.0332e+00 -1.0415e+00 -1.5996e+00 -2.9793e+00 +5.1725e-01 +3.7246e+00
641 +2.500720422e+02 +2.500720422e+02 +3.526820422e+02 +3.526820422e+02 +2.3926e+00 +1.2655e+00 +7.4073e-01 +2.5834e+00 -2.0785e+00 +3.8290e-02 -1.5563e+00 -2.9816e+00 -2.2707e+00 +2.9255e+00 -1.1901e+00 +1.3202e+00 +1.7620e-01 +9.7956e-01 -1.4479e+00 -4.5590e-02 -1.4913e+00 -8.8902e-01 +2.3762e-01 +3.0604e+00
5261 +1.443193126e+02 +1.443193126e+02 +2.469293126e+02 +2.469293126e+02 +9.3089e-01 +1.5762e+00 -1.7433e+00 +3.4696e-01 -1.2064e+00 -1.3133e+00 -2.3209e+00 -6.7635e-01 -3.2350e-01 +1.2995e+00 -2.5156e-01 -3.0188e-01 -2.3733e+00 +1.4259e+00 -1.1294e+00 -2.7220e-01 -9.3969e-01 -9.9431e-01 +1.0309e+00 +2.0384e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.645574816e+02 +6.645574816e+02 +7.578574816e+02 +7.578574816e+02 -1.3010e+00 -1.4772e+00 +1.2008e+00 +9.7875e-01 +4.1240e+00 +4.1376e+00 +1.3678e+00 +2.1156e-01 -2.9346e+00 +2.8737e+00 +1.2227e+00 +5.1062e-01 +8.0785e-02 +1.6792e+00 -4.4216e+00 -4.9190e+00 +3.3262e+00 +4.6113e+00 +1.6978e+00 -3.8972e+00
6 +6.197388697e+02 +6.197388697e+02 +7.130388697e+02 +7.130388697e+02 -1.3535e+00 -2.2659e+00 -3.0110e+00 +2.7643e-01 +1.3140e+00 +2.2380e+00 -2.7701e+00 +3.7489e-01 +5.2867e-01 -1.3306e-02 -4.6015e+00 -4.8297e+00 +3.6654e+00 +9.1582e-01 -3.7881e+00 +2.5711e-01 -2.8815e+00 +7.5794e-01 -3.7980e+00 -1.5631e+00
211 +3.890001566e+02 +3.890001566e+02 +4.823001566e+02 +4.823001566e+02 +0.0000e+00 +2.8811e+00 +1.7955e+00 -3.6320e-01 +1.3546e+00 -1.1611e+00 -1.5215e+00 -3.9066e+00 +3.7369e+00 +3.4345e-01 +2.3563e+00 -7.6282e-01 +1.0070e-01 -2.3161e+00 -6.5068e-01 +7.2102e-01 +2.1327e-01 -3.0853e+00 +1.1327e+00 +8.8756e-01
888 +2.506407593e+02 +2.506407593e+02 +3.439407593e+02 +3.439407593e+02 -5.8666e-01 -2.8246e-02 +2.3887e+00 +1.1444e+00 +1.0751e+00 -2.1345e+00 +5.2698e-01 -1.7829e+00 +1.7195e+00 +7.3253e-01 -5.8244e-01 -5.1465e-01 +1.0909e+00 -3.2086e-01 +3.9965e-01 +2.6631e+00 -4.6223e-01 -2.4588e+00 +2.7222e+00 +1.0488e+00
7337 +1.561611996e+02 +1.561611996e+02 +2.494611996e+02 +2.494611996e+02 +9.5016e-02 +2.2637e+00 +2.4936e+00 +4.5086e-01 +1.3301e+00 -1.6821e+00 -4.1666e-01 -6.5244e-01 +2.3026e+00 +3.2051e+00 +3.2483e-01 -9.0679e-01 -5.8085e-01 -2.2022e+00 +6.1758e-01 +1.6597e+00 +8.0475e-01 -1.1853e+00 +3.6157e-01 +1.4784e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.830834904e+02 +7.830834904e+02 +7.967234904e+02 +7.967234904e+02 +3.6001e+00 +1.8026e+00 +9.2365e-01 -3.7958e+00 -7.7706e-02 +4.1367e+00 +2.0832e+00 -4.1427e-01 -1.5592e+00 -8.1372e-01 +2.4110e+00 +3.4726e+00 -2.1162e+00 -9.8289e-01 -4.7645e+00 -1.3112e+00 -4.4951e+00 -3.2282e+00 +4.7448e+00 +2.7970e+00
17 +6.076605398e+02 +6.076605398e+02 +6.213005398e+02 +6.213005398e+02 +2.7085e+00 +4.7224e+00 +1.4577e+00 +3.0166e-02 -3.9496e-02 -2.9097e+00 +1.8705e+00 -1.6191e+00 +1.6525e+00 +3.1034e-01 +2.9760e+00 -8.2692e-01 +4.8194e+00 +1.6711e+00 +2.0492e+00 -3.5150e+00 -4.6736e-01 -2.1699e+00 +2.2376e-01 -3.3412e+00
114 +3.005016763e+02 +3.005016763e+02 +3.141416763e+02 +3.141416763e+02 +9.4056e-01 +1.0527e-01 +4.8946e-01 +3.4981e+00 +7.4935e-01 -9.5785e-01 -5.0000e+00 -4.1270e-01 -2.1012e+00 -1.8321e+00 +2.6754e-01 +2.0878e+00 -1.0978e+00 -2.3948e+00 +9.8359e-01 -2.2518e+00 -1.6655e+00 +0.0000e+00 -9.1416e-01 +3.9398e-02
516 +2.507155665e+02 +2.507155665e+02 +2.643555665e+02 +2.643555665e+02 -1.1270e+00 +1.6350e+00 -2.2062e-01 +3.0400e+00 +4.7134e-01 -1.1118e+00 -3.8582e+00 +3.5762e-01 -1.7083e+00 -1.8155e+00 +2.1027e-01 +2.7578e+00 +1.2731e+00 -3.7468e+00 +2.2974e+00 -9.6679e-01 -2.6574e+00 -1.2607e+00 +1.8335e+00 +2.2175e-01
9626 +1.484495262e+02 +1.484495262e+02 +1.620895262e+02 +1.620895262e+02 -2.4832e+00 +1.7171e+00 +2.3433e-01 +1.3209e+00 +8.6181e-01 -1.1346e+00 -1.4016e+00 -1.2692e+00 -1.5847e+00 -2.1626e+00 -9.7498e-01 +2.1187e+00 -1.5928e-01 -1.1152e+00 +1.2299e+00 -1.1087e-01 -1.9415e+00 -1.5183e+00 +2.0358e+00 +4.9648e-01
46708 +9.547240817e+01 +9.547240817e+01 +1.091124082e+02 +1.091124082e+02 -2.4590e+00 +1.7189e+00 +1.6815e+00 +1.2774e+00 +2.1602e+00 -1.1695e+00 -1.3824e+00 -1.2697e+00 -1.5480e+00 -2.1867e+00 -9.8980e-01 +2.1148e+00 -3.5520e-02 -1.1209e+00 +1.2438e+00 +1.5694e-04 -1.9510e+00 -1.5590e+00 +2.0202e+00 +4.9164e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.349127226e+02 +9.349127226e+02 +1.129712723e+03 +1.129712723e+03 +4.4348e+00 -2.5274e-01 -1.2170e+00 +1.4158e-01 -3.4607e+00 +1.7949e+00 -4.1152e-01 -3.1574e+00 -4.7678e+00 -3.0069e+00 -3.8307e+00 -3.0783e+00 +1.0206e+00 +4.8350e+00 +9.1438e-01 -1.4246e-01 +2.8345e+00 -1.0480e+00 -3.5273e+00 +4.8283e+00
18 +6.302170785e+02 +6.302170785e+02 +8.250170785e+02 +8.250170785e+02 -4.8296e+00 -2.1095e+00 -2.6800e-01 +1.3672e+00 +3.6527e+00 -5.7539e-02 -3.4130e+00 +4.4107e+00 +8.8476e-01 +7.7707e-01 +1.2846e+00 +3.1311e+00 -2.9965e+00 -2.2426e+00 -1.0576e+00 +4.6078e+00 -3.2564e+00 -4.9024e+00 +2.1643e-01 +2.3240e+00
129 +3.862709492e+02 +3.862709492e+02 +5.810709492e+02 +5.810709492e+02 -5.4319e-01 +5.4184e-01 +2.4327e+00 -2.6605e+00 +2.0036e+00 -2.3174e+00 +1.7656e-01 -3.7964e+00 -1.5915e+00 -2.5888e+00 -5.4595e-01 -6.3257e-01 -1.3219e-01 -2.8101e+00 +1.6035e+00 +8.4727e-01 -2.3147e+00 +0.0000e+00 +2.2354e+00 +1.2823e+00
462 +2.367744799e+02 +2.367744799e+02 +4.315744799e+02 +4.315744799e+02 -1.3890e+00 +1.5889e+00 +2.8780e+00 -2.6135e+00 +1.2194e+00 -3.1860e+00 +1.0196e+00 -1.8917e+00 -1.8335e+00 -5.4550e-01 -3.3809e+00 +1.6938e+00 +1.4121e+00 -1.5825e+00 +9.2813e-01 +2.0464e-02 -1.8707e+00 -6.6067e-01 -7.6736e-02 +2.4959e+00
9694 +1.519409670e+02 +1.519409670e+02 +3.467409670e+02 +3.467409670e+02 -2.8152e+00 +1.2501e+00 +2.1753e+00 -1.4756e+00 +6.2887e-01 -4.7283e-01 +1.1333e+00 +1.2305e+00 -1.2575e+00 -7.6667e-01 -1.8564e+00 +2.2442e+00 +1.4191e+00 -9.4328e-01 -1.2829e+00 +4.0328e-01 -1.7757e+00 -7.1582e-01 +4.5576e-01 +1.8488e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.996800982e+02 +6.996800982e+02 +5.660900982e+02 +5.660900982e+02 -3.4622e+00 -2.3592e+00 -1.4525e-01 +2.9734e-01 -2.0878e+00 +3.5877e+00 +9.4320e-01 +2.9594e+00 +1.7778e+00 +2.0232e+00 -1.1782e+00 +4.0326e+00 +2.7972e-01 -3.6718e+00 +3.9820e+00 -1.6429e+00 +1.2345e+00 +2.4738e-01 -2.8804e+00 -4.1122e+00
5 +5.510787121e+02 +5.510787121e+02 +4.174887121e+02 +4.174887121e+02 +9.3399e-01 -1.3112e-01 +4.3064e+00 +9.7829e-01 +4.3527e+00 -1.4970e+00 -1.1856e+00 -1.7803e+00 -4.9120e+00 +1.6486e+00 -1.8758e+00 -1.2242e+00 -2.3371e+00 -8.6483e-01 +1.1062e+00 +2.6705e+00 -2.0409e+00 +3.0144e+00 +2.8289e-01 -2.5552e+00
122 +3.536507916e+02 +3.536507916e+02 +2.200607916e+02 +2.200607916e+02 +7.5898e-02 -2.5166e+00 +3.5113e+00 +4.7969e-01 +3.0911e+00 -1.0559e+00 +0.0000e+00 +1.7555e+00 -5.1470e-01 -1.8167e+00 -2.3272e+00 +0.0000e+00 -6.1279e-01 +9.1190e-01 +0.0000e+00 +2.4366e+00 -1.0287e+00 -6.5358e-01 -2.6869e+00 -4.2197e+00
818 +2.476246168e+02 +2.476246168e+02 +1.140346168e+02 +1.140346168e+02 -1.9532e+00 -1.9338e+00 +1.1373e+00 +2.0934e+00 +3.7354e+00 -3.0444e+00 -2.4297e+00 +3.8285e-01 +4.1712e-01 -1.7140e+00 +2.5002e+00 -1.4343e+00 +3.0471e+00 +1.4539e+00 +7.5734e-01 +4.6285e-01 -2.6910e+00 -7.8205e-01 -1.8115e+00 -3.9734e+00
41403 +1.578550166e+02 +1.578550166e+02 +2.426501659e+01 +2.426501659e+01 -5.4399e-01 -1.1344e+00 +2.1945e+00 +9.5770e-01 +2.8448e+00 +8.5285e-02 +5.3062e-01 +5.6735e-01 +1.3883e-01 -1.1432e-01 +1.8342e+00 -1.3756e+00 +2.1367e+00 +1.5807e+00 +1.1305e+00 +4.5926e-01 -1.6914e+00 -2.5218e+00 -2.0134e+00 -3.2032e+00
% function evaluation | noise-free fitness - Fopt (1.543700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
