% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.919102170e+03 +2.919102170e+03 +2.457012170e+03 +2.457012170e+03 +1.0084e+00 +2.3873e+00 -4.4835e+00 -4.1362e-01 +4.5503e+00 +4.8656e+00 +1.1198e+00 +8.3221e-01 -3.6445e+00 -2.6930e+00 +4.5513e+00 +1.8199e+00 +3.6003e+00 -4.6468e+00 +2.8957e+00 -3.8292e+00 -1.8325e+00 -3.7271e+00 +1.8194e+00 -2.9375e+00
2 +1.551301782e+03 +1.551301782e+03 +1.089211782e+03 +1.089211782e+03 -1.2794e+00 +1.2460e+00 -4.0072e+00 -1.1962e+00 -8.9698e-01 +1.7629e+00 -1.8992e+00 -9.7426e-01 +1.5628e+00 +1.6776e+00 -2.5799e+00 -3.6781e+00 +1.4107e+00 +1.4651e+00 +5.3993e-01 -4.4167e+00 +4.1229e+00 -4.9586e+00 -3.9903e+00 -1.0152e+00
12 +8.505176204e+02 +8.505176204e+02 +3.884276204e+02 +3.884276204e+02 +1.9273e+00 -3.2678e-01 -4.2362e-01 +4.2272e+00 -5.2295e-01 +3.2119e+00 -5.4897e-01 -3.2121e+00 -1.7756e-01 -1.1556e+00 -4.1818e+00 -3.9451e+00 -2.2681e+00 -7.7384e-01 -4.0448e+00 -1.8054e+00 -2.8208e+00 -2.5895e+00 -3.2224e+00 +3.5049e+00
53 +6.058279874e+02 +6.058279874e+02 +1.437379874e+02 +1.437379874e+02 -1.2929e+00 -2.2927e+00 +4.7863e-01 +4.0083e+00 -1.5996e+00 +1.5998e+00 +2.7106e+00 -4.7551e-01 +5.3950e-01 -4.3920e-01 -5.0000e+00 -1.5032e+00 +4.5246e-01 +7.1804e-01 +1.8568e-02 -1.3036e+00 -6.7705e-01 +8.2857e-01 -1.1576e+00 +3.7026e+00
222 +3.869775601e+02 +3.869775601e+02 -7.511243986e+01 -7.511243986e+01 -9.1079e-01 +4.1230e-01 +1.1367e+00 +3.0500e+00 +9.3253e-01 +2.9767e+00 +1.7940e+00 +9.3244e-01 +2.5862e+00 +1.9562e+00 -4.8948e+00 -1.6650e+00 +1.8977e+00 -5.0000e+00 +1.1929e-01 -3.7240e+00 -1.8909e+00 +3.0509e+00 -9.2155e-01 +1.5312e+00
661 +2.402023711e+02 +2.402023711e+02 -2.218876289e+02 -2.218876289e+02 -4.3624e+00 -4.6151e-01 +3.4468e+00 +8.3164e-02 +2.1933e+00 -1.8103e-01 +8.1561e-01 +5.0257e-01 +2.6760e+00 +1.1666e+00 -4.9166e+00 -4.7353e+00 +8.2337e-01 -4.3850e+00 -1.5051e+00 -4.1172e+00 -6.2360e-01 +2.9215e+00 -2.2067e+00 +2.1916e+00
2321 +1.338325980e+02 +1.338325980e+02 -3.282574020e+02 -3.282574020e+02 -4.2175e+00 +7.2036e-01 +3.2251e+00 -7.1612e-02 +1.0294e+00 -1.7489e-01 +1.9585e+00 +8.1057e-01 +1.8900e+00 +5.8711e-01 -4.8891e+00 -4.2188e+00 +1.1405e+00 -4.7518e+00 -1.3682e+00 -3.9417e+00 +8.2833e-02 +3.4035e+00 -3.5591e+00 +1.7882e+00
5511 +9.802009854e+01 +9.802009854e+01 -3.640699015e+02 -3.640699015e+02 -4.1808e+00 +5.5651e-01 +3.1423e+00 -1.6549e-01 +8.9524e-01 -1.1259e-01 +1.7292e+00 +6.5051e-01 +1.8951e+00 +1.0710e-01 -4.8898e+00 -4.2338e+00 +1.1538e+00 -4.6608e+00 -1.3416e+00 -3.9185e+00 +1.2610e-01 +3.3609e+00 -3.5706e+00 +1.8277e+00
15655 +6.281454801e+01 +6.281454801e+01 -3.992754520e+02 -3.992754520e+02 -4.2915e+00 +4.8146e-01 +3.1436e+00 -1.3557e-01 +1.4763e+00 +2.1622e+00 +1.8177e+00 +2.6301e+00 +1.8452e+00 +6.0581e-02 -4.9226e+00 -4.2973e+00 +1.1365e+00 -4.6852e+00 -1.4062e+00 -3.9221e+00 +9.6432e-02 +3.3671e+00 -3.5706e+00 +1.8103e+00
19362 +3.952010007e+01 +3.952010007e+01 -4.225698999e+02 -4.225698999e+02 -4.3292e+00 +4.1486e-01 +3.1244e+00 -1.4479e-01 +1.4501e+00 +2.1375e+00 +1.8031e+00 +2.5996e+00 +1.8257e+00 +7.7749e-02 -4.9400e+00 -4.2984e+00 -1.4448e-01 -3.4061e+00 -1.4029e+00 -3.9176e+00 +9.6424e-02 +3.3635e+00 -3.5761e+00 +1.8276e+00
