% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.680831587e+02 +1.680831587e+02 +2.475631587e+02 +2.475631587e+02 +1.3932e+00 -9.4055e-01 -2.0152e+00 -1.9164e+00 -2.0921e+00 +1.0046e+00 -2.1093e+00 -2.3887e+00 -3.4311e+00 -1.5263e+00 +2.7808e+00 +2.3617e+00 +1.1495e+00 -4.3969e+00 -6.6962e-01 +3.5515e+00 +2.6037e+00 +1.2831e+00 -5.3205e-01 -1.6558e+00
16 +1.140626270e+02 +1.140626270e+02 +1.935426270e+02 +1.935426270e+02 -1.6382e+00 -8.9406e-02 +4.3209e+00 +3.7718e+00 -3.0062e+00 +3.1421e+00 +2.4592e+00 -4.8481e-01 +1.0957e+00 +9.2879e-01 +6.8255e-01 +2.8929e+00 +4.7394e-01 +7.7475e-02 +4.6010e+00 -1.0150e+00 +1.9377e+00 -3.6936e+00 +2.3377e+00 +7.2315e-01
301 +9.742141958e+01 +9.742141958e+01 +1.769014196e+02 +1.769014196e+02 -2.8368e-01 -2.8704e-01 -1.2400e+00 +2.9170e+00 -2.9231e+00 +4.1095e+00 +1.9196e+00 -1.8278e+00 +3.3814e-01 -1.9260e-01 -3.5376e+00 +1.0643e+00 +1.7161e+00 -1.2988e-01 +2.8373e+00 -2.9423e+00 -1.9543e+00 -5.4594e+00 -1.3813e+00 -1.0041e+00
401 +5.645395194e+01 +5.645395194e+01 +1.359339519e+02 +1.359339519e+02 +1.0454e-02 +6.4385e-01 +1.8971e+00 -1.4481e+00 -6.4242e-01 +1.0540e+00 -1.4220e+00 -4.4220e-01 -2.9119e+00 -2.4215e+00 -3.2728e+00 +3.3007e+00 -1.5467e+00 -1.5651e+00 +2.7058e+00 -1.1716e-01 -9.0303e-01 -2.2131e+00 +2.3575e+00 +8.3465e-02
701 +3.124977508e+01 +3.124977508e+01 +1.107297751e+02 +1.107297751e+02 +1.0454e-02 -6.5338e-01 -2.3453e+00 -1.4481e+00 -1.4776e+00 +1.1938e+00 -1.4220e+00 -4.4220e-01 -3.2310e+00 -2.4215e+00 -3.2728e+00 +1.6210e+00 +1.4475e+00 -1.0593e+00 +2.7862e+00 +9.7678e-01 -5.2897e-01 -2.6836e+00 +3.1160e+00 +8.3465e-02
1250 +2.113965773e+01 +2.113965773e+01 +1.006196577e+02 +1.006196577e+02 -2.4124e-01 -1.5756e+00 -4.0935e-01 +1.3189e-01 -4.4256e+00 +1.9207e+00 +2.6289e-01 +1.0983e+00 -1.6549e+00 -2.1960e+00 -2.9436e+00 +2.2858e+00 +2.0157e+00 -5.6283e-01 +1.8850e+00 +1.8044e+00 -1.6394e-01 -4.1921e+00 +3.3602e+00 -3.5787e-01
1607 +1.562880945e+01 +1.562880945e+01 +9.510880945e+01 +9.510880945e+01 +1.7374e-01 -1.5291e-01 -1.1240e+00 +1.0976e+00 -3.5875e+00 +2.9108e+00 +2.8077e-01 +8.3145e-01 -1.1463e+00 -3.1468e+00 -3.8084e+00 +3.1270e+00 +1.3620e+00 -9.0992e-01 +2.2177e+00 +2.4762e+00 -6.9947e-02 -4.8522e+00 +2.9989e+00 +6.9592e-01
1901 +8.813153977e+00 +8.813153977e+00 +8.829315398e+01 +8.829315398e+01 -4.4152e-01 -1.0139e+00 +9.5050e-02 +9.2362e-01 -3.7915e+00 +3.6996e-01 +2.6289e-01 +8.5920e-01 -1.6549e+00 -1.8791e+00 -3.9551e+00 +2.0631e+00 +6.9980e-01 -5.8810e-01 +2.7782e+00 +2.9803e+00 -8.4340e-01 -4.1921e+00 +3.3602e+00 +5.9983e-01
2203 +5.995504595e+00 +5.995504595e+00 +8.547550459e+01 +8.547550459e+01 -1.9484e-02 -1.4538e+00 -1.4868e+00 +1.6657e+00 -2.7745e+00 +2.0179e-02 +7.4997e-01 +9.5926e-01 -1.3477e+00 -3.1386e+00 -4.0546e+00 +1.9863e+00 +8.6247e-01 -3.2198e-01 +4.4139e+00 +3.0896e+00 +1.0565e+00 -4.6721e+00 +2.0006e+00 +5.8115e-01
2701 +3.963017600e+00 +3.963017600e+00 +8.344301760e+01 +8.344301760e+01 +1.6698e-01 -1.8205e+00 -2.8300e-01 +1.6010e+00 -2.9393e+00 +1.1317e+00 +3.6042e-01 +4.4964e-01 -1.7440e+00 -3.1543e+00 -3.7565e+00 +2.0038e+00 +1.1146e+00 -3.2198e-01 +3.9147e+00 +2.9951e+00 +1.0565e+00 -4.4663e+00 +2.3130e+00 +6.6738e-01
