% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.414665976e+02 +4.414665976e+02 +4.322565976e+02 +4.322565976e+02 +4.1868e+00 -3.3063e+00 -1.1472e+00 -4.0609e+00 -4.7948e-03 +2.1905e+00 -3.4725e+00 +4.4120e+00 -4.6533e+00 -2.2023e+00 +2.9160e+00 +4.3070e+00 +2.7864e+00 -3.5743e+00 -2.1898e+00 +3.4343e+00 -4.5357e+00 -2.6482e+00 -8.7610e-01 +4.8463e+00
4 +3.780971985e+02 +3.780971985e+02 +3.688871985e+02 +3.688871985e+02 +4.0773e+00 -1.8003e+00 -3.5093e+00 +1.7781e+00 +4.7306e+00 +4.7508e+00 -9.2564e-01 -3.2276e+00 +3.8504e+00 -2.4492e-01 +2.4951e+00 -4.5477e-01 -3.2992e+00 +1.4213e+00 -4.5665e+00 +1.2080e+00 -1.0310e+00 +3.5116e+00 +1.2165e+00 +5.4215e-01
101 +2.379187680e+02 +2.379187680e+02 +2.287087680e+02 +2.287087680e+02 +9.0425e-01 +5.6082e+00 -1.1475e+00 +7.2252e-02 +4.8777e-01 +3.8184e+00 +4.9352e+00 +1.0609e+00 -1.8932e+00 -6.1490e-01 -3.8268e+00 +5.4925e-01 +1.2721e+00 -2.2852e+00 +3.6483e+00 -2.0308e+00 +3.3692e+00 +3.2665e+00 -6.0359e+00 +4.9302e+00
501 +1.404955578e+02 +1.404955578e+02 +1.312855578e+02 +1.312855578e+02 +2.8719e+00 +5.9778e+00 -2.0106e+00 -6.8386e-01 -6.9742e+00 -1.2675e+00 +4.6125e+00 -7.8464e-01 -1.8120e+00 +2.8514e+00 -8.3597e+00 -7.4848e+00 -3.8440e+00 +6.1290e+00 -5.7287e+00 -2.3592e+00 +1.4981e+01 +5.7979e+00 -8.2903e+00 +5.9448e+00
1002 +7.748636714e+01 +7.748636714e+01 +6.827636714e+01 +6.827636714e+01 -3.9216e+00 +7.9143e+00 +2.3042e+00 +5.1530e-01 -6.3838e+00 +2.8872e+00 +1.4034e+00 +5.6007e+00 +8.2151e+00 -5.8104e+00 -2.6439e+00 -2.6560e+00 +5.5972e+00 +6.5334e+00 -1.0350e+01 -3.8096e-02 +8.8707e+00 +5.0386e+00 -8.6074e+00 +9.2826e+00
1202 +6.051526053e+01 +6.051526053e+01 +5.130526053e+01 +5.130526053e+01 +7.4363e-02 +7.9143e+00 +1.8481e+00 +6.4541e+00 -6.4541e+00 -1.7696e+00 +3.3244e+00 +4.3876e+00 +5.3401e+00 -5.3731e+00 -4.3743e+00 -2.6560e+00 +5.5972e+00 +9.5056e+00 -8.9101e+00 -1.2207e+00 +8.0237e+00 +5.0386e+00 -6.5360e+00 +6.7820e+00
1504 +3.386412734e+01 +3.386412734e+01 +2.465412734e+01 +2.465412734e+01 +4.6481e+00 +4.1322e+00 +1.8481e+00 +8.2506e+00 -8.3977e+00 +3.8915e-01 +8.3047e+00 +4.3876e+00 +5.4797e+00 -4.2008e+00 -4.3743e+00 -3.2301e+00 +5.5972e+00 +9.5056e+00 -8.9101e+00 -3.9547e+00 +4.8557e+00 +5.0386e+00 -6.5360e+00 +6.7820e+00
1603 +1.793514217e+01 +1.793514217e+01 +8.725142175e+00 +8.725142175e+00 +6.7849e+00 +2.4150e+00 +9.2161e+00 +5.4379e+00 -3.7051e+00 -2.0456e+00 +8.6635e+00 +7.6076e+00 +8.5679e+00 -6.0664e+00 -6.3228e+00 -5.4887e+00 +1.2614e+01 +1.0661e+01 -5.5974e+00 -5.2441e+00 +7.8250e+00 +9.9263e+00 -1.0387e+01 +5.1188e+00
1901 +1.526343046e+01 +1.526343046e+01 +6.053430458e+00 +6.053430458e+00 +6.5585e+00 +2.4150e+00 +7.9345e+00 +5.4379e+00 -6.7508e+00 -1.7351e+00 +8.6635e+00 +7.6076e+00 +8.2290e+00 -6.0664e+00 -7.0646e+00 -5.4887e+00 +1.5690e+01 +1.0661e+01 -5.5974e+00 -5.6388e+00 +7.8250e+00 +9.0008e+00 -1.0498e+01 +5.1188e+00
1904 +8.758151188e+00 +8.758151188e+00 -4.518488116e-01 -4.518488116e-01 +4.1683e-01 +8.6104e+00 +1.7506e+01 +7.6347e+00 -1.2906e+01 +7.2908e+00 +2.9823e+00 +7.6838e+00 +1.5596e+01 -6.7420e+00 -6.4828e+00 -1.1414e+01 +1.8012e+01 +7.4285e+00 -1.3008e+01 -9.9105e+00 +1.2393e+01 +8.9853e+00 -8.0812e+00 +6.1215e+00
2049 +5.682905610e+00 +5.682905610e+00 -3.527094390e+00 -3.527094390e+00 +6.6467e+00 +8.2374e+00 +5.4028e-01 +1.1930e+01 -1.1786e+01 +8.3807e+00 +5.1142e+00 +1.1712e+01 +1.4200e+01 -1.2438e+01 -1.5593e+01 -1.3033e+01 +1.0148e+01 +7.5675e+00 -1.8886e+01 -5.9819e+00 +6.8025e+00 +9.3398e+00 -8.8681e+00 +6.1348e+00
2101 +1.724812808e+00 +1.724812808e+00 -7.485187192e+00 -7.485187192e+00 +6.6467e+00 +8.1492e+00 +3.6464e+00 +7.8158e+00 -7.8942e+00 +8.3807e+00 +9.1091e+00 +1.2166e+01 +1.2347e+01 -1.1442e+01 -1.3612e+01 -8.8078e+00 +9.4061e+00 +7.5675e+00 -1.6883e+01 -5.9819e+00 +6.8025e+00 +9.3398e+00 -1.0496e+01 +6.1348e+00
2201 +1.403231036e+00 +1.403231036e+00 -7.806768964e+00 -7.806768964e+00 +6.6467e+00 +1.2118e+01 +5.4270e+00 +1.0198e+01 -7.8942e+00 +4.2345e+00 +7.4436e+00 +1.2166e+01 +2.3886e+01 -7.9812e+00 -9.4159e+00 -5.2063e+00 +9.4061e+00 +1.0802e+01 -1.6883e+01 -7.4475e+00 +1.0832e+01 +1.0261e+01 -1.0496e+01 +6.0351e+00
2401 +2.131628207e-14 +2.131628207e-14 -9.210000000e+00 -9.210000000e+00 +6.2993e+00 +7.7196e+00 +1.0373e+01 +1.4097e+01 -8.5442e+00 +5.1514e+00 +5.2558e+00 +1.2829e+01 +2.1874e+01 -9.0937e+00 -6.8984e+00 -6.1585e+00 +1.0926e+01 +8.2771e+00 -1.7099e+01 -7.7991e+00 +9.8404e+00 +7.0560e+00 -1.1438e+01 +5.5201e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
