% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.888864218e+06 +5.888864218e+06 +5.888940488e+06 +5.888940488e+06 -6.5188e-01 +1.1142e+00 -4.6528e+00 +3.2386e+00 -1.6603e+00 -3.1021e+00 +1.1519e-01 +3.8772e+00 -2.7098e+00 +5.1327e-01 -5.8684e-02 +2.9321e+00 -9.6190e-01 +4.9132e+00 +3.5615e+00 -3.1302e+00 +3.1370e+00 -1.3586e+00 -3.8295e+00 +1.1812e+00
2 +8.785900496e+05 +8.785900496e+05 +8.786663196e+05 +8.786663196e+05 +5.1575e-01 -3.8098e+00 +3.0586e-02 -4.9743e+00 +1.9921e+00 -5.1711e-01 +7.6986e-02 -3.5064e+00 -3.8935e+00 +3.5892e+00 +3.6400e-01 -3.1805e+00 -1.8502e+00 +2.2676e+00 +7.3225e-01 -1.7025e+00 -3.0435e-02 -3.6133e+00 -7.1882e-01 -1.2650e+00
3 +1.442888786e+04 +1.442888786e+04 +1.450515786e+04 +1.450515786e+04 +4.9255e+00 -2.2578e+00 -3.7358e-01 -2.6057e+00 -1.2819e-01 +7.2532e-01 -4.0993e+00 -2.0182e+00 -1.7215e-01 -2.3302e+00 -4.4675e+00 -1.5017e+00 +2.0818e+00 -2.6316e+00 -4.6170e+00 -1.7396e+00 +3.8037e+00 -4.5197e-01 +2.0965e+00 -3.7532e+00
77 +4.615865232e+02 +4.615865232e+02 +5.378565232e+02 +5.378565232e+02 +1.7017e+00 +4.3556e-01 -2.1889e+00 +2.7921e+00 -1.3432e+00 +2.1419e-01 -5.0000e+00 -2.7293e+00 +2.1584e+00 -2.1635e+00 -2.0430e+00 -2.4692e+00 +3.1704e+00 +7.1694e-01 -1.9957e+00 -3.6023e-01 +7.0788e-01 -6.6592e-01 -1.7670e+00 -1.4544e+00
83 +1.508986965e+02 +1.508986965e+02 +2.271686965e+02 +2.271686965e+02 +2.6605e+00 -1.0380e+00 -2.3862e+00 -1.6537e+00 -6.2514e-01 -5.7163e-01 -4.3181e+00 -1.2199e+00 +1.4087e+00 +8.7993e-01 -2.2416e+00 -2.4781e+00 +1.3889e+00 -1.4037e+00 -3.2655e+00 -2.1834e+00 +4.3644e+00 +7.3136e-02 -1.4055e+00 -3.8374e+00
6287 +7.678195538e+01 +7.678195538e+01 +1.530519554e+02 +1.530519554e+02 +6.2127e-01 -8.3881e-01 -2.5738e+00 +1.1802e-01 -8.1188e-01 -3.8764e+00 -4.5510e+00 +5.2435e-01 +1.4422e+00 +4.1679e-01 +1.0192e-01 -2.5959e+00 -3.6455e+00 +3.4881e+00 -3.2684e+00 -1.8966e+00 +5.0000e+00 -2.5088e-02 +7.6349e-01 -3.9350e+00
13057 +6.165117983e+01 +6.165117983e+01 +1.379211798e+02 +1.379211798e+02 +6.2466e-01 -8.6794e-01 -2.4331e+00 -1.0771e-01 -1.0217e+00 -2.2860e+00 -3.8092e+00 +6.3517e-01 -1.5786e+00 +4.2459e-01 +1.5369e+00 -2.5904e+00 -1.8006e+00 +2.4142e+00 -2.8098e+00 -1.9299e+00 +5.0000e+00 -2.6896e-02 +7.7813e-01 -3.7003e+00
18518 +3.327004573e+01 +3.327004573e+01 +1.095400457e+02 +1.095400457e+02 -3.6769e-01 -1.8102e+00 -1.6248e+00 +5.5255e-01 -1.3070e+00 -2.0659e+00 +9.7325e-01 -3.7219e-01 -3.2548e-01 +2.9947e-01 +3.4387e-01 -2.5910e+00 -1.9948e+00 +3.1696e+00 -2.7858e+00 -1.7689e+00 +3.7558e+00 -8.9164e-01 +3.7092e-01 -1.8807e+00
37395 +2.489647531e+01 +2.489647531e+01 +1.011664753e+02 +1.011664753e+02 -4.2985e-01 -1.9778e+00 -1.0289e+00 -2.2717e-01 -1.3094e+00 -2.2166e+00 -1.7866e+00 -9.2957e-02 +3.5631e-01 +3.4657e+00 +1.5150e+00 -2.6887e+00 -1.4145e+00 +3.0673e+00 -3.0530e+00 -1.8470e+00 +1.9425e+00 -7.8735e-01 +3.2261e-01 -2.0365e+00
46407 +1.484469157e+01 +1.484469157e+01 +9.111469157e+01 +9.111469157e+01 -6.8046e-01 -1.8585e+00 -1.0334e+00 +1.9729e-02 -1.2252e+00 -1.7474e+00 -3.9779e-01 +1.5123e+00 +3.7871e-01 +2.7827e+00 +2.0370e+00 -2.6831e+00 -1.4138e+00 +3.0267e+00 -2.9186e+00 -1.7118e+00 +2.4772e+00 -1.4088e+00 -3.1925e-01 -1.9346e+00
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.101937617e+06 +6.101937617e+06 +6.101915067e+06 +6.101915067e+06 -1.6063e+00 +5.6622e-01 +1.8412e-01 +7.5168e-01 +4.5535e-02 -1.4985e+00 -2.3056e-01 -1.8265e-01 -2.7557e+00 -2.2726e+00 +3.9635e+00 -1.9440e+00 -3.0372e+00 -1.7845e+00 -4.1212e+00 +9.7189e-01 -1.1534e+00 +4.2716e+00 -4.8553e+00 +4.5090e-02
3 +4.654624367e+05 +4.654624367e+05 +4.654398867e+05 +4.654398867e+05 +2.5578e+00 +3.8161e+00 -4.1873e+00 -3.5744e+00 -3.6475e+00 -1.5290e+00 +4.8561e-01 +3.5347e+00 +1.9901e+00 -1.7950e+00 +3.4376e+00 -1.2807e-01 -1.5714e-01 +4.9227e+00 -3.1000e+00 -1.2770e+00 +3.2000e+00 -3.3622e+00 +7.9709e-01 +4.3416e+00
8 +1.062369308e+04 +1.062369308e+04 +1.060114308e+04 +1.060114308e+04 +2.9271e+00 +1.3390e+00 +3.6247e+00 +1.5887e+00 +4.2198e+00 +1.9436e+00 -3.9043e+00 +4.3601e+00 -4.9013e+00 -2.2500e+00 +4.1808e+00 -4.3242e+00 +3.9357e+00 -4.5302e+00 -1.9860e+00 +4.1829e+00 +1.1150e+00 +3.3845e-01 -1.1820e+00 +4.6984e+00
45 +2.857607375e+03 +2.857607375e+03 +2.835057375e+03 +2.835057375e+03 +1.4421e+00 -6.0885e-01 +3.4148e-01 +3.6234e+00 -3.3180e+00 +9.1932e-01 -5.0000e+00 +5.0000e+00 -1.0080e+00 +6.0543e-01 +1.3532e+00 -1.3491e+00 +2.5703e+00 -7.1537e-01 -1.6603e+00 +3.6332e+00 +4.2288e+00 -1.8577e+00 +2.7612e+00 +5.0000e+00
90 +5.753035021e+02 +5.753035021e+02 +5.527535021e+02 +5.527535021e+02 +7.9718e-01 +3.9958e-01 +4.3452e+00 +4.8750e+00 -1.0470e+00 +4.3402e+00 -4.2197e+00 +5.0000e+00 +1.6862e+00 +2.3315e+00 +5.0000e+00 +1.2165e-01 +4.0167e+00 -2.5983e+00 +4.1146e-01 +5.0000e+00 +4.7820e+00 -2.0572e+00 +0.0000e+00 +5.0000e+00
165 +2.874683810e+02 +2.874683810e+02 +2.649183810e+02 +2.649183810e+02 +1.5845e+00 +1.5121e+00 +3.2232e+00 +3.5861e+00 -3.3884e+00 +2.8093e+00 -4.6528e+00 +5.0000e+00 +2.8349e+00 +3.8817e+00 +4.9730e+00 +3.6415e+00 +8.1518e-01 +4.2556e-01 +7.7809e-01 +4.6780e+00 +3.1660e+00 +1.3687e+00 +2.5201e+00 +5.0000e+00
382 +1.747745474e+02 +1.747745474e+02 +1.522245474e+02 +1.522245474e+02 +4.7258e-01 -8.2811e-02 +1.5856e+00 -3.5592e-01 -6.4567e-01 +2.8280e+00 -3.4936e+00 -4.2240e-01 -1.3409e-01 +7.1709e-01 +4.8960e+00 -2.2205e+00 +3.8307e-01 -3.8300e+00 +4.8142e+00 +4.7768e+00 +3.6971e+00 -5.0000e+00 -1.7872e+00 +2.9515e+00
1977 +1.558890970e+02 +1.558890970e+02 +1.333390970e+02 +1.333390970e+02 +9.2448e-01 +2.3445e+00 +1.6219e+00 -4.9787e-01 -6.7253e-01 +2.9524e+00 -3.2275e+00 -1.3210e+00 -1.0020e+00 -7.0708e-01 +4.8825e+00 -2.2443e+00 +4.2069e-01 -5.0000e+00 +3.5412e+00 +5.0000e+00 +3.6864e+00 -5.0000e+00 -6.4316e-01 +4.2054e+00
18832 +9.923540674e+01 +9.923540674e+01 +7.668540674e+01 +7.668540674e+01 +8.1419e-01 +2.7895e+00 +2.5479e+00 -6.7554e-01 -7.9397e-01 +1.3245e+00 -2.1231e+00 -1.9420e+00 +9.2575e-01 -8.7959e-01 +4.9116e+00 -6.2263e-01 -2.7279e-01 -2.5663e+00 +3.5904e+00 +4.2599e+00 +3.9071e+00 -4.9846e+00 -1.3611e-01 +2.6208e+00
% function evaluation | noise-free fitness - Fopt (1.366000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.215865211e+06 +7.215865211e+06 +7.215878871e+06 +7.215878871e+06 -1.1760e+00 -1.7808e+00 -3.9705e+00 -2.6669e-01 -4.1360e+00 -2.4010e+00 +3.8029e+00 +4.4629e+00 -3.6188e+00 -7.3360e-02 +3.3930e+00 -1.3291e+00 +2.7614e+00 +3.0027e+00 +2.4202e+00 -3.7482e-02 -1.4770e+00 -3.1961e-01 -3.9299e+00 -4.8806e+00
3 +5.599268669e+06 +5.599268669e+06 +5.599282329e+06 +5.599282329e+06 -6.8148e-01 -3.0614e+00 -3.6655e+00 -2.1131e+00 +2.4402e+00 +1.1174e+00 -1.8265e+00 -4.0750e+00 -2.2863e+00 -2.6060e+00 -9.3033e-01 +2.1416e+00 +3.0209e+00 -4.8526e+00 +6.1209e-02 +4.3037e+00 +3.7462e+00 -3.3635e+00 -2.5296e+00 +3.2307e+00
4 +3.456156322e+06 +3.456156322e+06 +3.456169982e+06 +3.456169982e+06 -1.4051e+00 -5.7883e-01 +3.3387e-01 -4.8565e+00 +8.2384e-01 -2.8994e+00 -1.0063e+00 +2.0716e+00 -2.1726e+00 -2.1757e+00 +2.0687e+00 +1.0400e+00 -1.0115e+00 +2.2164e-01 +5.3632e-01 -4.1962e+00 -3.8163e+00 +2.5077e+00 +3.9392e+00 +3.3554e+00
9 +1.257480189e+03 +1.257480189e+03 +1.271140189e+03 +1.271140189e+03 -4.5021e+00 -1.9644e+00 +1.8730e+00 -3.2339e+00 +1.4578e-01 -1.9009e+00 +4.2944e+00 -3.8264e+00 +3.5862e-01 +1.7402e+00 +9.6604e-01 -1.8433e-01 -6.7314e-01 +4.8211e+00 +4.4894e-01 +3.3917e+00 -1.5849e+00 -3.9168e+00 +1.2495e+00 +4.0253e+00
