% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.109597058e+02 +5.109597058e+02 +4.940197058e+02 +4.940197058e+02 +4.8794e+00 -2.2977e+00 +3.5494e+00 +2.0926e+00 +2.1640e+00 +4.0558e+00 +3.9792e+00 +2.1775e+00 +2.2944e+00 +1.4988e+00 -3.2330e+00 -5.3900e-01 -1.0226e+00 +3.9455e+00 -3.5603e+00 +7.7473e-01 -2.1884e+00 -4.3839e-01 -4.9647e+00 -2.5289e+00
2 +1.929476820e+02 +1.929476820e+02 +1.760076820e+02 +1.760076820e+02 -3.1788e+00 +1.7232e+00 -4.8258e+00 -4.1514e+00 -4.3529e+00 +2.2451e-01 -1.7320e+00 +8.2855e-01 +4.6009e+00 -3.2052e+00 +2.6374e+00 +3.7019e+00 +7.6353e-01 -6.7155e-01 +4.4106e+00 +1.3630e-01 +2.5648e+00 +4.7478e+00 -4.4641e+00 +4.7916e+00
48 +1.301374427e+02 +1.301374427e+02 +1.131974427e+02 +1.131974427e+02 -5.0000e+00 -7.2914e-01 -7.7541e-01 +1.0471e+00 +5.0000e+00 +1.1635e+00 -6.7375e-02 -5.0000e+00 +6.6963e-01 +7.2411e-01 +2.6824e+00 -1.1840e+00 -5.0000e+00 -5.0000e+00 -2.5297e+00 +7.7984e-01 -1.8688e+00 -3.2458e+00 +1.2732e+00 +2.6610e+00
84 +9.121280375e+01 +9.121280375e+01 +7.427280375e+01 +7.427280375e+01 -1.8880e-01 -2.3654e+00 -2.2797e+00 +2.0772e+00 +5.0000e+00 +3.0716e+00 +5.0000e+00 -5.0000e+00 +5.1284e-01 +4.6154e+00 +3.5833e+00 +1.6257e+00 -5.0000e+00 -1.3104e+00 +2.0257e+00 -4.3577e+00 +3.5472e+00 -2.4041e+00 -5.0867e-01 -1.9626e-01
139 +6.276735964e+01 +6.276735964e+01 +4.582735964e+01 +4.582735964e+01 +1.1889e+00 +0.0000e+00 +5.2196e-01 +2.1588e+00 +3.1487e+00 -2.1168e+00 +5.0000e+00 -4.8408e+00 +3.7082e+00 +1.2230e+00 -1.8736e+00 +5.8768e-01 -3.0987e+00 -3.7991e+00 -1.7965e-01 +1.3862e-01 +2.8069e+00 -2.5943e+00 +5.3226e-01 +4.4747e+00
201 +3.714029621e+01 +3.714029621e+01 +2.020029621e+01 +2.020029621e+01 +3.0695e+00 +5.0000e+00 +7.5491e-01 -1.3392e+00 +1.2273e+00 -1.7942e+00 +5.0000e+00 -1.3856e+00 +3.2956e+00 -4.9877e+00 -8.5081e-01 +4.4967e+00 -3.9315e+00 -5.0000e+00 -1.9247e+00 -1.9157e+00 +5.0000e+00 -2.0227e+00 -1.2004e+00 +0.0000e+00
770 +2.509687653e+01 +2.509687653e+01 +8.156876527e+00 +8.156876527e+00 +4.9257e+00 +4.2639e+00 +5.2032e-01 +5.0000e+00 +3.6420e+00 -5.0000e+00 +4.9996e+00 +7.8698e-01 +3.5230e-01 -3.3904e+00 +1.6284e+00 -2.2636e+00 -4.0772e+00 -4.6501e-01 +4.3938e+00 +8.6559e-01 +4.3103e+00 -3.3755e+00 +3.1966e-02 -1.2708e+00
1105 +1.432003617e+01 +1.432003617e+01 -2.619963829e+00 -2.619963829e+00 +4.0612e+00 +3.5864e+00 -1.9465e-01 +6.9292e-01 +2.0061e+00 -4.0933e+00 +4.9998e+00 +7.7443e-01 -2.1404e-01 -5.0000e+00 +2.2609e+00 -5.9696e-01 -4.1251e+00 +8.9209e-01 +4.2908e+00 +3.7252e+00 +4.2068e+00 -2.7905e+00 +1.7289e+00 -5.6840e-01
2861 +9.982724108e+00 +9.982724108e+00 -6.957275892e+00 -6.957275892e+00 +3.8172e+00 +4.0257e+00 -1.6951e+00 +4.5445e-01 +9.7072e-01 -4.3942e+00 +4.9998e+00 +9.0241e-01 +5.3287e-03 -4.2716e+00 +3.8742e+00 -6.0483e-02 -4.1007e+00 +3.2903e-01 +4.2311e+00 +3.1586e+00 +4.0616e+00 -1.6304e+00 +3.9732e-01 +2.1954e-01
5684 +5.709042483e+00 +5.709042483e+00 -1.123095752e+01 -1.123095752e+01 +3.5030e+00 +3.7891e+00 -2.1998e+00 +6.9492e-01 +1.2203e+00 -4.8709e+00 +4.9998e+00 +4.9115e-01 +4.6823e-01 -4.2866e+00 +4.1714e+00 -2.3399e-01 -4.0508e+00 +2.8129e-01 +4.3019e+00 +3.3396e+00 +4.0108e+00 -2.1654e+00 +7.8225e-01 +2.1278e-01
