% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.604043076e+02 +1.604043076e+02 +2.398843076e+02 +2.398843076e+02 -1.5364e+00 -3.7092e+00 +2.0281e+00 +1.7118e+00 -3.3366e+00 +3.3714e-01 -4.0389e+00 +3.4853e+00 -3.1843e-01 -1.3724e+00 -3.1680e+00 -2.9713e+00 -4.3899e+00 -1.6340e+00 +5.1865e-01 -1.6779e+00 +2.9449e+00 -9.4886e-01 +4.3743e+00 +6.7948e-01
14 +1.492760007e+02 +1.492760007e+02 +2.287560007e+02 +2.287560007e+02 -3.6314e-01 +1.0999e+00 -4.3476e+00 +3.7748e+00 -4.2867e+00 -8.9182e-01 +2.1233e+00 +3.2059e-01 +6.1407e-01 +2.4811e+00 -1.4600e+00 +4.0206e+00 +3.9122e+00 -4.3206e+00 +7.8297e-01 +1.1924e+00 +1.9810e-01 -1.4033e+00 +1.5434e+00 -3.9530e+00
89 +9.109716104e+01 +9.109716104e+01 +1.705771610e+02 +1.705771610e+02 +0.0000e+00 -5.0000e+00 +1.8685e+00 -9.3531e-01 -7.3683e-01 -2.0519e+00 +1.4440e+00 +1.9240e+00 -2.9387e+00 -1.8093e+00 -2.3554e+00 +3.6540e+00 -7.1065e-01 -3.7857e+00 +1.5299e+00 +5.0000e+00 +1.3558e-01 -1.8286e+00 +3.8581e+00 -8.8463e-01
153 +5.981977512e+01 +5.981977512e+01 +1.392997751e+02 +1.392997751e+02 -4.4483e-01 -2.3151e+00 +2.7209e+00 +0.0000e+00 -2.2110e+00 -1.0765e+00 +6.6131e-01 +2.8208e-01 +0.0000e+00 -7.9751e-01 -4.0122e+00 +4.5494e+00 -2.4619e+00 +3.5040e-01 +1.5238e+00 +3.9791e+00 +1.7486e+00 -2.8044e+00 +2.4430e+00 +0.0000e+00
347 +3.756871439e+01 +3.756871439e+01 +1.170487144e+02 +1.170487144e+02 +3.2022e+00 -1.6485e+00 +1.2009e+00 +6.3379e-02 -2.9879e+00 +5.4229e-01 +2.9240e-01 -7.4350e-01 -8.3949e-01 -4.6491e-01 -2.9148e+00 +2.1626e+00 -5.5483e-01 -3.9421e-01 +3.4425e+00 +9.5846e-01 +1.9480e-01 -3.5512e+00 +4.6693e+00 +1.4302e+00
427 +2.469827510e+01 +2.469827510e+01 +1.041782751e+02 +1.041782751e+02 +1.1105e+00 -1.6645e+00 +5.8214e-01 +9.2931e-01 -2.5650e+00 -5.5701e-01 -3.4442e-02 -1.1689e+00 -1.8679e-01 -2.9864e-01 -2.0866e+00 +2.8285e+00 +7.6875e-01 +4.7981e-01 +2.9296e+00 +3.8457e+00 -4.9244e-01 -3.3658e+00 +3.9371e+00 +1.0092e+00
648 +1.533996760e+01 +1.533996760e+01 +9.481996760e+01 +9.481996760e+01 +3.9430e-01 -1.0751e+00 +6.1201e-01 +1.8437e+00 -2.7267e+00 +3.6625e-01 -1.5900e+00 -4.6106e-01 +2.0216e-01 -2.1596e+00 -4.4521e+00 +2.2363e+00 +9.8579e-01 +2.3954e-01 +3.0073e+00 +2.8907e+00 +0.0000e+00 -3.5182e+00 +3.6008e+00 +3.4020e+00
1040 +7.856488311e+00 +7.856488311e+00 +8.733648831e+01 +8.733648831e+01 +5.0823e-01 -1.7576e+00 -8.4374e-01 +1.1397e+00 -2.7794e+00 -2.8229e-02 -1.7640e+00 -5.0370e-01 -1.7843e+00 -2.7478e+00 -4.0266e+00 +1.2465e+00 +1.5880e+00 -8.4124e-03 +2.5885e+00 +2.4956e+00 -2.5626e-01 -4.2762e+00 +3.1649e+00 +7.2658e-01
1192 +5.762569754e+00 +5.762569754e+00 +8.524256975e+01 +8.524256975e+01 +4.4592e-01 -1.7608e+00 -6.4981e-01 +1.6860e+00 -2.2103e+00 -6.2081e-01 -1.5665e-01 -2.9389e-01 -1.2269e+00 -3.4059e+00 -3.6853e+00 +9.5973e-01 +9.8897e-01 +2.0398e-01 +2.7336e+00 +2.1380e+00 -4.4694e-01 -4.0908e+00 +2.8321e+00 +6.7469e-01
1632 +3.922231550e+00 +3.922231550e+00 +8.340223155e+01 +8.340223155e+01 +3.7852e-01 -1.2157e+00 -7.2446e-01 +1.1583e+00 -2.3523e+00 -5.4245e-01 -4.6314e-01 -1.7160e-01 -1.1384e+00 -2.9276e+00 -3.6071e+00 +1.9664e+00 +1.1274e+00 -2.3453e-01 +3.8623e+00 +4.1743e+00 -2.3993e-01 -3.9434e+00 +2.2670e+00 +1.2368e+00
