% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.931980565e+01 +6.931980565e+01 -3.323019435e+01 -3.323019435e+01 +2.2999e+00 +2.8972e+00 +3.9670e+00 -2.6284e+00 +1.3353e+00 +1.9093e+00 +1.8003e+00 -2.3364e-01 -4.4327e+00 +4.6363e+00 +2.1627e+00 +6.8729e-01 -6.1395e-01 +3.2104e+00 -1.4510e+00 +4.6269e+00 -2.5920e+00 -3.9662e+00 +2.8508e+00 +2.9724e+00
2 +4.303564421e+01 +4.303564421e+01 -5.951435579e+01 -5.951435579e+01 -1.8447e+00 -2.0508e+00 +3.3038e+00 -9.5967e-01 -3.5452e+00 -5.4606e-01 +5.7444e-01 -3.5691e-01 -3.4981e+00 +2.3370e+00 +2.0067e+00 -1.7440e+00 +4.9734e+00 +1.8971e+00 -3.6910e+00 -2.6014e+00 -2.6140e+00 -2.3519e+00 +3.9793e-01 -3.8178e+00
8 +2.092342750e+01 +2.092342750e+01 -8.162657250e+01 -8.162657250e+01 -2.4361e+00 +2.7006e-01 +4.0023e+00 -2.4350e+00 +1.7324e+00 -1.2881e+00 -1.5909e+00 +7.2340e-01 +2.9204e+00 +1.3180e-01 -2.6691e+00 +5.9620e-01 +3.6696e+00 -2.2753e+00 -3.0234e-01 +1.0971e-02 +2.4185e+00 -1.3365e-01 -1.6394e+00 -2.5497e+00
276 +1.463684684e+01 +1.463684684e+01 -8.791315316e+01 -8.791315316e+01 -2.1248e+00 +1.9560e+00 +1.8310e+00 -2.0759e+00 -1.1282e+00 -6.1919e-01 -1.0347e+00 -5.2939e-01 +1.8399e+00 +6.6062e-01 +6.6087e-01 +3.2158e+00 +3.3975e-01 +1.8289e+00 +2.4843e+00 +1.3299e+00 -1.5698e+00 +2.6567e+00 -9.7206e-01 -3.3128e+00
474 +9.687859962e+00 +9.687859962e+00 -9.286214004e+01 -9.286214004e+01 -8.4186e-01 +9.5046e-01 -3.0081e-01 -1.7538e+00 +9.1401e-01 -1.5910e+00 -5.5847e-01 -6.9062e-01 +5.9765e-02 -1.4039e+00 -7.2913e-01 +1.4430e+00 +1.0400e+00 -1.6221e+00 +8.7771e-01 +1.8452e+00 +8.4183e-01 +6.6746e-01 +8.3554e-01 -1.0871e+00
3545 +5.790815355e+00 +5.790815355e+00 -9.675918465e+01 -9.675918465e+01 +1.7950e-01 +4.1804e-01 +8.9687e-01 -1.7566e+00 +1.5262e+00 -1.5928e+00 +1.1229e+00 +4.2484e-01 +1.1041e+00 -1.2914e-03 -8.5149e-01 +1.0636e-01 +1.1064e+00 -9.4332e-01 -5.3013e-01 -3.5804e-01 +3.5915e-01 +1.2929e+00 -5.8106e-01 -1.1681e+00
13592 +3.849010162e+00 +3.849010162e+00 -9.870098984e+01 -9.870098984e+01 -5.2560e-01 +1.6940e+00 +3.7476e-01 -1.1292e+00 -1.3185e+00 -6.3890e-01 +1.1067e+00 +3.1474e-01 +1.4301e+00 -3.6331e-01 -2.2975e+00 +6.8417e-01 +9.5658e-01 -9.5071e-01 +2.0198e-01 -1.0145e+00 +5.3524e-01 -1.8789e+00 -8.0360e-01 +2.9766e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.363788976e+01 +5.363788976e+01 +1.253278898e+02 +1.253278898e+02 +2.7201e+00 +1.6383e-01 +1.6100e+00 +1.9544e+00 +3.3773e+00 -2.5296e+00 -1.7768e+00 +3.5081e+00 -1.5749e+00 +4.6516e+00 -2.5797e+00 -4.9641e+00 -2.6058e+00 +6.2772e-01 +5.0778e-01 +3.5643e+00 +3.4471e+00 -1.4748e+00 +4.1682e+00 -3.9550e+00
6 +3.860468468e+01 +3.860468468e+01 +1.102946847e+02 +1.102946847e+02 +4.7827e+00 -2.7848e+00 -1.1186e+00 +1.8167e+00 -3.2052e+00 +2.8926e+00 -2.1872e+00 -2.7601e+00 +3.1150e+00 +1.9597e+00 -2.8998e+00 +1.0316e+00 -1.7638e+00 +9.8723e-01 -2.0547e+00 +2.1325e+00 +1.6471e+00 +3.7372e+00 +3.6729e-01 +4.5036e+00
