% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.626577277e+01 +8.626577277e+01 -9.137342272e+02 -9.137342272e+02 +4.8417e+00 +1.7104e-01 +1.5810e+00 +1.0142e+00 -4.8148e+00 +2.2795e+00 +2.7248e+00 +3.6991e-01 -1.4498e+00 +4.8398e+00 -4.7096e+00 +4.4477e+00 +1.8400e+00 +1.6063e+00 +4.8069e+00 +1.6160e+00 -1.1582e-01 +4.3778e+00 -1.0102e+00 +2.6478e+00
2108 +4.233696738e+01 +4.233696738e+01 -9.576630326e+02 -9.576630326e+02 -4.0237e+00 -1.7383e-01 +1.7177e+00 -2.9247e+00 -2.3488e-02 -2.5158e+00 -4.5357e-01 -3.6082e+00 +7.2194e-01 +2.6871e+00 +5.4268e-01 -1.3538e+00 +2.9002e+00 -9.7526e-01 -1.1554e+00 -2.2820e+00 +1.1602e+00 +7.1908e-01 -6.4097e-01 -2.3484e+00
2724 +3.292950361e+01 +3.292950361e+01 -9.670704964e+02 -9.670704964e+02 -2.6822e+00 -2.1244e+00 +2.1886e+00 -5.1241e+00 -1.8023e-01 -4.0021e+00 +2.2592e+00 -5.1525e+00 +4.8656e-01 +3.2897e+00 +2.0442e+00 -1.0051e+00 +2.7210e+00 -8.5001e-01 -2.0954e+00 -3.9702e+00 +1.0161e+00 +4.4474e-01 +2.4028e-01 -2.4866e+00
3149 +2.267542572e+01 +2.267542572e+01 -9.773245743e+02 -9.773245743e+02 -4.5999e+00 -1.0080e+00 +2.4075e+00 -3.6858e+00 +1.6311e-01 -4.2196e+00 -9.1075e-01 -4.2966e+00 +2.8033e+00 +2.4420e+00 +3.6055e+00 -3.7456e+00 +7.5042e-01 +1.8594e-01 +1.4243e-01 -2.1078e+00 +1.8112e+00 -1.4711e+00 +4.8124e-01 -1.6676e+00
4107 +5.807671329e+00 +5.807671329e+00 -9.941923287e+02 -9.941923287e+02 -4.8688e+00 -2.1793e+00 +1.2758e+00 -4.2942e+00 +1.6110e+00 -2.9869e+00 -8.8687e-01 -4.0510e+00 +2.8023e+00 +2.3765e+00 +3.4010e+00 -1.5217e+00 +1.2052e+00 -5.8180e-01 -1.2671e+00 -3.4184e+00 +2.1063e+00 -4.3217e-01 +4.0866e-01 -3.0213e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.584852811e+01 +8.584852811e+01 +1.085848528e+03 +1.085848528e+03 +1.9417e+00 +3.8210e+00 +2.8539e-01 -2.4915e-01 -1.5366e+00 +3.3369e-01 +4.7841e+00 -3.5634e+00 -9.7223e-02 +2.5700e+00 -1.4282e+00 -2.6162e+00 -4.4459e-01 +3.0876e+00 +1.9570e+00 +5.7641e-01 -2.9187e+00 -1.7413e-01 -4.2289e+00 +1.8136e+00
3054 +6.234270627e+01 +6.234270627e+01 +1.062342706e+03 +1.062342706e+03 +2.7441e+00 +3.1726e+00 -4.0567e+00 -2.3227e+00 +1.9851e+00 +4.9926e+00 +9.3822e-01 -1.1424e+00 -3.8922e+00 -2.6019e+00 -3.3100e+00 +3.9575e+00 -5.2539e-01 -1.1502e+00 -1.0463e+00 -5.0506e+00 +1.4124e+00 -4.5448e+00 -6.5526e-01 +1.3599e-01
4801 +3.093546752e+01 +3.093546752e+01 +1.030935468e+03 +1.030935468e+03 +2.3308e+00 +3.5227e+00 -4.7248e+00 +1.2922e+00 +4.1522e+00 +5.4773e+00 -7.5375e-01 -1.3384e+00 +1.2039e+00 -1.5320e+00 -3.5576e+00 +2.6045e+00 -5.8255e-01 -2.1209e+00 -3.2372e+00 -3.9456e+00 -1.6469e+00 -3.7531e+00 -3.1723e+00 +2.1729e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.639889875e+01 +8.639889875e+01 +3.726889875e+01 +3.726889875e+01 -2.9728e+00 -9.3051e-01 +1.7325e+00 -3.4868e+00 -3.9403e+00 +2.6685e+00 -1.4802e-03 -4.6566e+00 -2.1385e-01 +1.2861e+00 -3.4083e+00 +1.6419e+00 -1.4614e+00 +3.4251e+00 -1.5563e+00 -2.1054e+00 -4.3745e+00 -3.0550e+00 -2.2086e+00 +2.0094e+00
2015 +5.248930335e+01 +5.248930335e+01 +3.359303348e+00 +3.359303348e+00 +5.7300e-01 +4.3505e+00 -2.3656e+00 +1.9791e+00 +5.7851e+00 +8.9160e-02 +1.7645e+00 -2.2980e+00 -3.8586e+00 +6.4463e-01 +3.4974e+00 +5.8748e-02 -4.2681e-01 -1.9203e+00 -1.1187e+00 +7.9083e-01 +2.0038e+00 -9.9326e-01 +1.4526e+00 -1.9135e+00
2305 +3.412508916e+01 +3.412508916e+01 -1.500491084e+01 -1.500491084e+01 -1.0104e+00 +3.2373e+00 -3.7388e+00 +2.5793e+00 +3.2395e+00 -2.2439e+00 +1.2840e+00 -1.1410e+00 -7.6537e-01 +5.5566e-01 +4.9025e+00 -2.0287e+00 -7.9502e-01 -2.4980e+00 +1.8203e+00 -1.1207e+00 +4.1018e+00 +1.3733e+00 +1.3001e+00 -2.6428e+00
2908 +2.269765329e+01 +2.269765329e+01 -2.643234671e+01 -2.643234671e+01 -1.2763e+00 +3.3577e+00 -2.7928e+00 +1.5688e+00 +4.7337e+00 +6.1906e-01 +1.1925e+00 -1.8497e+00 -1.8236e+00 +1.9730e-01 +3.2079e+00 -2.7303e+00 -1.7234e+00 -2.4902e+00 +2.0303e-01 -1.6028e+00 +4.3861e+00 +1.6026e+00 +1.0188e+00 -2.7674e+00
3903 +1.426049643e+01 +1.426049643e+01 -3.486950357e+01 -3.486950357e+01 -1.6614e+00 +4.4762e+00 -2.4559e+00 +2.1327e+00 +4.9597e+00 -4.9708e-01 +2.0697e+00 -2.9080e+00 -2.2860e+00 +9.5221e-01 +3.7962e+00 -1.1390e+00 -3.3408e+00 -2.0311e+00 +5.3703e-01 -1.3333e+00 +4.5448e+00 +1.2574e+00 +3.3017e+00 -2.4965e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.651929647e+01 +8.651929647e+01 +3.842492965e+02 +3.842492965e+02 -3.0342e+00 -1.2246e+00 -4.6741e+00 -7.1324e-01 +4.6811e+00 +3.5487e+00 -4.6388e+00 -3.4306e+00 -3.6880e+00 +4.4106e+00 -9.7286e-01 -4.7492e+00 -3.3318e+00 +1.2648e-01 -4.4030e+00 -1.9191e+00 +3.2169e+00 -1.3257e+00 +7.3731e-01 +1.5053e+00
1008 +5.883815380e+01 +5.883815380e+01 +3.565681538e+02 +3.565681538e+02 -3.6225e-01 +1.2237e+00 +6.8987e-01 -1.8797e+00 +3.1569e+00 -3.2206e+00 +1.2458e+00 -4.8985e-01 +1.2975e+00 -2.9370e+00 -2.4444e+00 +6.8963e-01 -1.6745e+00 -8.3572e-01 -2.8751e-01 +1.5108e+00 +1.9094e+00 -2.1615e+00 -1.8200e+00 +4.9150e+00
1602 +2.789871255e+01 +2.789871255e+01 +3.256287126e+02 +3.256287126e+02 -2.1567e+00 +2.6059e+00 +1.5646e+00 -1.9436e+00 +4.4043e+00 -3.3932e+00 +1.8550e+00 +8.1849e-01 +8.7966e-01 -5.5571e+00 -3.6817e-02 +2.3399e+00 -3.3562e-01 +1.3387e+00 +2.7031e+00 +2.4630e+00 -1.1013e+00 -1.9846e+00 -4.0584e+00 +4.4317e+00
